Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,variable name: patient_id,,,,,RADx-rad Minimum CDE,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
vintage,Health Status,,Dialysis vintage (years on dialysis) of participant at study end,,,,,,"years, to tenth percent",,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
all_diagnoses,Health Status,,All ICD-10 diagnoses assigned to participant,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_asthma,Health Status,,First dialysis date to asthma diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_cancer,Health Status,,First dialysis date to cancer diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_ckd,Health Status,,First dialysis date to CKD diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_copd,Health Status,,First dialysis date to COPD diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_diabetes,Health Status,,First dialysis date todiabetes diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_hypertension,Health Status,,First dialysis date to hypertension diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_immunosupp,Health Status,,First dialysis date to immunosuppressive condition diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_mi,Health Status,,First dialysis date to serious mental illness diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_sc,Health Status,,First dialysis date to sickle cell diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_pregnancy,Health Status,,First dialysis date to pregnancy diagnosis,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
nursing_home,Health Status,,Indicates that participant is living in a nursing home,"1, Yes | 0, No | (blank), Unknown",,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
vasc_access[1-11],Health Status,,Participant's vascular access type,"1, AVF | 2, AVG | 3, PDCATH | 4, CVCATH",,,,,PLEASE USE YYYY/MM/DD FOR DATES IF POSSIBLE,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_va[1-11],Health Status,,First dialysis date to the date participant's vascular access type was recorded,,,,,,mm/dd/yyyy,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
first_dose_type,Health Status,,First COVID vaccince type,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_first_dose,Health Status,,First dialysis date to the date of first dose of COVID vaccine,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
second_dose_type,Health Status,,Second COVID vaccine type,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_second_dose,Health Status,,First dialysis date to the date of second dose of COVID vaccine,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
fdd_to_txt_dt,Health Status,,First dialysis date to dialysis treatment date,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
iso_shift,Health Status,,Indicates that the facility had an isolation shift (not necessarily the shift of the treatment),"1, Yes",,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
iso_clinic,Health Status,,Indicates that facility is a designated isolation clinic,"1, Yes",,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
shift,Health Status,,Dialysis shift,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
station_num,Health Status,,Dialysis station number,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
machine_num,Health Status,,Dialysis machine number,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pod_num,Health Status,,Dialysis pod number,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
target_weight,Health Status,,Prescribed target weight,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
avg_qb,Health Status,,Average blood flow rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
avg_qd,Health Status,,Average dialysis flow rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
idwg,Health Status,,Intradialytic weight gain,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_sbp,Health Status,,"Pre-treatment systolic blood pressure, sitting",,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
post_sbp,Health Status,,"Post-treatment systolic blood pressure, sitting",,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_dbp,Health Status,,"Pre-treatment diastolic blood pressure, sitting",,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
post_dbp,Health Status,,"Post-treatment diastolic blood pressure, sitting",,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_temp,Health Status,,Pre-treatment temperature,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
post_temp,Health Status,,Post-treatment temperature,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_pulse,Health Status,,Pre-treatment pulse rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
post_pulse,Health Status,,Post-treatment pulse rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_resp,Health Status,,Pre-treatment respiratory rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
post_resp,Health Status,,Post-treatment respiratory rate,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
txt_time,Health Status,,Total treatment time,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
min_sbp,Health Status,,Minimum systolic blood pressure during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
max_sbp,Health Status,,Maximum systolic blood pressure during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
min_dbp,Health Status,,Minimum diastolic blood pressure during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
max_dbp,Health Status,,Maximum diastolic blood pressure during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
min_pulse,Health Status,,Minimum pulse rate during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
max_pulse,Health Status,,Maximum pulse rate during treatment,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
pre_o2,Health Status,,Pre-treatment oxygen saturation,,,,,,,,rad_016_067-01_DICT_origcopy_v1.csv,phs002657
