Id,Label,Datatype,Enumeration,source_file,source_directory
participantidentifier,Participant Identifier,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
housingcategorization,How would you define your neighborhood?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
housingother,Please specify your type of housing,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
educationgrade,Please choose the highest level of education you have completed.,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
housing,What type of housing do you live in?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
employmentstatusstudent,Student status,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
employmentstatusother,Please specify about what you do,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
closecontactwhen_b,When were you in close contact with someone who tested positive for COVID-19? Baseline,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
priorinfection,How many times have you tested positive for COVID-19 (0-9)?,integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
closecontacthousehold_b,Do you live in the same household as the person who tested positive for the COVID-19 virus? Baseline,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
closecontactduration_b,How much time did you spend within 6 feet of the person who tested positive for the COVID-19 virus? Baseline,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
closecontact_b,Were you in close contact with someone who tested positive for COVID-19 in the past 7 days? Baseline,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
contactduration_b,How much time did you spend with this person? Baseline,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
groupcode,Are you a member of any of the following groups?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
priorinfectiontimeframe,What is your best guess for how long ago your prior infection was?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
priorinfectionwhen,How long ago was your last COVID-19 infection?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
currentconditionsother,Please specify your other chronic condition,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
difficultydecisionmaking,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
overallhealth,"Would you say your health in general is excellent, very good, good, fair, or poor?",integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
colorblind,Are you color-blind or do you have serious difficulty seeing colors?,string,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
cigarrettesperday,"On average, how many cigarettes per day do you smoke?",integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
gender_man,Man,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
gender_noans,NoAnswer,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
gender_nonbin,Non-binary,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
gender_trans,Transgender,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
gender_woman,Woman,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_asian,Asian,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_chinese,Chinese,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_filipino,Filipino,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_indian,Indian,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_japanese,Japanese,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_korean,Korean,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_other,Other Asian or Mix,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
race_asian_vietnamese,Vietnamese,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
pacisl_nathaw,Native Hawaiian,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
cond_seriousmentalillness,Serious Mental Illness,integer,"""1"" =[Checked]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
elig_smp_cough,Cough at Eligibility Screen,integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
elig_smp_body_aches,Muscle or body aches at Eligibility Screen,integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
elig_smp_loss_smell,New loss of taste or smell at Eligibility Screen,integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
elig_smp_other,Other Symptoms at Eligiblity Screen,integer,,dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
vaccinated,Vaccination status at Baseline,integer,"""0"" =[Unvaccinated]|""1"" =[Vaccinated]",dictionary_TUAHDAILY_tier2_3_2023_04_28_v1.csv,phs003239
