Id,Description,Datatype,Units,Enumeration,Label,Additional Missing Value Codes,Terms,Unit,Section,ui,Notes,min,max,CDE Reference,pattern,phi_id,branching_logic,required,form_name,header,Variable Classification,Validation,Field Notes,Branching_Logic,CDE_Reference,Custom Alignment,source_file,source_directory,Program,Title,Summary
uid,Personal identifier,string,,,,,,,,,,,,,,,,,,,,,,,,,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
date stamp,Date and Time stamp for the survey response,date,,yyyy-mm-ddThh:mm:ss.sssZ,,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
survey id,Indicates the version of the demographic consent survey offered to the participants.,categorical,,"0Ks4W000003JkezSAC;
0Ks4W000003Jkf9SAC;
0Ks4W000003JkkPSAS;
0Ks4W000003JktiSAC;
0Ks4W000003JlC0SAK;
0Ks4W000003JlCESA0;",,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
survey name,"Name of the Demographic Consent Survey offered to participants. ",categorical,,WSSC Consent Survey 0.3,,,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
transportation,Mode of transportation used to commute to work by participant,categorical,,"Personal vehicle, bike, walk; Carpool; Public Transportation; Varies; NA;Recode_NA","""How do you typically commute to work?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
gender,Gender of participant,categorical,,Male; Female; Intersex; None; Recode_NA,"""What is your biological sex""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
weight,Weight of participant,categorical,pounds,100-150; 151-200; 201-250; over250,"""Please provide your weight""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
height,Height of participant,categorical,feet and inches,"4'5""-5'6""; 5'7"" - 6'; over 6'"," ""Please provide your height""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
consent,"Consent to participate in the study. ",categorical,,Agree; Disagree,"""I have read (or been informed of) the information given above and agree to join by clicking on the ""Agree. I do want to participate in the study and provide my anonymous data to the NIH"" bottom below. I have been offered the opportunity to ask questions concerning this process.""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
household_size,Number of people in the household of participant,categorical,,1; 2; 3; 4; 5 or more,"""How many people live in your household, including yourself?""",,,,,,,,,,,,,,,,,,,,,,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy_v1.csv,phs002516,RADx-DHT,DIGITAL HEALTH SOLUTIONS FOR COVID-19: DIGITAL HEALTH PASS AND SMARTER CONTACT TRACING SOLUTIONS,"The goal of this project it to develop both a contact tracing and secure data exchange tools. The contact tracing solution securely combines data from a variety of sources (including manual self-report data, mobile device surveys, wearable devices, electronic health records) to enable tracing of contacts with individuals that have tested positive for COVID-19. The data exchange solution is a secure mechanism that empowers users to control the data they share in the course of their return to normal activities, including the ability to provide a verifiable health status claim. These tools are to be used by employers, government agencies, and others to evaluate the risk of allowing individuals to return to normal activities and also the ability to trace user contact with individuals diagnosed with or suspected of having contracted COVID-19. Data collected under this project will be deidentified and securely transmitted to an NIH data hub."
