Question Number,Slug,Question or Description (if necessary),Value Data Types,"Possible Values (if applicable)
If 'Value Data Type' = 'binary' and there is only one possible value shown, the alternative is null"
"",id_participant_external,Participant identifier,String,
"",time_zone,Local time zone of participant,String,"['US/Eastern', 'US/Central', 'US/Mountain', 'US/Pacific', 'US/Arizona', 'US/Alaska', 'US/Hawaii']"
"",survey_start_time,UTC survey start time,String,
"",survey_end_time,UTC survey end time,String,
"",date,UTC survey date,Date,
"",total_survey_time,Time taken to complete survey,Long,
0.0,planning_for_er,Are you planning to go to an emergency department (the ER) in the next 24 hours to seek treatment for the symptoms you are experiencing?,String,"[nan, 'Possibly Im not sure', 'No', 'Yes']"
0.0,prescribed_medications,Did a medical professional prescribe any medications to treat or manage your current symptoms and/or illness in the past 24 hours?,String,"[nan, 'No', 'Yes', 'I dont know I cant remember']"
0.0,otc_medications,Did you personally decide to take any over-the-counter (non-prescription) medications to manage your current symptoms in the past 24 hours?,String,"[nan, 'Yes', 'No', 'I dont know I cant remember']"
0.0,received_care__doctors_office_or_clinic,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Doctors office or Primary Care Clinic']"
0.0,received_care__drive_through_clinic,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Drive through clinic or testing facility']"
0.0,received_care__er,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Emergency room ER']"
0.0,did_not_receive_care,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'I did not receive any healthcare in the past 24 hours']"
0.0,received_care__in_store_clinic,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'In store clinic']"
0.0,received_care__infectious_disease_clinic,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Infectious disease clinic']"
0.0,received_care__telemedicine,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Telemedicine via video or voice call via email']"
0.0,received_care__urgent_care,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,"[nan, 'Urgent care facility']"
0.0,received_care__other,"Did you receive care from a health professional as a result of your flu- or coronavirus-like symptoms in the past 24 hours at any of the following? ",String,
0.0,used_public_transit_or_uber,"Did you travel via public transportation (e.g., subway, bus, train/tram), taxi, or ride-share  (e.g., Uber, Lyft) in the past 24 hours?",String,"['No', 'Yes']"
0.0,experiencing_covid_or_flu_symptoms,"Have you experienced any flu- or coronavirus-like symptoms (such as cough, shortness of breath, fever, chills, sweats, or body aches) in the past 24 hours?",String,"['No I have not felt any symptoms in the last 24 hours', 'Yes and I am currently feeling flu or coronavirus like symptoms', 'Yes I felt flu or coronavirus like symptoms symptoms within the last 24 hours but have fully recovered', nan]"
0.0,received_covid_test_result,Have you received the result of a coronavirus (COVID-19) diagnostic test in the past 24 hours?,String,"['No I have not taken a COVID 19 test I am not waiting on test results', 'No I have not received the result of a COVID 19 test in the past 24 hours but I am waiting on test results', 'Yes and I tested negative I was not diagnosed with COVID 19', 'I dont know I cant remember', 'Yes and I tested positive I was diagnosed with COVID 19', nan]"
0.0,received_flu_test_result,Have you received the result of a flu (also known as the seasonal flu or influenza) diagnostic test in the past 24 hours?,String,"['No I have not taken a flu test I am not waiting on test results', 'No I have not received the result of a flu test in the past 24 hours but I am waiting on test results',  'Yes and I tested negative I was not diagnosed with the flu', 'I dont know I cant remember', 'Yes and I tested positive I was diagnosed with the flu', nan]"
0.0,feelings__angry,"How have you felt in the past 24 hours? ",String,"[nan, 'A little', 'Not at all', 'Moderately', 'Quite a bit', 'Extremely']"
0.0,feelings__calm,"How have you felt in the past 24 hours? ",String,"[nan, 'A little', 'Moderately', 'Quite a bit', 'Not at all', 'Extremely']"
0.0,feelings__happy,"How have you felt in the past 24 hours? ",String,"['Quite a bit', 'A little', nan, 'Not at all', 'Moderately', 'Extremely']"
0.0,feelings__hopeful,"How have you felt in the past 24 hours? ",String,"[nan, 'Moderately', 'Quite a bit', 'Not at all', 'A little', 'Extremely']"
0.0,feelings__lonely,"How have you felt in the past 24 hours? ",String,"[nan, 'Moderately', 'A little', 'Not at all', 'Quite a bit', 'Extremely']"
0.0,feelings__motivated,"How have you felt in the past 24 hours? ",String,"[nan, 'A little', 'Quite a bit', 'Not at all', 'Moderately', 'Extremely']"
0.0,feelings__sad,"How have you felt in the past 24 hours? ",String,"['Not at all', 'Quite a bit', 'Moderately', 'A little', nan, 'Extremely']"
0.0,feelings__scared,"How have you felt in the past 24 hours? ",String,"[nan, 'Quite a bit', 'Moderately', 'Not at all', 'A little', 'Extremely']"
0.0,feelings__tired,"How have you felt in the past 24 hours? ",String,"['Moderately', nan, 'Quite a bit', 'Extremely', 'Not at all', 'A little']"
0.0,feelings__worried,"How have you felt in the past 24 hours? ",String,"['A little', 'Extremely', 'Quite a bit', nan, 'Moderately', 'Not at all']"
0.0,practicing_social_distancing,"In the past 24 hours, have you been practicing social distancing or isolation behaviors (e.g., working remotely, limiting the time spent in crowds, increasing the amount of time spent at home)?",String,"['Yes', 'No']"
0.0,contact_with_covid__coworker,"In the past 24 hours, have you come into close contact with any of the following types of people who have been diagnosed with, or suspected they had, COVID-19?",String,"[nan, 'A coworker']"
