Question Number,Slug,Value Data Types,Question or Description (if necessary),"Possible Values (if applicable)
If 'Value Data Type' = 'binary' and there is only one possible value shown, the alternative is null"
"",id_participant_external,String,Participant identifier,
"",ts__created,Date,Local timestamp of survey,
0.0,risk_factor__zipcode,Double,"What is your current zip code? (Where you live and spend the majority of your time) If you are currently staying in a different location for an extended period of time, please enter your current zip code",
0.0,risk_factor__covid_air_travel,String,Have you recently traveled on an airplane?,"['Yes, over 14 days ago', 'Yes, within the last 14 days', 'Yes, within the last 7 days', 'No']"
0.0,risk_factor__covid_large_gatherings,String,"Have you recently participated in any large public gatherings of over 250 people (e.g. concerts, sporting events, amusement parks)?","['One of my household members is, but they are NOT currently working']"
0.0,risk_factor__healthcare_worker__household_member_not_working,String,"Are you or one of your household members a healthcare worker (i.e., doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker)? Please select all that apply. (One of my household members is, but they are NOT currently working)","['One of my household members is, and they are currently working']"
0.0,risk_factor__healthcare_worker__household_member_working,String,"Are you or one of your household members a healthcare worker (i.e., doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker)? Please select all that apply. (One of my household members is, and they are currently working)",['No one in my household is a healthcare worker']
0.0,risk_factor__healthcare_worker__none,String,"Are you or one of your household members a healthcare worker (i.e., doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker)? Please select all that apply. (No one in my household is a healthcare worker)","['I am, but I am NOT currently working']"
0.0,risk_factor__healthcare_worker__self_not_working,String,"Are you or one of your household members a healthcare worker (i.e., doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker)? Please select all that apply. (I am, but I am NOT currently working)","['I am, and I am currently working']"
0.0,risk_factor__healthcare_worker__self_working,String,"Are you or one of your household members a healthcare worker (i.e., doctor, dentist, nurse, nurse’s aid, paramedic, physician’s assistant, home healthcare aid, hospital worker, pharmacist, or other type of healthcare worker)? Please select all that apply. (I am, and I am currently working)","['I live alone', 'No', 'Yes']"
0.0,risk_factor__household_flu_exp,String,Have any members of your household (other than yourself) experienced flu-like illness this flu season?,
0.0,risk_factor__household_flu_exp__0_to_4,Double,"How many members of your household, by age group listed below, have experienced flu-like symptoms during this flu season (September 2019 to today)? If no household member in your household experienced symptoms within an age group please enter 0. (Number of household members 0-4 years old experiencing flu-like symptoms)",
0.0,risk_factor__household_flu_exp__18_to_49,Double,"How many members of your household, by age group listed below, have experienced flu-like symptoms during this flu season (September 2019 to today)? If no household member in your household experienced symptoms within an age group please enter 0. (Number of household members 18-49 years old experiencing flu-like symptoms)",
0.0,risk_factor__household_flu_exp__5_to_17,Double,"How many members of your household, by age group listed below, have experienced flu-like symptoms during this flu season (September 2019 to today)? If no household member in your household experienced symptoms within an age group please enter 0. (Number of household members 5-17 years old experiencing flu-like symptoms)",
0.0,risk_factor__household_flu_exp__50_to_64,Double,"How many members of your household, by age group listed below, have experienced flu-like symptoms during this flu season (September 2019 to today)? If no household member in your household experienced symptoms within an age group please enter 0. (Number of household members 50-64 years old experiencing flu-like symptoms)",
0.0,risk_factor__household_flu_exp__65_plus,Double,"How many members of your household, by age group listed below, have experienced flu-like symptoms during this flu season (September 2019 to today)? If no household member in your household experienced symptoms within an age group please enter 0. (Number of household members 65+ years old experiencing flu-like symptoms)","['No', 'Yes']"
0.0,risk_factor__household_covid_diagnosis,String,Have any members of your household been diagnosed with coronavirus disease (also known as COVID-19)?,"['I don’t know / I’m not sure', 'Yes, over 14 days ago', 'Yes, within the last 14 days', 'Yes, within the last 7 days', 'No']"
0.0,risk_factor__outside_flu_exp,String,"Have you been in close contact with anyone outside your household (e.g., family members, friends, coworkers, acquaDoubleances) who has experienced flu-like symptoms recently? Close contact can include direct physical contact, face-to-face contact for longer than 15 minutes, exchange of bodily fluids, or being within 6 feet of the person for more than 15 minutes.","['I don’t know / I’m not sure', 'Yes, over 14 days ago', 'Yes, within the last 14 days', 'Yes, within the last 7 days', 'No']"
0.0,risk_factor__covid_contact,String,"Have you recently been in contact with someone who was diagnosed with coronavirus? Close contact can include direct physical contact, face-to-face contact for longer than 15 minutes, exchange of bodily fluids, or being within 6 feet of the person for more than 15 minutes.",['Today']
0.0,risk_factor__covid_social_distancing__0d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Today)",['Yesterday']
0.0,risk_factor__covid_social_distancing__1d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Yesterday)",['Two days ago']
0.0,risk_factor__covid_social_distancing__2d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Two days ago)",['Three days ago']
0.0,risk_factor__covid_social_distancing__3d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Three days ago)",['Four days ago']
0.0,risk_factor__covid_social_distancing__4d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Four days ago)",['Five days ago']
0.0,risk_factor__covid_social_distancing__5d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Five days ago)",['Six days ago']
0.0,risk_factor__covid_social_distancing__6d_ago,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (Six days ago)",['I did not practice social distancing in the last 7 days']
0.0,risk_factor__covid_social_distancing__did_not,String,"Looking back over the past 7 days, which days have you practiced social distancing or isolation behaviors (e.g., working remotely, limited the time spent in crowds, increasing the amount of time spent at home)? Please select all that apply. (I did not practice social distancing in the last 7 days)",
