Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Unit,CDE Reference
limit_of_blank,Analytical Performance,float,"Limit of Blank (LOB).  The highest apparent analyte concentration expected to be found when a replicate of a sample containing no analyte are tested. Concentration units must be specified in the ""Units"" column! For qualitative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583
limit_of_detection,Analytical Performance,float,"Limit of Detection (LOD). The minimum amount or concentration of analyte that can be reliably distinguished from zero. Concentration units must be specified in the ""Units"" column! For qualitative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,https://ncbi.nlm.nih.gov/pmc/articles/PMC2556583
limit_of_detection_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of detection in standard deviations.,,Example: 3,,
limit_of_detection_detail,Analytical Performance,text,Description of how limit of detection was determined.,,"Example: A dilution series of heat inactivated SARS-CoV-2 virus stock (USA-WA1/2020) was prepared in natural clinical matrix (pooled nasopharyngeal swab samples eluted in VTM). Five (5) replicates were tested per dilution. The testing was performed as per the recommended instructions for use, with the virus in clinical matrix applied directly onto the Swab until the saturation of the flocked tip. The estimated LoD concentration for verification was selected as the concentration in between the dilution factor that returned 5/5 positive test outcomes (100%) and the next dilution factor that returned 0/5 positive (0%) based on the qualitative result. Source: https://www.fda.gov/media/144592/download.",,
limit_of_quantitation,Analytical Performance,float,"Limit of Quantiation (LOQ). The minimum amount or concentration of analyte in the test sample that can be quantified with acceptable precision. Concentration units must be specified in the ""Units"" column! For quantiative tests.",,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583.",,
limit_of_quantitation_sn_ratio,Analytical Performance,float,Signal to noise ratio used to define the limit of quantification in standard deviations.,,Example: 5,,
limit_of_quantitation_detail,Analytical Performance,text,Description of how limit of quantition was determined.,,"
COVID-19 Home Test was tested with up to a concentration
of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus
(USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.",,
dynamic_range_min,Analytical Performance,float,,,,,
dynamic_range_max,Analytical Performance,float,,,,,
high_dose_hook_effect,Analytical Performance,text,Description of high dose hook effect.,,Example: No high dose hook effect was observed when the Ellume COVID-19 Home Test was tested with up to a concentration of 106.43 TCID 50 /mL of heat inactivated SARS-CoV-2 virus (USA-WA1/2020 Isolate). Source: https://www.fda.gov/media/144592/download.,,https://www.olink.com/faq/what-is-the-high-dose-hook-effect/
non_clinical_sensitivity,Analytical Performance,float,The proportion of system-based positives; calculated as 100xTP/(TP+FN). Used for comparison with a VQA standard.,,,,
non_clinical_selectivity,Analytical Performance,float,The proportion of system-based negatives; calculated as 100xTN/(TN+FP). Used for comparison with a VQA standard.,,,,
area_under_the_ROC_curve,Analytical/Clinical Performance,float,ROC-based performance. AUC under ROC curve.,,,,
ROC_x_values,Analytical/Clinical Performance,list,List of false positive rate values (1-specificity),,,,
ROC_y_values,Analytical/Clinical Performance,list,List of true positive rate values (sensitivity),,,,
analytical_sensitivity,Analytical Performance,float,Analytical sensitivity is defined as the slope of the calibration curve.,,"Armbruster DA, Pry T. Limit of blank, limit of detection and limit of quantitation. Clin Biochem Rev. 2008 Aug;29 Suppl 1(Suppl 1):S49-52. PMID: 18852857; PMCID: PMC2556583; https://www.youtube.com/watch?v=8Pe3k3fJNe8",,
analytical_sensitivity_unit,Analytical Performance,text,Unit of analytical sensitivity,,,,
analytical_inclusivity,Analytical Performance,text,Impact of variants/mutations on test results. Specificity with respect to variants/mutations compared to wildtype,,Analysis can be in silico and wet testing,,
cross_reactivity_organism,Analytical Performance,text,Name of organism tested for cross-reactivity against target organism,,Example: Human coronavirus OC43,,
cross_reactivity_organism_concentation,Analytical Performance,float,Concentration of cross-reacting organism.,,,,
cross_reactivity_organism_concentation_unit,Analytical Performance,text,Concentation unit used for cross-reacting organism.,,Example: copies/ml,,
cross_reactivity_result,Analytical Performance,category,Result of cross-reactivity test against target organism. A positive results indicates that cross-reacting organism gives a positive signal.,positive | negative | inconclusive,,,
cross_reactivity_detail,Analytical Performance,text,Description of observed cross-reactivity.,,,,
interfering_substance,Analytical Performance,text,Name of the interfering substance.,,Example: Menthol,,
interfering_substance_provider,Analytical Performance,text,Name of the entity that provided the interfering substance.,,Example: Sigma Aldrich,,
interfering_substance_concentration,Analytical Performance,list,Concentration of the interfering substance.,,Example: 1.5,,
interfering_substance_concentation_unit,Analytical Performance,text,Concentration unit  used for interfering substance.,,"Examples: mg/ml, %v/v",,
interfering_substance_detail,Analytical Performance,text,Description of observed interference.,,"Example:  There was no interference of SARS-CoV-2 detection
observed from any of the substances tested except for
bleach which was shown to interfere at the initial
concentration of 1% v/v tested. Further testing indicated that
the highest bleach level the test system could tolerate was
0.2% v/v. Source: https://www.fda.gov/media/144592/download.",,
positive_percent_agreement,Analytical/Clinical Performance,float,Positive Percent Agreement (PPA). The proportion of non-reference standard positive subjects in whom the new test is positive.,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
negative_percent_agreement,Analytical/Clinical Performance,float,Negative Percent Agreement (NPA). The proportion of non-reference standard negative subjects in whom the new test is negative.,,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
overall_percent_agreement,Analytical/Clinical Performance,float,"Percentage of total subjects where the
new test and the non-reference standard agree.",,,,https://www.fda.gov/files/medical%20devices/published/Guidance-for-Industry-and-FDA-Staff---Statistical-Guidance-on-Reporting-Results-from-Studies-Evaluating-Diagnostic-Tests-%28PDF-Version%29.pdf
