Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Field Annotation
record_id,form_1,,text,Record ID,,,,,,," @HIDDEN"
study_id,form_1,,text,Study ID,,,,,,,
race,form_1,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,
ethnicity,form_1,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,
age,form_1,Age,text,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",integer,0,120,,
sex,form_1,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,
education,form_1,Education,text,How many years of education have you completed?,,Years of education from 0 - 20+,integer,,,,
zip,form_1,Domicile,text,Zip or Postal Code:,,5-digit zip code,,,,,
employment,form_1,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,
insurance,form_1,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,
deaf,form_1,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,
blind,form_1,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,
memory_dis,form_1,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,
walking_climbing_dis,form_1,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,
dress_bathe_dis,form_1,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,
errand_dis,form_1,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,
vaping,form_1,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,
nicotine,form_1,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,
alcohol_use,form_1,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,
asthma,form_1,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,
cancer,form_1,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,
cardiovascular_disease,form_1,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,
chronic_kidney_disease,form_1,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,
chronic_lung_disease,form_1,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,
diabetes,form_1,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,
hypertension,form_1,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,
immunosuppressive_conditio,form_1,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,
serious_mental_illness,form_1,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,
sickle_cell_disease,form_1,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,
pregnancy_status,form_1,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,[sex] = '2',
cough,form_1,"Symptoms ",radio,Cough,"1, Yes | 0, No",,,,,,
fever,form_1,"Symptoms ",radio,Fever,"1, Yes | 0, No",,,,,,
shortness_of_breath_or_dif,form_1,"Symptoms ",radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,
headache,form_1,"Symptoms ",radio,Headache,"1, Yes | 0, No",,,,,,
muscle_ache,form_1,"Symptoms ",radio,Muscle ache,"1, Yes | 0, No",,,,,,
new_loss_of_taste_or_smell,form_1,"Symptoms ",radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,
chills,form_1,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,
excessive_fatigue,form_1,"Symptoms ",radio,Excessive fatigue,"1, Yes | 0, No",,,,,,
nausea_vomiting,form_1,"Symptoms ",radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,
diarrhea,form_1,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,
abdominal_pain,form_1,"Symptoms ",radio,Abdominal pain,"1, Yes | 0, No",,,,,,
skin_rash,form_1,"Symptoms ",radio,Skin rash,"1, Yes | 0, No",,,,,,
conjunctivitis,form_1,"Symptoms ",radio,Conjunctivitis,"1, Yes | 0, No",,,,,,
height_feet,form_1,"Symptoms ",dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,
height_inches,form_1,"Symptoms ",dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,
weight_lbs,form_1,"Symptoms ",text,What is your weight?,,Weight in pounds,number,,,,
health_status,form_1,"Symptoms ",radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,
mucus_membrane_changes,form_1,"Symptoms ",radio,Mucus membranen changes,"1, Yes | 0, No",,,,,,
