variable_name,description,datatype,required,unique
GoogleFitSampleKey,Unique identifier for this piece of data,String,,True
ParticipantIdentifier,Identifier of the participant,String,True,
Type,The type of the sample e.g. steps of heart rate,String,,
WindowStart,Optional start time for the sample in ISO 8601 format,DateTime,,
WindowEnd,Timestamp for when the sample was taken in ISO 8601 format,DateTime,,
Value,Value recorded - may be a number a string or a json object,String,,
Units,Units for the value if applicable,String,,
DataSourceName,Google Fit specific data source context,String,,
DataSourceAppPackageName,Google Fit specific data source context,String,,
DataSourceStreamName,Google Fit specific data source context,String,,
DataSourceDeviceManufacturer,Google Fit specific data source context,String,,
DataSourceDeviceModel,Google Fit specific data source context,String,,
DataSourceDeviceType,Google Fit specific data source context,String,,
OriginalDataSourceName,Google Fit specific data source context,String,,
OriginalDataSourceAppPackageName,Google Fit specific data source context,String,,
OriginalDataSourceStreamName,Google Fit specific data source context,String,,
OriginalDataSourceDeviceManufacturer,Google Fit specific data source context,String,,
OriginalDataSourceDeviceModel,Google Fit specific data source context,String,,
OriginalDataSourceDeviceType,Google Fit specific data source context,String,,
InsertedDate,Date the entry was created in ISO 8601 format,Timestamp,,
