datatype,variable_name,description
TIMESTAMP_NTZ,DELIVERED_AT,Internal timestamp utilized for deduplication where the most recent DELIVERED_AT and respective table primary key will remove duplicative records
TEXT,EXTERNAL_PARTICIPANT_ID,The unique achievement id associated with the event
TEXT,SUMMARY_ID,"Original Source name (if applicable): `summaryId`.

Garmin documenention:

Unique identifier for the summary. 
"
NUMBER,ACTIVE_KILOCALORIES,"Original Source name (if applicable): `activeKilocalories`.

Garmin documenention:

 Active kilocalories (dietary calories) burned through actual movement and activity during the monitoring period.
"
TEXT,ACTIVITY_TYPE,"Original Source name (if applicable): `activityType`.

Garmin documenention:

Text description of the activity type.  See Appendix A for a complete list."
FLOAT,AVERAGE_BIKE_CADENCE_IN_ROUNDS_PER_MINUTE,"Original Source name (if applicable): `averageBikeCadenceInRoundsPerMinute`.

Garmin documenention:

 
"
NUMBER,AVERAGE_HEART_RATE_IN_BEATS_PER_MINUTE,"Original Source name (if applicable): `averageHeartRateInBeatsPerMinute`.

Garmin documenention:

 Average of heart rate values captured during the last 7 days, in beats per
minute. 
"
FLOAT,AVERAGE_PACE_IN_MINUTES_PER_KILOMETER,"Original Source name (if applicable): `averagePaceInMinutesPerKilometer`.

Garmin documenention:

 
"
FLOAT,AVERAGE_RUN_CADENCE_IN_STEPS_PER_MINUTE,"Original Source name (if applicable): `averageRunCadenceInStepsPerMinute`.

Garmin documenention:

 
"
FLOAT,AVERAGE_SPEED_IN_METERS_PER_SECOND,"Original Source name (if applicable): `averageSpeedInMetersPerSecond`.

Garmin documenention:

 
"
FLOAT,AVERAGE_SWIM_CADENCE_IN_STROKES_PER_MINUTE,"Original Source name (if applicable): `averageSwimCadenceInStrokesPerMinute`.

Garmin documenention:

 
"
TEXT,DEVICE_NAME,"Original Source name (if applicable): `deviceName`.

Garmin documenention:

Only Fitness activities are associated with a specific Garmin device rather than the user’s overall account. If the user wears two devices at once at the same time and starts a Fitness Activity on each then both will generate separate Activities with two different deviceNames.
"
FLOAT,DISTANCE_IN_METERS,"Original Source name (if applicable): `distanceInMeters`.

Garmin documenention:

Distance traveled in meters.
"
NUMBER,DURATION_IN_SECONDS,"Original Source name (if applicable): `durationInSeconds`.

Garmin documenention:

Length of the monitoring period in seconds. 86400 once a full day is complete, but less if a user syncs mid-day.
"
TEXT,IS_PARENT,"Original Source name (if applicable): `isParent`.

Garmin documenention:

If present and set to true, this activity is the parent activity of one or more child activities that should also be made available in the data feed to the partner. An activity of type MULTI_SPORT is an example of a parent activity.
"
TEXT,MANUAL,"Original Source name (if applicable): `manual`.

Garmin documenention:

Indicates that the activity was manually entered directly on the Connect site. This property will only exist for manual activities.
"
FLOAT,MAX_BIKE_CADENCE_IN_ROUNDS_PER_MINUTE,"Original Source name (if applicable): `maxBikeCadenceInRoundsPerMinute`.

Garmin documenention:

 
"
FLOAT,MAX_HEART_RATE_IN_BEATS_PER_MINUTE,"Original Source name (if applicable): `maxHeartRateInBeatsPerMinute`.

Garmin documenention:

Maximum of heart rate values captured during the monitoring period, in beats per minute.
"
FLOAT,MAX_PACE_IN_MINUTES_PER_KILOMETER,"Original Source name (if applicable): `maxPaceInMinutesPerKilometer`.

Garmin documenention:

 
"
FLOAT,MAX_RUN_CADENCE_IN_STEPS_PER_MINUTE,"Original Source name (if applicable): `maxRunCadenceInStepsPerMinute`.

Garmin documenention:

 
"
FLOAT,MAX_SPEED_IN_METERS_PER_SECOND,"Original Source name (if applicable): `maxSpeedInMetersPerSecond`.

Garmin documenention:

 
"
NUMBER,NUMBER_OF_ACTIVE_LENGTHS,"Original Source name (if applicable): `numberOfActiveLengths`.

Garmin documenention:

 
"
NUMBER,START_TIME_IN_SECONDS,"Original Source name (if applicable): `startTimeInSeconds`.

Garmin documenention:

Start time of the activity in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).
"
NUMBER,START_TIME_OFFSET_IN_SECONDS,"Original Source name (if applicable): `startTimeOffsetInSeconds`.

Garmin documenention:

Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.
"
NUMBER,STEPS,"Original Source name (if applicable): `steps`.

Garmin documenention:

Count of steps recorded during the monitoring period."
FLOAT,TOTAL_ELEVATION_GAIN_IN_METERS,"Original Source name (if applicable): `totalElevationGainInMeters`.

Garmin documenention:

 
"
FLOAT,TOTAL_ELEVATION_LOSS_IN_METERS,"Original Source name (if applicable): `totalElevationLossInMeters`.

Garmin documenention:

 "
