variable_name,description,seeAlso,datatype
id_participant_external,Participant external identifier,,String
dt,Evidation based date of record,,Date
dateTime,Date corresponding to Heart Rate Zone recording,https://dev.fitbit.com/build/reference/web-api/heart-rate/,String
customHeartRateZones[array].caloriesOut,Total estimated calories expended within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Double
customHeartRateZones[array].max,Maximum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
customHeartRateZones[array].min,Minimum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
customHeartRateZones[array].minutes,Total minutes within Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
customHeartRateZones[array].name,Name of Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,String
heartRateZones[array].caloriesOut,Total estimated calories expended within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Double
heartRateZones[array].max,Maximum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
heartRateZones[array].min,Minimum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
heartRateZones[array].minutes,Total minutes within Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,Long
heartRateZones[array].name,"Name of Heart Rate Zone array. Possible Values: {'Cardio', 'Fat Burn', 'Peak', 'Out of Range'}",https://dev.fitbit.com/build/reference/web-api/heart-rate/,String
