variable_name,description,seeAlso,datatype
id_participant_external,Participant external identifier,,String
dt,Evidation based date of record,,Date
dateOfSleep,Date corresponding to sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,String
duration,Duration of sleep record in milliseconds,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
efficiency,Sleep efficiency score,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
endTime,Date and time the sleep record ended,https://dev.fitbit.com/build/reference/web-api/sleep/,String
infoCode,Numeric code corresponding to Type value,https://dev.fitbit.com/build/reference/web-api/sleep/,String
isMainSleep,Whether or not each sleep period is part of the main sleep for the day,https://dev.fitbit.com/build/reference/web-api/sleep/,Boolean
minutesAfterWakeup,Number of minutes after user awakens from sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
minutesAsleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
minutesAwake,Total minutes awake for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
minutesToFallAsleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
startTime,Timestamp of sleep periord start time,https://dev.fitbit.com/build/reference/web-api/sleep/,String
timeInBed,Total time in bed for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
type,"Category of sleep data. Possible values {'classic', 'stages'}",https://dev.fitbit.com/build/reference/web-api/sleep/,String
data[array].dateTime,datetime for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",String
data[array].level,"String level for Data groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",String
data[array].seconds,seconds for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",Long
shortData[array].dateTime,datetime for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",String
shortData[array].level,"String level for shortData groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",String
shortData[array].seconds,seconds for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",Long
summary.asleep.count,Number of distinct sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.asleep.minutes,Total minutes in asleep period during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.awake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.awake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.deep.count,Number of distinct deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.deep.minutes,Total minutes in deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.deep.thirtyDayAvgMinutes,Thirty Day Average of time spent in deep sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.light.count,Number of distinct light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.light.minutes,Total minutes in light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.light.thirtyDayAvgMinutes,Thirty Day Average of time spent in light sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.rem.count,Number of distinct rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.rem.minutes,Total minutes in rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.rem.thirtyDayAvgMinutes,Thirty Day Average of time spent in rem sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.restless.count,Number of distinct restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.restless.minutes,Total minutes in restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.wake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.wake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
summary.wake.thirtyDayAvgMinutes,Thirty Day Average of time spent in awake category,https://dev.fitbit.com/build/reference/web-api/sleep/,Long
dateTime,Date corresponding to sleep record,Data exists only prior to 2020-04-23,String
