datatype,variable_name,description,value_constraints
TEXT,EXTERNAL_PARTICIPANT_ID,The unique identifier associated with the event,
TEXT,RESPONSE_STATUS,Status of the response: completed,
TIMESTAMP_NTZ,CREATED_AT,Date the response was created,
TIMESTAMP_NTZ,MODIFIED_AT,Date the response was modified,
TIMESTAMP_NTZ,PROCESSED_AT,Timestamp the data was ingested/updated into Snowflake,
NUMBER,DUR_RESPONSE_SECS,Duration time in seconds for survey reponse.,
TEXT,HAVE_YOU_EXPERIENCED_FLU_LIKE_OR_CORONAVIRUS_LIKE_SYMPTOMS_IN_THE_PAST_7_DAYS,"Have you experienced flu-like or coronavirus-like symptoms in the past 7 days (such as fever, chills, cough, shortness of breath, and/or headache)?<br><br><em>If you had flu-like or coronavirus-like symptoms in the past 7 days, but have recovered, please still answer YES.</em>","[""yes"",""no""]"
TEXT,WHEN_DID_YOU_FIRST_BEGIN_EXPERIENCING_FLU_LIKE_OR_CORONAVIRUS_LIKE_SYMPTOMS__DATE_OF_FIRST_SYMPTOM_EXPERIENCE,"When did you <em>first begin experiencing flu-like or coronavirus-like symptoms</em>? If you don?t recall the exact date, please provide the best estimate. | Date of First Symptom Experience",
TEXT,IS_THIS_THE_FIRST_TIME_THAT_YOU_ARE_REPORTING_THE_SYMPTOMS_OF_THIS_SPECIFIC_FLU_LIKE_OR_CORONAVIRUS_LIKE_ILLNESS_ON_THIS_SURVEY,Is this the first time that you are reporting the symptoms of this specific flu-like or coronavirus-like illness on this survey??,"[""yes_this_is_the_first_time_i_am_reporting_these_symptoms"",""no_i_have_reported_having_these_symptoms_on_one_of_these_flu_or_coronavirus_related_surveys_within_the_past_month"",""i_don_t_know_i_can_t_remember""]"
TEXT,AS_OF_TODAY_DO_YOU_FEEL_THAT_YOU_HAVE_COMPLETELY_RECOVERED_FROM_YOUR_ILLNESS,"As of today, do you feel that you have completely recovered from your illness?","[""yes"",""no""]"
TEXT,WHEN_DID_YOU_FEEL_YOU_WERE_COMPLETELY_RECOVERED_FROM_YOUR_ILLNESS__DATE_RECOVERED,"When did you feel you were completely recovered from your illness? If you don?t recall the exact date, please provide the best estimate. | Date Recovered",
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__I_DID_NOT_EXPERIENCE_ANY_FLU_LIKE_SYMPTOMS,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | I did not experience any flu-like symptoms","[""""i_did_not_experience_any_flu_like_symptoms""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__FEVER,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fever","[""""fever""""]"
TEXT,WE_D_LIKE_TO_KNOW_MORE_ABOUT_THE_SYMPTOMS_YOU_EXPERIENCED_LOOKING_BACK_OVER_THE_PAST_7_DAYS__FEELING_HOT_OR_FEVERISH_OR_HAVING_CHILLS_OR_SHIVERING,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Feeling hot or feverish or having chills or shivering","[""""feeling_hot_or_feverish_or_having_chills_or_shivering""""]"
