variable_name,section_header,ui,label,value_constraints,field_note,units,CDE Reference
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,
sample_media_id,Sample,text,"Catalog number, batch number, etc. for the sample media",,,,
sample_media_provider,Sample,text,Entity that provided the sample media,,example: Lee Biosolutions,,
sample_media_provider_url,Sample,text,URL of the sample media provider,,example: https://www.leebio.com/product/1769/saliva-pooled-human-donors-991-05-p-prec,,
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,
sample_concentration_unit,Sample,text,Unit of the sample concentration,,exmaple: copies/ml,,
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,https://www.ncbi.nlm.nih.gov/taxonomy
target_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,https://www.ncbi.nlm.nih.gov/taxonomy
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,
target_subtype,Target,text,Subtype of organism,,example (Influenza): H1N1,,https://www.ncbi.nlm.nih.gov/taxonomy
gisaid_id,Target,text,GISAID isolate id of the original isolate,,example: EPI_ISL_751801,,https://www.gisaid.org
gisaid_clade,Target,text,GISAID clade for SARS-CoV-2 variant,,example: GRY,,https://www.gisaid.org
nucleotide_db_id,Target,text,"Nucleotide Sequence Database id, e.g., GenBank or ENA id of the original isolate",,example: MN985325.1,,https://www.ncbi.nlm.nih.gov/genbank |  https://www.ebi.ac.uk/ena
pango_lineage,Target,text,Pango lineage for SARS-CoV-2 variant,,example: B.1.1.7,,https://cov-lineages.org
who_label,Target,text,WHO label for SARS-CoV-2 variant,,example: Alpha,,https://www.who.int/en/activities/tracking-SARS-CoV-2-variants
target_analyte_type,Sample,list,Type of analyte(s) or target(s) to be detected,antigen | genomic RNA | inactivated virus | live virus | pseudovirus | antibody,example: antigen,,
antigen_name,Sample/Antigen,text,UniProt preferred protein name,,example: Spike glycoprotein,,
antigen_id,Sample/Antigen,text,"Protein Sequence Database id, e.g., UniProt accession number or NCBI GenPept id",,examples: P0DTC2|YP_009724390.1,,https://www.uniprot.org/ | https://www.ncbi.nlm.nih.gov/protein
antigen_sequence,Sample/Antigen,sequence,Protein sequence if  protein sequence database id is unavailable,,,,
antigen_nterminal_tag,Sample/Antigen,text,Name of tag attached to N-terminal,,example: HIS,,
antigen_cterminal_tag,Sample/Antigen,text,Name of tag attached to C-terminal,,example: HIS,,
antigen_region,Sample/Antigen,text,Domain or subunit name,,examples: S1|Receptor Binding Domain,,
antigen_region_start,Sample/Antigen,integer,Start residue number of region,,example: 16,,
antigen_region_end,Sample/Antigen,integer,End residue number of region,,example: 685,,
antigen_expression_system,Sample/Antigen,text,System used to express protein,,,,
antigen_formulation,Sample/Antigen,text,Formulation of antigen,,"example: Lyophilized from sterile PBS, pH 7.4.",,
antigen_source,Sample/Antigen,text,Supplier of antigen or publication,,example: Sino Biological,,
antigen_source_url,Sampe/Antigen,url,URL of supplier catalog page or publication DOI link,,example: https://www.sinobiological.com/recombinant-proteins/2019-ncov-cov-spike-40591-v08h,,
antigen_concentration,Sample/Antigen,float,Protein concentration,,example: 1.0,,
antigen_concentration_unit,Sample/Antigen,text,Unit of protein concentration,mM | uM| nM | pM | fM,example: nM,,
VQA data elements to be updated (see VQA panel),Sample/Antigen,,,,,,
virus_sample_id,Sample/Virus,text,"Identifier for virus sample, for VQA panels this is the QR code, for BEI the catalog number",,"examples: XXXX-XXXX-XXXX-XXXX (VQA panel),  NR-52286 (BEI Resources)",,
virus_batch_number,Sample/Virus,text,Batch and or/lot number of virus sample,,,,
virus_sample_formulation,Sample/Virus,text,Formulation of virus sample,,"example: Strain diluted in cell culture
media (DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 ug/ml Streptomycin).",,
virus_sample_provider,Sample/Virus,text,Provider from where the inactivated virus sample was procured from,,examples: UCSD|BEI Resources|ATCC,,
virus_sample_provider_url,Sample/Virus,url,URL of supplier catalog page or publication DOI link,,example:  https://www.beiresources.org/Catalog/animalviruses/NR-52281.aspx,,
virus_source,Sample/Virus,text,Source of the live virus,,"examples: BEI Resources, UCSD ",,
virus_location,Sample/Virus,text,Location where the virus sample was collected,,,,
virus_sample_type,Sample/Virus,category,Type of virus sample,inactivated virus|life virus,example: inactivated virus,,
virus_sample_inactivation_method,Sample/Virus,category,Method of virus inactivation,UV | heat | Gamma-irradiated,example: heat,,
virus_sample_formulation,Sample/Virus,text,Formulation (media) of virus sample,,,,
virus_sample_concentration,Sample/Virus,float,Concentration of virus (gene copies/ml),,example: 1.16E+09,copies/ml,
virus_sample_concentration_reference_gene,Sample/Virus,text,Reference gene used to determine concentration of virus,,example: ORF1a|N,,
virus_sample_tcid50,Sample/Virus,float,Tissue Culture Infectious Dose 50% (TCID50) endpoint is the 50% infectious endpoint in cell culture. The TCID50 is the dilution of virus that under the conditions of the assay can be expected to infect 50% of the culture vessels inoculated. (TCID50/ml),,,TCID50/ml,https://www.beiresources.org
virus_sample_tcid_cell_line,Sample/Virus,text,Cell line used for producing virus,,example: Calu-3,,
antibody data elements ... tbd,Sample/Virus,,,,,,
antibody_type,Sample/Antibody,category,Type of antibody,human IgA | human IgG | human IgM,,,
