Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
System_Type,Model System,radio,What model system is being used?,"1, IGE | 0, SP6",,,,,,
Aptamer_Present,Surface Type,radio,Is aptamer immobilized on the surface?,"1, Yes | 0, No",,,,,,
Aptamer _Type,Model System,radio,What type of aptamer?,"1, monoaptamer | 2, polyaptamer | 3, polyrandomer | 4, N/A",,,,,,
Protein_Decorated_Bead,Bead Type,radio,Is protein immobilized on the bead?,"1, Yes | 0, No",,,,,,
Protein_Type,Bead Type,radio,What type of protein?,"1, IgE | 2, Spike Protein | 3, N/A",,,,,,
Surface_Chemistry,Surface Type,radio,What is the surface chemistry?,"1, Streptavidin-Biotin Chemistry | 0, Click Chemistry",,,,,,
Surface_Source,Surface Type,radio,Is the surface commercial or made in-house,"1, Commercial | 0, In-house",,,,,,
Average_Intensity,Performance,float,What is the average fluorescence signal?,,RFU,,,,RFU,
