Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
protocol_id,Technology Metadata,text,Unique name or identifier for biosensor protocol,,example: ddPCR_SARS-CoV-2,,,,,RADx-rad DCC
technology_platform,Technology Metadata,text,Abbreviation or short label for technology,,example: ddPCR,,,,,RADx-rad DCC
technology_description,Technology Metadata,text,Short description of technology,,example: Droplet Digital PCR,,,,,RADx-rad DCC
technology_reference,Technology Metadata,url,"URL of publication, preprint, or website that describes technology",,,,,,,RADx-rad DCC
analyte_type,Technology Metadata,list,Type of analyte(s) or target(s) to be detected,antigen | viral RNA | virus | antibody | human IgA | human IgG | human IgM | neutralizing antibody | EV RNA | VOC,example: virus,,,,,RADx-rad DCC
signal_detection,Technology Metadata,category,Type of signal generated by the methods or assay,amperometric | chemiluminescent | chromatographic | colorimetric | displacement | fluorogenic |  gas-chromatograpic | impedimetric | MS peak area | olfactory perception | Raman scattering intensity | voltammetric,example: amerometric,,,,,RADx-rad DCC
raman_shift_min,Technology Metadata/SERS,float,Raman shift range lower bound,,,,,,,RADx-rad DCC
raman_shift_max,Technology Metadata/SERS,float,Raman shift range upper bound,,,,,,,RADx-rad DCC
raman_shift_unit,Technology Metadata/SERS,text,Unit of raman_shift,,,,,,,RADx-rad DCC
laser_wavelength,Technology Metadata/SERS,integer,Wavelength of the incident laser,,,,,,,RADx-rad DCC
laser_wavelength_unit,Technology Metadata/SERS,text,Unit of laser_wavelength,,,,,,,RADx-rad DCC
acquisition_time,Technology Metadata/SERS,integer,The time necessary to record the signal,,,,,,,RADx-rad DCC
acquisition_time_unit,Technology Metadata/SERS,text,Unit of acquisition_time,,,,,,,RADx-rad DCC
map_width,Technology Metadata/SERS,integer,Width of the scanning area,,,,,,,RADx-rad DCC
map_height,Technology Metadata/SERS,integer,Height of the scanning area,,,,,,,RADx-rad DCC
map_step_size,Technology Metadata/SERS,integer,Laser moving unit during scanning,,,,,,,RADx-rad DCC
map_size_unit,Technology Metadata/SERS,text,Unit of map_size,,,,,,,RADx-rad DCC
laser_power_min,Technology Metadata/SERS,integer,Minimal power of the laser,,,,,,,RADx-rad DCC
laser_power_max,Technology Metadata/SERS,integer,Maximal power of the laser,,,,,,,RADx-rad DCC
laser_power_unit,Technology Metadata/SERS,text,Unit of laser_power,,,,,,,RADx-rad DCC
copies_of_sars_cov_2_particles,Technology Metadata/SERS,integer,Number of SARS-CoV-2 viral particles,,,,,,,RADx-rad DCC
copies_of_non_sars_cov_2_particles,Technology Metadata/SERS,integer,Number of extracellular vesicles excluding SARS-CoV-2 viral particles,,,,,,,RADx-rad DCC
copies_of_total_particles,Technology Metadata/SERS,integer,Total number of extracellular vesicles including SARS-CoV-2 viral particles,,,,,,,RADx-rad DCC
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,,,,RADx-rad DCC
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,,,,RADx-rad DCC
sample_media_source,Sample,text,Entity that provided the sample media,,example: Lee Biosolutions,,,,,RADx-rad DCC
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,,,,RADx-rad DCC
sample_concentration_unit,Sample,text,Unit of the target analyte concentration,,example: copies/ml,,,,,RADx-rad DCC
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,,,,RADx-rad DCC|https://www.ncbi.nlm.nih.gov/taxonomy
target_organism_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,,,,RADx-rad DCC|https://www.ncbi.nlm.nih.gov/taxonomy
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,,,,RADx-rad DCC
gisaid_id,Target,text,GISAID isolate id of the original isolate,,example: EPI_ISL_751801,,,,,RADx-rad DCC|https://www.gisaid.org
gisaid_clade,Target,text,GISAID clade for SARS-CoV-2 variant,,example: GRY,,,,,RADx-rad DCC|https://www.gisaid.org
nucleotide_db_id,Target,text,"Nucleotide Sequence Database id, e.g., GenBank or ENA id of the original isolate",,example: MN985325.1,,,,,RADx-rad DCC|https://www.ncbi.nlm.nih.gov/genbank|https://www.ebi.ac.uk/ena
pango_lineage,Target,text,Pango lineage for SARS-CoV-2 variant,,example: B.1.1.7,,,,,RADx-rad DCC|https://cov-lineages.org
who_label,Target,text,WHO label for SARS-CoV-2 variant,,example: Alpha,,,,,RADx-rad DCC|https://www.who.int/en/activities/tracking-SARS-CoV-2-variants
virus_sample_id,Sample/VQA panel,text,"Identifier for virus sample, for VQA panels this is the QR code, for BEI the catalog number",,"examples: XXXX-XXXX-XXXX-XXXX (VQA panel),  NR-52286 (BEI Resources)",,,,,RADx-rad DCC
virus_batch_number,Sample/VQA panel,text,Batch and or/lot number of virus sample,,,,,,,RADx-rad DCC
virus_sample_formulation,Sample/VQA panel,text,Formulation of virus sample,,"example: Strain diluted in cell culture
media (DMEM + 1% FBS + 10mM HEPES + 50 units/ml Penicillin and 50 ug/ml Streptomycin).",,,,,RADx-rad DCC
virus_sample_source,Sample/VQA panel,text,Provider from where the inactivated virus sample was procured from,,examples: UCSD|BEI Resources|ATCC,,,,,RADx-rad DCC
virus_sample_source_url,Sample/VQA panel,url,URL of supplier catalog page or publication DOI link,,example:  https://www.beiresources.org/Catalog/animalviruses/NR-52281.aspx,,,,,RADx-rad DCC
virus_source,Sample/VQA panel,text,Source of the live virus,,"examples: BEI Resources, UCSD ",,,,,RADx-rad DCC
virus_sample_type,Sample/VQA panel,category,Type of virus sample,inactivated virus|life virus,example: inactivated virus,,,,,RADx-rad DCC
