Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Units,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minumum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE
covid_vaccine,Vaccine Acceptance,radio,Have you received a COVID-19 vaccine?,"1, Yes | 0, No | 98, Prefer not to answer | 99, Don't know",,,,,,
covid_test_target_disease_status,Covid Testing,radio,Participant Testing Disease Status,"1, Asymptomatic | 2, Pre-symptomatic illness | 3, Mild/Moderate outpatient illness | 4, Acute illness | 5, Severe/Critical inpatient illness| 6, Exposed | 9, Convalescent illiness",,,,,,RADx-UP Testing Core
covid_test_type,Covid Testing,radio,Test Method Target,"1, Antibody | 2, Antigen | 3, Nucleic acid/PCR | 4, Nucleic acid/Isothermal | 5, Molecular/host response | 6, Biochemical marker (eg, pH) | 90, Other, Specify",,,,,,RADx-UP Testing Core
covid_test_ct_value,Covid Testing,integer,PCR cycle threshold,,,,,,,
covid_test_specimen_type,Covid Testing,radio,Specimen Type,"1, Anterior nasal swab | 2, Mid-turbinate nasal swab | 3, Nasopharyngeal swab | 4, Oropharyngeal swab | 5, Nasal lavage | 6, Saliva | 7, Sputum | 8, Whole blood | 90, Other, Specify",,,,,,RADx-UP Testing Core
covid_test_specimen_collector,Covid Testing,radio,Specimen Collector,"1, Self-collect | 2, Health Care Provider collected | 90, Other, Specify",,,,,,RADx-UP Testing Core
voc_technology_platform,VOC,category,Technology used for VOC detection,"1, GC |2, E-nose",,,,,,RADx-rad DCC
voc_specimen_type,VOC,category,Specimen type from which VOC was collected,"1,Breath | 2, Skin",,,,,,RADx-rad DCC
"CH2O  ",formaldehyde,,,,,,,,nmol/L,
"C2H4O  ","acetaldehyde ",,,,,,,,nmol/L,
"C3H6O  ",acetone,,,,,,,,nmol/L,
"C3H6O  ",propanal,,,,,,,,nmol/L,
"C4H8O "," butanone ",,,,,,,,nmol/L,
"C4H8O ",butanal,,,,,,,,nmol/L,
"C5H10O  "," pentanone ",,,,,,,,nmol/L,
C2H4O2,hydroxyacetaldehyde,,,,,,,,nmol/L,
"C7H14O ",heptanone,,,,,,,,nmol/L,
C8H16O,Octanone,,,,,,,,nmol/L,
C9H18O,nonanone,,,,,,,,nmol/L,
C9H18O,nonanal,,,,,,,,nmol/L,
