Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,phi_id,branching_logic,required,Custom Alignment,Description
first_name,Contact Information,text,First Name,,,,,,y,,,,
last_name,Contact Information,text,Last Name,,,,,,y,,,,
address_street,Contact Information,text,Address Number and Street,,,,,,y,,,,
address_city,Contact Information,text,City,,,,,,y,,,,
address_state,Contact Information,dropdown,State,"AL, Alabama | AK, Alaska | AZ, Arizona | AR, Arkansas | CA, California | CO, Colorado | CT, Connecticut | DE, Delaware | FL, Florida | GA, Georgia | HI, Hawaii | ID, Idaho | IL, Illinois | IN, Indiana | IA, Iowa | KS, Kansas | KY, Kentucky | LA, Louisiana | ME, Maine | MD, Maryland | MA, Massachusetts | MI, Michigan | MN, Minnesota | MS, Mississippi | MO, Missouri | MT, Montana | NE, Nebraska | NV, Nevada | NH, New Hampshire | NJ, New Jersey | NM, New Mexico | NY, New York | NC, North Carolina | ND, North Dakota | OH, Ohio | OK, Oklahoma | OR, Oregon | PA, Pennsylvania | RI, Rhode Island | SC, South Carolina | SD, South Dakota | TN, Tennessee | TX, Texas | UT, Utah | VT, Vermont | VA, Virginia | WA, Washington | WV, West Virginia | WI, Wisconsin | WY, Wyoming | AS, American Samoa | DC, District of Columbia | FM, Federated States of Micronesia | GU, Guam | MH, Marshall Islands | MP, Northern Mariana Islands | PW, Palau | PR, Puerto Rico | VI, Virgin Islands | AE, Armed Forces Africa, Canada, Europe, or Middle East | AA, Armed Forces Americas | AP, Armed Forces Pacific",,autocomplete,,,,,,,
phone,Contact Information,text,Phone number,,Include Area Code,phone,,,y,,,,
email,Contact Information,text,E-mail,,,email,,,y,,,,
dob,Contact Information,text,Date of birth,,,date_mdy,,,y,,,,
comments,General Comments,notes,Comments,,,,,,,,,,
record_id_a1246d,General Comments,text,Record ID,,,,,,,,,," @HIDDEN"
race_60e05e,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,,,
ethnicity_11ae57,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,,,
pregnancy_status_a51e67,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,,[sex] = '2',,,
prior_smell_or_taste_disor,Medical History,yesno,Prior smell or taste disorder,,,,,,,,,,
