Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
Subject_ID,demographics,Identity,text,Participant ID,,,,,,,
chills,symptoms,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,Y
diarrhea,symptoms,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,Y
Participant REDCap ID,,Health Status,,,,,,,,,
shifting_days_for_date,,Health Status,,,,,,,,,
shifting_years_for_age,,Health Status,,,,,,,,,
shifting_dates,,Health Status,date,,,,,,,,
Date of First Sample Collection,,Health Status,date,,,,,,,,
Type of samples collected (choice=Whole blood),,Health Status,checkbox,,,,,,,,
Type of samples collected (choice=Plasma),,Health Status,checkbox,,,,,,,,
Type of Sample Collection (choice=Prospective),,Health Status,checkbox,,,,,,,,
Type of Sample Collection (choice=Retrospective),,Health Status,checkbox,,,,,,,,
Diagnoses (choice=COVID-19),,Health Status,checkbox,,,,,,,,
"Diagnoses (choice=MIS-C (for MIS-C, also check COVID-19))",,Health Status,checkbox,,,,,,,,
Diagnoses (choice=Kawasaki Disease),,Health Status,checkbox,,,,,,,,
Diagnoses (choice=Healthy control),,Health Status,checkbox,,,,,,,,
"Diagnoses (choice=Negative control (immunocompromised, underlying conditions))",,Health Status,checkbox,,,,,,,,
Diagnoses (choice=Inflammatory control (respiratory virus or bacterial infection)),,Health Status,checkbox,,,,,,,,
Inflammatory Control comment,,Health Status,notes,,,,,,,,
Negative Control comment,,Health Status,notes,,,,,,,,
Date of COVID diagnosis,,Health Status,date,,,,,,,,
COVID-19 Severity (old classification score),,Health Status,radio,,,,,,,,
COVID-19 Severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
COVID-19 Severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
COVID-19 World Health Organization (WHO) Severity Score,,Health Status,radio,,,,,,,,
COVID-19 diagnosis notes,,Health Status,notes,,,,,,,,
SARS CoV-2 Molecular Test?,,Health Status,radio,,,,,,,,
Type of Molecular Test (choice=Antigen),,Health Status,checkbox,,,,,,,,
Type of Molecular Test (choice=PCR),,Health Status,checkbox,,,,,,,,
Type of Molecular Test (choice=IDnow),,Health Status,checkbox,,,,,,,,
Type of Molecular Test (choice=Other),,Health Status,checkbox,,,,,,,,
How many instruments were used to run SARS CoV-2 test(s)?,,Health Status,dropdown,,,,,,,,
Instrument 1,,Health Status,text,,,,,,,,
Instrument 2,,Health Status,text,,,,,,,,
Instrument 3,,Health Status,text,,,,,,,,
Instrument 4,,Health Status,text,,,,,,,,
How many antigen tests?,,Health Status,dropdown,,,,,,,,
Date of Antigen Test #1,,Health Status,date,,,,,,,,
Result of Antigen Test #1,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
Date of Antigen Test #2,,Health Status,date,,,,,,,,
Result of Antigen Test #2,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
Date of Antigen Test #3,,Health Status,date,,,,,,,,
Result of Antigen Test #3,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
"Varient Identification ",,Health Status,text,,,,,,,,
Date of Antigen Test #4,,Health Status,text,,,,,,,,
Result of Antigen Test #4,,Health Status,text,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
How many PCR tests?,,Health Status,text,,,,,,,,
Date of PCR Test #1,,Health Status,date,,,,,,,,
Result of PCR Test #1,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
Date of PCR Test #2,,Health Status,date,,,,,,,,
Result of PCR Test #2,,Health Status,text,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Variant Identification,,Health Status,text,,,,,,,,
Date of PCR Test #3,,Health Status,date,,,,,,,,
Result of PCR Test #3,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
How many IDnow tests?,,Health Status,dropdown,,,,,,,,
Date of IDnow Test #1,,Health Status,date,,,,,,,,
Result of IDnow Test #1,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
Date of IDnow Test #2,,Health Status,text,,,,,,,,
Result of IDnow Test #2,,Health Status,radio,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
Date of IDnow Test #3,,Health Status,text,,,,,,,,
Result of IDnow Test #3,,Health Status,text,,,,,,,,
Viral Load or Cycle Threshold,,Health Status,text,,,,,,,,
Varient Identification,,Health Status,text,,,,,,,,
How many other tests?,,Health Status,text,,,,,,,,
Other SARS CoV-2 Test 1,,Health Status,dropdown,,,,,,,,
Date of Other SARS CoV-2 Test 1,,Health Status,date,,,,,,,,
"Result of Other SARS CoV-2 Test 1 ",,Health Status,radio,,,,,,,,
Other SARS CoV-2 Test 2,,Health Status,text,,,,,,,,
Date of Other SARS CoV-2 Test 2,,Health Status,date,,,,,,,,
Result of Other SARS CoV-2 Test 2,,Health Status,radio,,,,,,,,
Other SARS CoV-2 Test 3,,Health Status,text,,,,,,,,
Date of Other SARS CoV-2 Test 3,,Health Status,date,,,,,,,,
Result of Other SARS CoV-2 Test 3,,Health Status,radio,,,,,,,,
Date of MIS-C diagnosis,,Health Status,date,,,,,,,,
Confirmation of MIS-C diagnosis (choice=PCR positive),,Health Status,checkbox,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Antibody positive),,Health Status,checkbox,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Direct contact with COVID+ person),,Health Status,checkbox,,,,,,,,
Confirmation of MIS-C diagnosis (choice=Other),,Health Status,checkbox,,,,,,,,
Confirmation of MIS-C diagnosis (choice=None of the above),,Health Status,checkbox,,,,,,,,
Other,,Health Status,notes,,,,,,,,
MIS-C Severity (old classification scores),,Health Status,radio,,,,,,,,
MIS-C Severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
MIS-C Severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
MIS-C diagnosis comment,,Health Status,notes,,,,,,,,
Date of Kawasaki Disease diagnosis,,Health Status,date,,,,,,,,
Type of Kawasaki Disease,,Health Status,radio,,,,,,,,
KD Severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
KD Severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
Kawasaki Disease diagnosis comments,,Health Status,notes,,,,,,,,
Control comments,,Health Status,notes,,,,,,,,
Alternative diagnosis identified?,,Health Status,radio,,,,,,,,
What is the alternative diagnosis?,,Health Status,text,,,,,,,,
SARS CoV-2 Antibody Test?,,Health Status,radio,,,,,,,,
Type of Antibody Test (choice=Spike),,Health Status,checkbox,,,,,,,,
Type of Antibody Test (choice=Nucleocapsid),,Health Status,checkbox,,,,,,,,
Type of Antibody Test (choice=Other),,Health Status,checkbox,,,,,,,,
How many spike antibody tests?,,Health Status,dropdown,,,,,,,,
Date of Spike Antibody Test #1,,Health Status,date,,,,,,,,
Result of Spike Antibody Test #1,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Date of Spike Antibody Test #2,,Health Status,date,,,,,,,,
Result of Spike Antibody Test #2,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Date of Spike Antibody Test #3,,Health Status,date,,,,,,,,
Result of Spike Antibody Test #3,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
How many nucleocapsid antibody tests ?,,Health Status,dropdown,,,,,,,,
Date of Nucleocapsid Antibody Test #1,,Health Status,date,,,,,,,,
Result of Nucleocapsid Antibody Test #1,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
Date of Nucleocapsid Antibody Test #2,,Health Status,date,,,,,,,,
Result of Nucleocapsid Antibody Test #2,,Health Status,text,,,,,,,,
Notes,,Health Status,notes,,,,,,,,
