Id,Section,Section,Label,Enumeration,Notes,min,max,branching_logic,Unit,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE
sensor_type,Health Status,text,Composition Type of Sensor Element,,,,,,,
sensor_details,Health Status,text,Specific Chemical Composition of Sensor Element,,,,,,,
analye_type,Health Status,text,Experimental Condition of Analyte,,,,,,,
analyte_details,Health Status,text,Other Experimental Details,,,,,,,
analyte_concentration,Health Status,text,"Analyte Concentration (units variable, included in text)",,,,,,,
replicate,Health Status,integer,Repeat number of experiment,,,,,,,
PL_intensity,Health Status,float,,,,,,,counts,
PL_wavelength,Health Status,float,,,,,,,nanometers,
