Id,Label,Datatype,Enumeration
ParticipantIdentifier,Participant Identifier,string,
HousingCategorization,How would you define your neighborhood?,string,
HousingOther,Please specify your type of housing,string,
EducationGrade,Please choose the highest level of education you have completed.,string,
Housing,What type of housing do you live in?,string,
EmploymentStatusStudent,Student status,string,
EmploymentStatusOther,Please specify about what you do,string,
closecontactwhen_b,When were you in close contact with someone who tested positive for COVID-19? Baseline,string,
PriorInfection,How many times have you tested positive for COVID-19 (0-9)?,integer,
closecontacthousehold_b,Do you live in the same household as the person who tested positive for the COVID-19 virus? Baseline,string,
closecontactduration_b,How much time did you spend within 6 feet of the person who tested positive for the COVID-19 virus? Baseline,string,
closecontact_b,Were you in close contact with someone who tested positive for COVID-19 in the past 7 days? Baseline,string,
contactduration_b,How much time did you spend with this person? Baseline,string,
GroupCode,Are you a member of any of the following groups?,string,
PriorInfectionTimeframe,What is your best guess for how long ago your prior infection was?,string,
PriorInfectionWhen,How long ago was your last COVID-19 infection?,string,
CurrentConditionsOther,Please specify your other chronic condition,string,
DifficultyDecisionMaking,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",string,
OverallHealth,"Would you say your health in general is excellent, very good, good, fair, or poor?",integer,
ColorBlind,Are you color-blind or do you have serious difficulty seeing colors?,string,
CigarrettesPerDay,"On average, how many cigarettes per day do you smoke?",integer,
gender_man,Man,integer,"""1"" =[Checked]"
gender_noans,NoAnswer,integer,"""1"" =[Checked]"
gender_nonbin,Non-binary,integer,"""1"" =[Checked]"
gender_trans,Transgender,integer,"""1"" =[Checked]"
gender_woman,Woman,integer,"""1"" =[Checked]"
race_asian_asian,Asian,integer,"""1"" =[Checked]"
race_asian_chinese,Chinese,integer,"""1"" =[Checked]"
race_asian_filipino,Filipino,integer,"""1"" =[Checked]"
race_asian_indian,Indian,integer,"""1"" =[Checked]"
race_asian_japanese,Japanese,integer,"""1"" =[Checked]"
race_asian_korean,Korean,integer,"""1"" =[Checked]"
race_asian_other,Other Asian or Mix,integer,"""1"" =[Checked]"
race_asian_vietnamese,Vietnamese,integer,"""1"" =[Checked]"
pacisl_nathaw,Native Hawaiian,integer,"""1"" =[Checked]"
cond_SeriousMentalIllness,Serious Mental Illness,integer,"""1"" =[Checked]"
elig_smp_cough,Cough at Eligibility Screen,integer,
elig_smp_body_aches,Muscle or body aches at Eligibility Screen,integer,
