variable_name,description,datatype
id_participant_external,Participant external identifier,string
dt,Evidation based date of record,date
activekilocalories,Active kilocalories (dietary calories) burned during the monitoring period.  This includes only the calories burned by the activity and not calories burned as part of the basal metabolic rate (BMR).,long
activetimeinseconds,Portion of the monitoring period (in seconds) in which the device wearer was active for this activity type. The sum of active times of all epochs of the same start time (and different activity types) should be equal to the duration.,long
activitytype,Text description of the activity type.,string
distanceinmeters,Distance traveled in meters,double
durationinseconds,Length of the monitoring period in seconds.,long
intensity,"Qualitative measure of intensity. ",string
maxmotionintensity,"The largest motion intensity score of any minute in this monitoring period. ",double
meanmotionintensity,"The average of motion intensity scores for all minutes in this monitoring period. ",double
met,"MET (Metabolic Equivalent of Task) value for the active time for this activity type. ",double
starttimeinseconds,"Start time of the monitoring period in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",long
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data",long
