question_id,variable_name,datatype,label,value_constraints
"",id_participant_external,string,Participant identifier,
0.0,ts__created,string,Timestamp for survey,[]
0.0,symp__start_date,string,"When did you first begin experiencing flu-like symptoms? If you don't recall the exact date, please provide the best estimate.__Date",[]
0.0,recovered_today,string,"As of today, do you feel that you have completely recovered from your illness?__Response","['Yes', 'No']"
0.0,symp__recovery_date,string,"When did you feel you were completely recovered from your illness? If you don’t recall the exact date, please provide the best estimate.__Date / Time",[]
0.0,symp__cough,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Cough","['Cough', nan]"
0.0,symp__bodyache,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Body/muscle ache","['Body/Muscle Ache', nan, 'Body/muscle ache']"
0.0,symp__fever,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Fever or feeling feverish","['Fever or feeling feverish', nan]"
0.0,symp__chills_shiver,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Chills or shivering","['Chills or shivering', nan]"
0.0,symp__sweats,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sweats","['Sweats', nan]"
0.0,symp__headache,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Headache","['Headache', nan]"
0.0,symp__sore_throat,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sore throat or itchy/scratchy throat","[nan, 'Sore throat or itchy/scratchy throat']"
0.0,symp__fatigue,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Feeling more tired than usual","['Feeling more tired than usual', nan]"
0.0,symp__nasal,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Nasal congestion or runny nose","['Nasal congestion or runny nose', nan]"
0.0,symp__sneezing,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Sneezing","['Sneezing', nan]"
0.0,symp__no_symp,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__I did not experience any flu-like symptoms","[nan, 'I did not experience any flu-like symptoms']"
0.0,symp__other,string,"We’d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Please select all that apply.__Other (please specify)",[]
