datatype,variable_name,description,value_constraints
text,external_participant_id,The unique identifier associated with the event,
text,response_status,"Status of the response:\ completed, partial, overquota, or disqualified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details)",
timestamp_ntz,created_at,Date the response was created (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),
timestamp_ntz,modified_at,Date the response was modified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),
timestamp_ntz,processed_at,Timestamp the data was ingested/updated into Snowflake,
number,dur_response_secs,Duration time in seconds for survey reponse.,
text,would_you_like_to_participate,Would you like to participate?,"[""yes"",""no""]"
text,are_you_18_years_of_age_or_older,Are you 18 years of age or older?,"[""yes"",""no""]"
text,do_you_currently_live_in_the_united_states,Do you currently live in the United States?,"[""yes"",""no""]"
text,do_you_currently_speak_read_and_understand_english,"Do you currently speak, read, and understand English?","[""yes"",""no""]"
text,what_is_your_current_age,What is your current age?,"[""18"",""19"",""21"",""22"",""23"",""26"",""27"",""30"",""32"",""33"",""35"",""36"",""37"",""41"",""47"",""52"",""55"",""57"",""60"",""63"",""73"",""77"",""80"",""81"",""94"",""95"",""98"",""100"",""34"",""44"",""45"",""46"",""50"",""53"",""61"",""65"",""66"",""72"",""74"",""84"",""86"",""88"",""48"",""71"",""76"",""85"",""20"",""25"",""28"",""29"",""38"",""40"",""49"",""51"",""54"",""56"",""58"",""64"",""68"",""69"",""75"",""79"",""82"",""83"",""89"",""92"",""93"",""96"",""97"",""31"",""78"",""24"",""39"",""42"",""43"",""59"",""87"",""90"",""91"",""99"",""62"",""67"",""70""]"
text,what_is_your_biological_sex_assigned_at_birth_for_example_on_your_birth_certificate,"What is your biological sex assigned at birth (for example, on your birth certificate)?","[""female"",""intersex"",""male"",""i_prefer_not_to_answer"",""none_of_these_describe_me""]"
text,what_is_your_current_gender__i_prefer_not_to_answer,What is your current gender? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
text,what_is_your_current_gender__female,What is your current gender? Please select all that apply. | Female,"[""""female""""]"
text,what_is_your_current_gender__gender_queer,What is your current gender? Please select all that apply. | Gender Queer,"[""""gender_queer""""]"
text,what_is_your_current_gender__male,What is your current gender? Please select all that apply. | Male,"[""""male""""]"
text,what_is_your_current_gender__transgender_female_trans_woman_mtf,What is your current gender? Please select all that apply. | Transgender Female/Trans Woman/MtF,"[""""transgender_female_trans_woman_mtf""""]"
text,what_is_your_current_gender__transgender_male_trans_man_ftm,What is your current gender? Please select all that apply. | Transgender Male/Trans Man/FtM,"[""""transgender_male_trans_man_ftm""""]"
