survey_name,survey_version,variable_name,label,required,datatype,value_constraints
Demographics Survey,0,sex,What is your biological sex?,true,select one,Male;Female;Prefer not to say
Demographics Survey,0,gender,How would you describe your current gender identity?,true,select one,Male;Female;Transgender Woman (Male-to-Female);Transgender Man (Female-to-Male);Genderqueer;Another Gender Identity;Decline to state
Demographics Survey,0,gender_identity,What gender identity do you identify with? (Optional),false,string,String
Demographics Survey,0,race,What is your racial background? CHECK ALL THAT APPLY.,false,select any,Black or African American;White;Asian (including South Asian and Asian Indian);Native Hawaiian or Pacific Islander;American Indian or Alaska Native;Some other race;Don't know
Demographics Survey,0,asian,What is your Asian background?,true,select one,Chinese;Filipino;Asian Indian;Japanese;Korean;Vietnamese;Other Asian or Mix
Demographics Survey,0,pacisland,What is your Pacific Island background?,true,select one,Native Hawaiian;Samoan;Guamanian or Chamorro;Other Pacific Islander or Mix
Demographics Survey,0,hispanic,"Are you of Hispanic, Latino or Spanish origin or ancestry?",true,select one,"No;Yes: Mexican, Mexican American or Chicano;Yes: Puerto Rican;Yes: Cuban;Yes: Other or Mixed Hispanic, Latino or Spanish origin;Don't know;Prefer not to state"
Demographics Survey,0,ladder,Where would you place yourself on this ladder?,true,select one,1;2;3;4;5;6;7;8;9;10
Demographics Survey,0,education,What is the highest level of education you have achieved?,true,select one,"No formal schooling;Some school, but did not graduate high school;High school diploma or equivalency (e.g., GED);Associate degree (e.g., junior college);Some college, but did not graduate college;Bachelor's degree;Master's degree;Doctorate (PhD);Professional doctorate (MD, JD, DDS, etc.);Other;Don't know;Prefer not to state"
Demographics Survey,1,sex,What is your biological sex?,true,select one,Male;Female;Prefer not to say
Demographics Survey,1,gender,How would you describe your current gender identity?,true,select one,Male;Female;Transgender Woman (Male-to-Female);Transgender Man (Female-to-Male);Genderqueer;Another Gender Identity;Decline to state
Demographics Survey,1,gender_identity,What gender identity do you identify with? (Optional),false,string,String
Demographics Survey,1,race,What is your racial background? CHECK ALL THAT APPLY.,false,select any,Black or African American;White;Asian (including South Asian and Asian Indian);Native Hawaiian or Pacific Islander;American Indian or Alaska Native;Some other race;Don't know
Demographics Survey,1,asian,What is your Asian background?,true,select one,Chinese;Filipino;Asian Indian;Japanese;Korean;Vietnamese;Other Asian or Mix
Demographics Survey,1,pacisland,What is your Pacific Island background?,true,select one,Native Hawaiian;Samoan;Guamanian or Chamorro;Other Pacific Islander or Mix
Demographics Survey,1,hispanic,"Are you of Hispanic, Latino or Spanish origin or ancestry?",true,select one,"No;Yes: Mexican, Mexican American or Chicano;Yes: Puerto Rican;Yes: Cuban;Yes: Other or Mixed Hispanic, Latino or Spanish origin;Don't know;Prefer not to state"
Demographics Survey,1,ladder,Where would you place yourself on this ladder?,true,select one,1;2;3;4;5;6;7;8;9;10
Demographics Survey,1,education,What is the highest level of education you have achieved?,true,select one,"No formal schooling;Some school, but did not graduate high school;High school diploma or equivalency (e.g., GED);Associate degree (e.g., junior college);Some college, but did not graduate college;Bachelor's degree;Master's degree;Doctorate (PhD);Professional doctorate (MD, JD, DDS, etc.);Other;Don't know;Prefer not to state"
Demographics Survey,2,sex,What sex were you assigned at birth?,true,select one,Male;Female;Prefer not to disclose
Demographics Survey,2,gender,How would you describe your current gender identity?,true,select any,Male;Female;Transgender Woman (Male-to-Female);Transgender Man (Female-to-Male);Genderqueer;Another Gender Identity;Decline to state
Demographics Survey,2,gender_identity,What gender identity do you identify with? (Optional),false,string,String
Demographics Survey,2,race,What is your racial background? CHECK ALL THAT APPLY.,false,select any,Black or African American;White;Asian (including South Asian and Asian Indian);Native Hawaiian or Pacific Islander;American Indian or Alaska Native;Some other race;Don't know
Demographics Survey,2,asian,What is your Asian background?,true,select one,Chinese;Filipino;Asian Indian;Japanese;Korean;Vietnamese;Other Asian or Mix
Demographics Survey,2,pacisland,What is your Pacific Island background?,true,select one,Native Hawaiian;Samoan;Guamanian or Chamorro;Other Pacific Islander or Mix
Demographics Survey,2,hispanic,"Are you of Hispanic, Latino or Spanish origin or ancestry?",true,select one,"No;Yes: Mexican, Mexican American or Chicano;Yes: Puerto Rican;Yes: Cuban;Yes: Other or Mixed Hispanic, Latino or Spanish origin;Don't know;Prefer not to state"
Demographics Survey,2,ladder,Where would you place yourself on this ladder?,true,select one,1;2;3;4;5;6;7;8;9;10
Demographics Survey,2,education,What is the highest level of education you have achieved?,true,select one,"No formal schooling;Some school, but did not graduate high school;High school diploma or equivalency (e.g., GED);Associate degree (e.g., junior college);Some college, but did not graduate college;Bachelor's degree;Master's degree;Doctorate (PhD);Professional doctorate (MD, JD, DDS, etc.);Other;Don't know;Prefer not to state"
Demographics Survey,3,sex,What sex were you assigned at birth?,true,select one,Male;Female;Prefer not to disclose
Demographics Survey,3,gender,How would you describe your current gender identity?,true,select any,Male;Female;Transgender Woman (Male-to-Female);Transgender Man (Female-to-Male);Genderqueer;Another Gender Identity;Decline to state
Demographics Survey,3,gender_identity,What gender identity do you identify with? (Optional),false,string,String
Demographics Survey,3,race,What is your racial background? CHECK ALL THAT APPLY.,false,select any,Black or African American;White;Asian (including South Asian and Asian Indian);Native Hawaiian or Pacific Islander;American Indian or Alaska Native;Some other race;Don't know
Demographics Survey,3,asian,What is your Asian background?,true,select one,Chinese;Filipino;Asian Indian;Japanese;Korean;Vietnamese;Other Asian or Mix
