survey_name,survey_version,variable_name,label,required,datatype,value_constraints
Monthly Vaccine Follow Up Survey,0,vaccine_past_month,Have you received a COVID-19 (SARS-CoV-2) vaccine or booster in the past month (or since the last time you answered this question)?,true,select one,"Yes;No, I have not ever received a vaccine for COVID-19;No, I have already been vaccinated;Other;I don't know"
Monthly Vaccine Follow Up Survey,0,dose,How many vaccine or booster doses have you received in the past month (or since the last time you answered this question)?,true,select one,1 dose;2 doses;Other;I don't know
Monthly Vaccine Follow Up Survey,0,date_first_dose,"Within the past month (or since the last time you answered this question), what was the date of your first COVID-19 vaccine (OK to guess if unsure)?",true,date,Date
Monthly Vaccine Follow Up Survey,0,date_second_dose,"Within the past month (or since the last time you answered this question), what was the date of your second COVID-19 vaccine (OK to guess if unsure)?",true,date,Date
Monthly Vaccine Follow Up Survey,0,brand,What brand of COVID-19 vaccine did you receive?,true,select one,I don't know;Pfizer/BioNTech;Moderna;AstraZeneca/Oxford University;Sinovac;Johnson & Johnson;Novavax;Inovio Pharmaceuticals;Sanofi/GlaxoSmithKline;Other
Monthly Vaccine Follow Up Survey,0,brand_other,Please enter the brand of your COVID-19 vaccine:,true,string,String
Monthly Vaccine Follow Up Survey,0,side_effects,Have you experienced any of the following potential side effects after receiving your COVID-19 vaccine? Select all that apply.,true,select any,Fever;Chills;Fatigue;Sore/scratchy throat;Muscle pain;Joint pain;Headache;Other pain;Redness/swelling at the injection site;Rash other than at the injection site;Allergic reaction/anaphylaxis;Other;None of the above
Monthly Vaccine Follow Up Survey,0,side_effects_other,Please describe the side effect(s).,true,string,String
Monthly Vaccine Follow Up Survey,0,side_effects_start,When did your side effect(s) start?,true,integer,|days after getting the vaccine
Monthly Vaccine Follow Up Survey,0,side_effects_last,How many days did your side effect(s) last?,true,integer,|days
Monthly Vaccine Follow Up Survey,0,side_effects_severity,Rate the severity of your side effect(s),true,select one,Very Mild;Mild;Moderate;Severe;Very Severe
Monthly Vaccine Follow Up Survey,1,vaccine_past_month,Have you received a COVID-19 (SARS-CoV-2) vaccine or booster in the past month (or since the last time you answered this question)?,true,select one,"Yes;No, I have not ever received a vaccine for COVID-19;No, I have already been vaccinated;Other;I don't know"
Monthly Vaccine Follow Up Survey,1,dose,How many vaccine or booster doses have you received in the past month (or since the last time you answered this question)?,true,select one,1 dose;2 doses;Other;I don't know
Monthly Vaccine Follow Up Survey,1,date_first_dose,"Within the past month (or since the last time you answered this question), what was the date of your first COVID-19 vaccine (OK to guess if unsure)?",true,date,Date
Monthly Vaccine Follow Up Survey,1,date_second_dose,"Within the past month (or since the last time you answered this question), what was the date of your second COVID-19 vaccine (OK to guess if unsure)?",true,date,Date
Monthly Vaccine Follow Up Survey,1,brand,What brand of COVID-19 vaccine did you receive?,true,select one,I don't know;Pfizer/BioNTech;Moderna;AstraZeneca/Oxford University;Sinovac;Johnson & Johnson;Novavax;Inovio Pharmaceuticals;Sanofi/GlaxoSmithKline;Other
Monthly Vaccine Follow Up Survey,1,brand_other,Please enter the brand of your COVID-19 vaccine:,true,string,String
Monthly Vaccine Follow Up Survey,1,side_effects,Have you experienced any of the following potential side effects after receiving your COVID-19 vaccine? Select all that apply.,true,select any,Fever;Chills;Fatigue;Sore/scratchy throat;Muscle pain;Joint pain;Headache;Other pain;Redness/swelling at the injection site;Rash other than at the injection site;Allergic reaction/anaphylaxis;Other;None of the above
Monthly Vaccine Follow Up Survey,1,side_effects_other,Please describe the side effect(s).,true,string,String
Monthly Vaccine Follow Up Survey,1,side_effects_start,When did your side effect(s) start?,true,integer,|days after getting the vaccine
Monthly Vaccine Follow Up Survey,1,side_effects_last,How many days did your side effect(s) last?,true,integer,|days
Monthly Vaccine Follow Up Survey,1,side_effects_severity,Rate the severity of your side effect(s),true,select one,Very Mild;Mild;Moderate;Severe;Very Severe
