survey_name,survey_version,variable_name,label,required,datatype,value_constraints
Weekly COVID-19 Citizen Science Survey 4,0,tested_coronavirus_past_week,"In the past WEEK, have you been tested for the novel coronavirus (the virus that causes COVID-19)?",true,select one,Yes;No;Other
Weekly COVID-19 Citizen Science Survey 4,0,test_result,What was the result?,true,select one,Positive;Negative;I don’t know yet;Other
Weekly COVID-19 Citizen Science Survey 4,0,how_long_wait_tested,"After initiating contact with a healthcare professional, how long did you wait, in days, until you were tested? Put 0 if you were tested in less than 1 day.",true,integer,|day(s)
Weekly COVID-19 Citizen Science Survey 4,0,how_long_for_results,"How long, after being tested, did you get your results back? Put 0 if you got your results in less than 1 day.",true,integer,|day(s)
Weekly COVID-19 Citizen Science Survey 4,0,contact_infected_ppl,"Over the past WEEK, have you become aware of any novel coronavirus (the virus causing COVID-19)-infected individuals in your COUNTY (or local area equivalent if your area does not have counties)?",true,select one,Yes;No
Weekly COVID-19 Citizen Science Survey 4,0,worried_health_past_week,"Over the past WEEK, how worried have you been that the health of you or your loved ones will be affected by the novel coronavirus (the virus causing COVID-19)?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all
Weekly COVID-19 Citizen Science Survey 4,0,freq_wash_hands,"Over the past WEEK, on average, how often have you washed or sanitized your hands?",true,select one,More than 10 times per day;5-10 times per day;2-4 times per day;About once per day;Less than once per day
Weekly COVID-19 Citizen Science Survey 4,0,gym,"Over the past WEEK, how many times have you visited a gym?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,restaurant,"Over the past WEEK, how many times have you visited a restaurant (not for takeout)?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,bar,"Over the past WEEK, how many times have you visited a bar?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,movie_theater,"Over the past WEEK, how many times have you visited a movie theater?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,event_more_than_10ppl,"Over the past WEEK, how many times have you visited an event with more than 10 people?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,excercise_past_week,"Over the past WEEK, how often have you exercised for more than 20 minutes (enough to breathe heavily and/or sweat)?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,0,govt_restrictions_past_week,"Over the past WEEK, has your local government issued or continued any of the following restrictions? (CHECK ALL THAT APPLY)",true,select any,"School closures;Restricted gatherings at (or closed) bars, restaurants, and/ or theaters;Restricted gatherings  of a certain number of individuals;Recommended working from home or not working;Shelter in place (required to stay home except essential activities);Other restrictions"
Weekly COVID-19 Citizen Science Survey 4,0,avg_sleep_past_week,"Over the past WEEK, on average, how many hours did you sleep per night?",true,integer,|hours per night
Weekly COVID-19 Citizen Science Survey 4,1,tested_coronavirus_past_week,"In the past WEEK, have you been tested for the novel coronavirus (the virus that causes COVID-19)?",true,select one,Yes;No;Other
Weekly COVID-19 Citizen Science Survey 4,1,test_result,What was the result?,true,select one,Positive;Negative;I don’t know yet;Other
Weekly COVID-19 Citizen Science Survey 4,1,how_long_wait_tested,"After initiating contact with a healthcare professional, how long did you wait, in days, until you were tested? Put 0 if you were tested in less than 1 day.",true,integer,|day(s)
Weekly COVID-19 Citizen Science Survey 4,1,how_long_for_results,"How long, after being tested, did you get your results back? Put 0 if you got your results in less than 1 day.",true,integer,|day(s)
Weekly COVID-19 Citizen Science Survey 4,1,contact_infected_ppl,"Over the past WEEK, have you become aware of any novel coronavirus (the virus causing COVID-19)-infected individuals in your COUNTY (or local area equivalent if your area does not have counties)?",true,select one,Yes;No
Weekly COVID-19 Citizen Science Survey 4,1,worried_health_past_week,"Over the past WEEK, how worried have you been that the health of you or your loved ones will be affected by the novel coronavirus (the virus causing COVID-19)?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all
Weekly COVID-19 Citizen Science Survey 4,1,freq_wash_hands,"Over the past WEEK, on average, how often have you washed or sanitized your hands?",true,select one,More than 10 times per day;5-10 times per day;2-4 times per day;About once per day;Less than once per day
Weekly COVID-19 Citizen Science Survey 4,1,gym,"Over the past WEEK, how many times have you visited a gym?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,restaurant,"Over the past WEEK, how many times have you visited a restaurant (not for takeout)?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,bar,"Over the past WEEK, how many times have you visited a bar?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,movie_theater,"Over the past WEEK, how many times have you visited a movie theater?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,event_more_than_10ppl,"Over the past WEEK, how many times have you visited an event with more than 10 people?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,excercise_past_week,"Over the past WEEK, how many times have you exercised for more than 20 minutes (enough to breathe heavily and/or sweat)?",true,integer,Integer
Weekly COVID-19 Citizen Science Survey 4,1,govt_restrictions_past_week,"Over the past WEEK, has your local government issued or continued any of the following restrictions? (CHECK ALL THAT APPLY)",true,select any,"School closures;Restricted gatherings at (or closed) bars, restaurants, and/ or theaters;Restricted gatherings  of a certain number of individuals;Recommended working from home or not working;Shelter in place (required to stay home except essential activities);Other restrictions;None of the above"
Weekly COVID-19 Citizen Science Survey 4,1,avg_sleep_past_week,"Over the past WEEK, on average, how many hours did you sleep per night?",true,integer,|hours per night
Weekly COVID-19 Citizen Science Survey 4,1,wear_mask,"Over the past week, how often did you wear a mask (any kind of covering over your mouth and nose) when you’re out in public? ",true,select one,Never;Sometimes;Most of the time;I did not go out in public this past week
Weekly COVID-19 Citizen Science Survey 4,2,tested_coronavirus_past_week,"In the past WEEK, have you been tested for the novel coronavirus (the virus that causes COVID-19)?",true,select one,Yes;No;Other
Weekly COVID-19 Citizen Science Survey 4,2,test_result,What was the result?,true,select one,Positive;Negative;I don’t know yet;Other
Weekly COVID-19 Citizen Science Survey 4,2,how_long_wait_tested,"After initiating contact with a healthcare professional, how long did you wait, in days, until you were tested? Put 0 if you were tested in less than 1 day.",true,integer,|day(s)
Weekly COVID-19 Citizen Science Survey 4,2,how_long_for_results,"How long, after being tested, did you get your results back? Put 0 if you got your results in less than 1 day.",true,integer,|day(s)
