survey_name,survey_version,variable_name,label,required,datatype,value_constraints
Your Medical Conditions,0,hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,true,select one,Yes;No;Don't know
Your Medical Conditions,0,diabetes,Diabetes? Do not include pre-diabetes.,true,select one,Yes;No;Don't know
Your Medical Conditions,0,blockages_in_your_coronary,"""Coronary artery disease (blockages in your heart vessels) or angina (chest pain)? <br><button type=""""button"""" class=""""btn surveydetail collapsed"""" data-toggle=""""collapse"""" data-target="""".detail01""""><span>&nbsp;</span></button><div class=""""collapse detail01""""><p class=""""surveyinfo"""">CAD is when plaque buildup (atherosclerosis) in your coronary arteries (the blood vessels of the heart) that leads to clogs. The arteries narrow, limiting blood flow to the heart. This can lead to a heart attack or angina (chest pain).</p></div>""",true,select one,Yes;No;Don't know
Your Medical Conditions,0,heart_attack,"""A heart attack (myocardial infarction)? <br><button type=""""button"""" class=""""btn surveydetail collapsed"""" data-toggle=""""collapse"""" data-target="""".detail02""""><span>&nbsp;</span></button><div class=""""collapse detail02""""><p class=""""surveyinfo"""">A heart attack(AKA myocardial infarction or MI) is the death of heart muscle from the sudden blockage of a coronary artery (blood vessel of the heart) by a blood clot. This injury can cause chest pain or pressure.</p></div>""",true,select one,Yes;No;Don't know
Your Medical Conditions,0,chf,"""Congestive Heart failure (CHF, Heart Failure)? <br><button type=""""button"""" class=""""btn surveydetail collapsed"""" data-toggle=""""collapse"""" data-target="""".detail05""""><span>&nbsp;</span></button><div class=""""collapse detail05""""><p class=""""surveyinfo"""">Heart Failure is heart pumping that is weaker than normal. It does not mean the heart has stopped working. This can cause fluid build-up in the legs, lungs, or other organs (edema). </p></div>""",true,select one,Yes;No;Don't know
Your Medical Conditions,0,stroke,"""Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?<br><button type=""""button"""" class=""""btn surveydetail collapsed"""" data-toggle=""""collapse"""" data-target="""".detail06""""><span>&nbsp;</span></button><div class=""""collapse detail06""""><p class=""""surveyinfo"""">A stroke is the disruption of blood supply to part of the brain due to either narrowing of the blood vessels in the brain (plaque buildup), a blood clot to the brain, or a brain hemorrhage (internal bleeding). This can cause a variety of neurologic symptoms. When the symptoms resolve completely within 24 hours, it is called a TIA (transient ischemic attack).</p></div>""",true,select one,Yes;No;Don't know
Your Medical Conditions,0,afib,"""Atrial fibrillation (Afib, AF)? <br><button type=""""button"""" class=""""btn surveydetail collapsed"""" data-toggle=""""collapse"""" data-target="""".detail08""""><span>&nbsp;</span></button><div class=""""collapse detail08""""><p class=""""surveyinfo"""">AF is an irregular heartbeat (arrhythmia) that can lead to blood clots, stroke, heart failure and other heart-related complications. Some people refer to AF as a quivering heart.</p></div>""",true,select one,Yes;No;Don't know
Your Medical Conditions,0,sleep_apnea,"Sleep apnea (obstructive sleep apnea, OSA)?",true,select one,Yes;No;Don't know
Your Medical Conditions,0,copd,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",true,select one,Yes;No;Don't know
Your Medical Conditions,0,asthma,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",true,select one,Yes;No;Don't know
Your Medical Conditions,0,cancer,Cancer (including leukemia or lymphoma) undergoing active treatment?,true,select one,Yes;No;Don't know
Your Medical Conditions,0,immunodeficiency,Immunodeficiency (NOT including HIV)?,true,select one,Yes;No;Don't know
Your Medical Conditions,0,hiv,Chronic HIV infection?,true,select one,Yes;No;Don't know
Your Medical Conditions,0,anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,true,select one,Yes;No;Don't know
Your Medical Conditions,0,pregnant,Are you currently pregnant?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,diabetes,Diabetes? Do not include pre-diabetes.,true,select one,Yes;No;Don't know
Your Medical Conditions,1,blockages_in_your_coronary,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,heart_attack,A heart attack (myocardial infarction)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,chf,"Congestive Heart failure (CHF, Heart Failure)?",true,select one,Yes;No;Don't know
Your Medical Conditions,1,stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,afib,"Atrial fibrillation (Afib, AF)?",true,select one,Yes;No;Don't know
Your Medical Conditions,1,sleep_apnea,"Sleep apnea (obstructive sleep apnea, OSA)?",true,select one,Yes;No;Don't know
Your Medical Conditions,1,copd,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",true,select one,Yes;No;Don't know
Your Medical Conditions,1,asthma,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",true,select one,Yes;No;Don't know
Your Medical Conditions,1,cancer,Cancer (including leukemia or lymphoma) undergoing active treatment?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,immunodeficiency,Immunodeficiency (NOT including HIV)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,hiv,Chronic HIV infection?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,true,select one,Yes;No;Don't know
Your Medical Conditions,1,pregnant,Are you currently pregnant?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,diabetes,Diabetes? Do not include pre-diabetes.,true,select one,Yes;No;Don't know
Your Medical Conditions,2,blockages_in_your_coronary,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,heart_attack,A heart attack (myocardial infarction)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,chf,"Congestive Heart failure (CHF, Heart Failure)?",true,select one,Yes;No;Don't know
Your Medical Conditions,2,stroke,Stroke or TIA (Transient Ischemic Attack or Mini-Stroke)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,afib,"Atrial fibrillation (Afib, AF)?",true,select one,Yes;No;Don't know
Your Medical Conditions,2,sleep_apnea,"Sleep apnea (obstructive sleep apnea, OSA)?",true,select one,Yes;No;Don't know
Your Medical Conditions,2,copd,"COPD (emphysema, chronic bronchitis, obstructive pulmonary disease)?",true,select one,Yes;No;Don't know
Your Medical Conditions,2,asthma,"Asthma, to the point that you use inhalers daily or have been to the hospital for your asthma?",true,select one,Yes;No;Don't know
Your Medical Conditions,2,cancer,Cancer (including leukemia or lymphoma) undergoing active treatment?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,immunodeficiency,Immunodeficiency (NOT including HIV)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,hiv,Chronic HIV infection?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,anemia,Anemia or other blood disorder (do not include leukemia or lymphoma)?,true,select one,Yes;No;Don't know
Your Medical Conditions,2,pregnant,Are you currently pregnant?,true,select one,Yes;No;Don't know
Your Medical Conditions,3,hbp,High blood pressure or hypertension (except that occurred during pregnancy and did not last after pregnancy)?,true,select one,Yes;No;Don't know
Your Medical Conditions,3,diabetes,Diabetes? Do not include pre-diabetes.,true,select one,Yes;No;Don't know
Your Medical Conditions,3,blockages_in_your_coronary,Coronary artery disease (blockages in your heart vessels) or angina (chest pain)?,true,select one,Yes;No;Don't know
