variable_name,description,datatype,value_constraints,required
surveyresultkey,Unique key for this survey result. Used to link to survey steps in SurveySteResults file,string,,
surveykey,Unique identifier for the specific survey the result is for,string,,
surveyname,Name of the Survey this result is for,string,,
surveyversion,Identifies which version of the survey was active when the data was collected,string,,
participantidentifier,Identifier of the participant,string,,true
surveytaskkey,Surveys may be delivered via a specific task and when appplicable this identifies the task,string,,
type,Type of Survey,categorical,Survey;Consent,
startdate,Date and time the participant started taking the survey in ISO 8601 format,datetime,,
enddate,Date and time the participant finished taking the survey in ISO 8601 format,datetime,,
deviceplatform,The platform the survey was complete on e.g. IOS or Android,string,,
devicename,The name of the device used to complete the survey e.g. iPhone 12,string,,
deviceosversion,The operating system version running on the device used to complete the survey,string,,
inserteddate,Creation date of the result in ISO 8601 format,datetime,,
