variable_name,description,seeAlso,datatype
id_participant_external,Participant external identifier,,string
dt,Evidation based date of record,,date
dateofsleep,Date corresponding to sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,string
duration,Duration of sleep record in milliseconds,https://dev.fitbit.com/build/reference/web-api/sleep/,long
efficiency,Sleep efficiency score,https://dev.fitbit.com/build/reference/web-api/sleep/,long
endtime,Date and time the sleep record ended,https://dev.fitbit.com/build/reference/web-api/sleep/,string
infocode,Numeric code corresponding to Type value,https://dev.fitbit.com/build/reference/web-api/sleep/,string
ismainsleep,Whether or not each sleep period is part of the main sleep for the day,https://dev.fitbit.com/build/reference/web-api/sleep/,boolean
minutesafterwakeup,Number of minutes after user awakens from sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
minutesasleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long
minutesawake,Total minutes awake for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long
minutestofallasleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long
starttime,Timestamp of sleep periord start time,https://dev.fitbit.com/build/reference/web-api/sleep/,string
timeinbed,Total time in bed for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long
type,"Category of sleep data. Possible values {'classic', 'stages'}",https://dev.fitbit.com/build/reference/web-api/sleep/,string
data[array].datetime,datetime for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",string
data[array].level,"String level for Data groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",string
data[array].seconds,seconds for Data groupings in sleep record,"The ""data"" grouping displays the sleep stages and any wake periods > 3 minutes (180 seconds).",long
shortdata[array].datetime,datetime for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string
shortdata[array].level,"String level for shortData groupings of sleep record. Possible Values: {'deep', 'light', 'rem', 'wake'}","The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",string
shortdata[array].seconds,seconds for shortData groupings in sleep record,"The ""shortData"" grouping displays the short wake periods representing physiological awakenings that are <= 3 minutes (180 seconds).",long
summary.asleep.count,Number of distinct sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.asleep.minutes,Total minutes in asleep period during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.awake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.awake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.deep.count,Number of distinct deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.deep.minutes,Total minutes in deep sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.deep.thirtydayavgminutes,Thirty Day Average of time spent in deep sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.light.count,Number of distinct light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.light.minutes,Total minutes in light sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.light.thirtydayavgminutes,Thirty Day Average of time spent in light sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.rem.count,Number of distinct rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.rem.minutes,Total minutes in rem sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.rem.thirtydayavgminutes,Thirty Day Average of time spent in rem sleep category,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.restless.count,Number of distinct restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.restless.minutes,Total minutes in restless sleep periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.wake.count,Number of distinct awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.wake.minutes,Total minutes in awake periods during sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long
summary.wake.thirtydayavgminutes,Thirty Day Average of time spent in awake category,https://dev.fitbit.com/build/reference/web-api/sleep/,long
datetime,Date corresponding to sleep record,Data exists only prior to 2020-04-23,string
