Id,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,Unit,CDE Reference,form_name
study_id,,text,Study ID,,,,,,,,RADx-rad Minimum CDE,form_1
chills,"Symptoms ",radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
diarrhea,"Symptoms ",radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minimum CDE,form_1
vital signs (vs),"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
date of ed visit,"Symptoms ",,,,,,,,,,,
date and time of vs,"Symptoms ",,,,,,,,,,,
day of hospitalization,"Symptoms ",,,,,,,,,,,
temperature in centigrade,"Symptoms ",,,,,,,,,,,
heart rate/min,"Symptoms ",,,,,,,,,,,
respiratory rate/min,"Symptoms ",,,,,,,,,,,
systolic bp mmhg,"Symptoms ",,,,,,,,,,,
diastolic bp mmhg,"Symptoms ",,,,,,,,,,,
pulse ox in percent,"Symptoms ",,,,,,,,,,,
weight in kg,"Symptoms ",,,,,,,,,,,
labs,"Symptoms ",,,,,,,,,,,
study id,"Symptoms ",,,,,,,,,,,
day of hospitalization,"Symptoms ",,,,,,,,,,,
date and time of order,"Symptoms ",,,,,,,,,,,
wbc,"Symptoms ",,,,,,,,,K/CUMM,,
absolute lymphocyte count,"Symptoms ",,,,,,,,,K/CUMM,,
absolute neutrophil count,"Symptoms ",,,,,,,,,K/CUMM,,
hemoglobin,"Symptoms ",,,,,,,,,gm/dL,,
platelets,"Symptoms ",,,,,,,,,K/CUMM,,
d dimer,"Symptoms ",,,,,,,,,mg/L FEU,,
esr,"Symptoms ",,,,,,,,,mm/hr,,
pt,"Symptoms ",,,,,,,,,Second(s),,
ptt,"Symptoms ",,,,,,,,,Second(s),,
inr,"Symptoms ",,,,,,,,,,,
fibrinogen,"Symptoms ",,,,,,,,,mg/dL,,
crp,"Symptoms ",,,,,,,,,mg/dL,,
albumin,"Symptoms ",,,,,,,,,gms.dL,,
alt,"Symptoms ",,,,,,,,,Units/Liter,,
ast,"Symptoms ",,,,,,,,,Units/Liter,,
bilirubin,"Symptoms ",,,,,,,,,mg/dL,,
ferritin,"Symptoms ",,,,,,,,,ng/mL,,
ldh,"Symptoms ",,,,,,,,,Units/Liter,,
cpk,"Symptoms ",,,,,,,,,Units/Liter,,
serum sodium,"Symptoms ",,,,,,,,,mMol/L,,
serum potassium,"Symptoms ",,,,,,,,,mMol/L,,
serum chloride,"Symptoms ",,,,,,,,,mMol/L,,
serum bicarbonate,"Symptoms ",,,,,,,,,mMol/L,,
blood urea nitrogen,"Symptoms ",,,,,,,,,mg/dL,,
creatinine,"Symptoms ",,,,,,,,,mg/dL,,
serum glucose,"Symptoms ",,,,,,,,,mg/dL,,
troponin,"Symptoms ",,,,,,,,,ng/L,,
brain natriuretic peptide,"Symptoms ",,,,,,,,,pg/mL,,
capillary blood gas ph,"Symptoms ",,,,,,,,,,,
capillary blood gas pco2,"Symptoms ",,,,,,,,,mmHg,,
capillary blood gas po2,"Symptoms ",,,,,,,,,mmHg,,
capillary blood gas base excess,"Symptoms ",,,,,,,,,,,
capillary blood gas hco3,"Symptoms ",,,,,,,,,mEq/L,,
capillary blood gas lactate,"Symptoms ",,,,,,,,,mmol/L,,
csf nucleated cell count,"Symptoms ",,,,,,,,,mg/dL,,
csf rbc,"Symptoms ",,,,,,,,,cells/CUMM,,
csf protein,"Symptoms ",,,,,,,,,mg/dL,,
csf glucose,"Symptoms ",,,,,,,,,mg/dL,,
urine ph,"Symptoms ",,,,,,,,,,,
urine specific gravity,"Symptoms ",,,,,,,,,,,
urine glucose,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,
urine protein,"Symptoms ",radio,,1= Negative 2= Positive,,,,,,,,
urine leukocyte esterase,"Symptoms ",radio,,1= Negative 2= Positive ( Trace/1+/2+ and 3+),,,,,,,,
