Id,form_name,Section,ui,Label,Enumeration,Notes,pattern,min,max,branching_logic,required
subject_id,demographics,Identity,text,Participant ID,,,,,,,
chills,symptoms,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,y
diarrhea,symptoms,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,y
participant redcap id,,Health Status,,,,,,,,,
shifting_days_for_date,,Health Status,,,,,,,,,
shifting_years_for_age,,Health Status,,,,,,,,,
shifting_dates,,Health Status,date,,,,,,,,
date of first sample collection,,Health Status,date,,,,,,,,
type of samples collected (choice=whole blood),,Health Status,checkbox,,,,,,,,
type of samples collected (choice=plasma),,Health Status,checkbox,,,,,,,,
type of sample collection (choice=prospective),,Health Status,checkbox,,,,,,,,
type of sample collection (choice=retrospective),,Health Status,checkbox,,,,,,,,
diagnoses (choice=covid-19),,Health Status,checkbox,,,,,,,,
"diagnoses (choice=mis-c (for mis-c, also check covid-19))",,Health Status,checkbox,,,,,,,,
diagnoses (choice=kawasaki disease),,Health Status,checkbox,,,,,,,,
diagnoses (choice=healthy control),,Health Status,checkbox,,,,,,,,
"diagnoses (choice=negative control (immunocompromised, underlying conditions))",,Health Status,checkbox,,,,,,,,
diagnoses (choice=inflammatory control (respiratory virus or bacterial infection)),,Health Status,checkbox,,,,,,,,
inflammatory control comment,,Health Status,notes,,,,,,,,
negative control comment,,Health Status,notes,,,,,,,,
date of covid diagnosis,,Health Status,date,,,,,,,,
covid-19 severity (old classification score),,Health Status,radio,,,,,,,,
covid-19 severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
covid-19 severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
covid-19 world health organization (who) severity score,,Health Status,radio,,,,,,,,
covid-19 diagnosis notes,,Health Status,notes,,,,,,,,
sars cov-2 molecular test?,,Health Status,radio,,,,,,,,
type of molecular test (choice=antigen),,Health Status,checkbox,,,,,,,,
type of molecular test (choice=pcr),,Health Status,checkbox,,,,,,,,
type of molecular test (choice=idnow),,Health Status,checkbox,,,,,,,,
type of molecular test (choice=other),,Health Status,checkbox,,,,,,,,
how many instruments were used to run sars cov-2 test(s)?,,Health Status,dropdown,,,,,,,,
instrument 1,,Health Status,text,,,,,,,,
instrument 2,,Health Status,text,,,,,,,,
instrument 3,,Health Status,text,,,,,,,,
instrument 4,,Health Status,text,,,,,,,,
how many antigen tests?,,Health Status,dropdown,,,,,,,,
date of antigen test #1,,Health Status,date,,,,,,,,
result of antigen test #1,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of antigen test #2,,Health Status,date,,,,,,,,
result of antigen test #2,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of antigen test #3,,Health Status,date,,,,,,,,
result of antigen test #3,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of antigen test #4,,Health Status,text,,,,,,,,
result of antigen test #4,,Health Status,text,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
how many pcr tests?,,Health Status,text,,,,,,,,
date of pcr test #1,,Health Status,date,,,,,,,,
result of pcr test #1,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of pcr test #2,,Health Status,date,,,,,,,,
result of pcr test #2,,Health Status,text,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
variant identification,,Health Status,text,,,,,,,,
date of pcr test #3,,Health Status,date,,,,,,,,
result of pcr test #3,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
how many idnow tests?,,Health Status,dropdown,,,,,,,,
date of idnow test #1,,Health Status,date,,,,,,,,
result of idnow test #1,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of idnow test #2,,Health Status,text,,,,,,,,
result of idnow test #2,,Health Status,radio,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
date of idnow test #3,,Health Status,text,,,,,,,,
result of idnow test #3,,Health Status,text,,,,,,,,
viral load or cycle threshold,,Health Status,text,,,,,,,,
varient identification,,Health Status,text,,,,,,,,
how many other tests?,,Health Status,text,,,,,,,,
other sars cov-2 test 1,,Health Status,dropdown,,,,,,,,
date of other sars cov-2 test 1,,Health Status,date,,,,,,,,
result of other sars cov-2 test 1,,Health Status,radio,,,,,,,,
other sars cov-2 test 2,,Health Status,text,,,,,,,,
date of other sars cov-2 test 2,,Health Status,date,,,,,,,,
result of other sars cov-2 test 2,,Health Status,radio,,,,,,,,
other sars cov-2 test 3,,Health Status,text,,,,,,,,
date of other sars cov-2 test 3,,Health Status,date,,,,,,,,
result of other sars cov-2 test 3,,Health Status,radio,,,,,,,,
date of mis-c diagnosis,,Health Status,date,,,,,,,,
confirmation of mis-c diagnosis (choice=pcr positive),,Health Status,checkbox,,,,,,,,
confirmation of mis-c diagnosis (choice=antibody positive),,Health Status,checkbox,,,,,,,,
confirmation of mis-c diagnosis (choice=direct contact with covid+ person),,Health Status,checkbox,,,,,,,,
confirmation of mis-c diagnosis (choice=other),,Health Status,checkbox,,,,,,,,
confirmation of mis-c diagnosis (choice=none of the above),,Health Status,checkbox,,,,,,,,
other,,Health Status,notes,,,,,,,,
mis-c severity (old classification scores),,Health Status,radio,,,,,,,,
mis-c severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
mis-c severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
mis-c diagnosis comment,,Health Status,notes,,,,,,,,
date of kawasaki disease diagnosis,,Health Status,date,,,,,,,,
type of kawasaki disease,,Health Status,radio,,,,,,,,
kd severity (on date of sample collected (+ or - 1 day)),,Health Status,radio,,,,,,,,
kd severity (highest severity throughout entire hospitalization),,Health Status,radio,,,,,,,,
kawasaki disease diagnosis comments,,Health Status,notes,,,,,,,,
control comments,,Health Status,notes,,,,,,,,
alternative diagnosis identified?,,Health Status,radio,,,,,,,,
what is the alternative diagnosis?,,Health Status,text,,,,,,,,
sars cov-2 antibody test?,,Health Status,radio,,,,,,,,
type of antibody test (choice=spike),,Health Status,checkbox,,,,,,,,
type of antibody test (choice=nucleocapsid),,Health Status,checkbox,,,,,,,,
type of antibody test (choice=other),,Health Status,checkbox,,,,,,,,
how many spike antibody tests?,,Health Status,dropdown,,,,,,,,
date of spike antibody test #1,,Health Status,date,,,,,,,,
result of spike antibody test #1,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
date of spike antibody test #2,,Health Status,date,,,,,,,,
result of spike antibody test #2,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
date of spike antibody test #3,,Health Status,date,,,,,,,,
result of spike antibody test #3,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
how many nucleocapsid antibody tests ?,,Health Status,dropdown,,,,,,,,
date of nucleocapsid antibody test #1,,Health Status,date,,,,,,,,
result of nucleocapsid antibody test #1,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
date of nucleocapsid antibody test #2,,Health Status,date,,,,,,,,
result of nucleocapsid antibody test #2,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
date of nucleocapsid antibody test #3,,Health Status,date,,,,,,,,
result of nucleocapsid antibody test #3,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
how many other tests were run?,,Health Status,dropdown,,,,,,,,
name of other antibody test #1,,Health Status,text,,,,,,,,
date of other antibody test #1,,Health Status,date,,,,,,,,
result of other antibody test #1,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
name of other antibody test #2,,Health Status,text,,,,,,,,
date of other antibody test #2,,Health Status,date,,,,,,,,
result of other antibody test #2,,Health Status,text,,,,,,,,
notes,,Health Status,notes,,,,,,,,
what other type of labs were run? (choice=rbd elisa),,Health Status,checkbox,,,,,,,,
