Id,Label,Terms,Datatype,Unit,Enumeration,Additional Missing Value Codes
consent_given,Is consent required for this study?,,int,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
consent_ident,"I agree to let the Duke Clincal Research Institute collect the following identifiable information: name, address, contact information, and date of birth.",,int,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
consent_recontact,I agree to be contacted for future research.,,int,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
consent_zip_2,I agree to let the Duke Clinical Research Institute collect my zip code.,,int,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
cov_pan_chal_hlth_2,Getting the health care I need (including for mental health),,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
cov_pan_chal_med_2,Getting the medicine I need,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
cov_pan_chlng_trans_2,"Getting to where I need to go ",,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
cov_tst_mthd_2,"How were you tested for your most recent test? ",,int,,"""1""=[Nasal Swab] |""2""=[Throat Swab] |""3""=[Blood Sample] |""4""=[Saliva] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_pandemic_challenges_abod_2,Having a place to stay/live,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_pandemic_challenges_food_2,Getting enough food to eat,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_pandemic_challenges_wate_2,Having clean water to drink,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_vaccine,Have you received a COVID-19 vaccine?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
family_income,"In 2019, what was your total household income before taxes?",,int,,"""1""=[Less than $15,000] |""2""=[$15,000 - $19,999] |""3""=[$20,000 - $24,999] |""4""=[$25,000 - $34,999] |""5""=[$35,000 - $49,999] |""6""=[$50,000 - $74,999] |""7""=[$75,000 - $99,999] |""8""=[$100,000 and above] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
flu_vaccinehistind_2,Have you ever received a flu vaccination?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
gender_identity_term_2,What terms best express how you describe your gender identity?,,int,,"""0""=[Man] |""1""=[Woman] |""3""=[Transgender man/Female-to-male (FTM)] |""4""=[Transgender woman/Male-to-female (MTF)] |""5""=[Gender non-binary/Genderqueer/Gender nonconforming] |""6""=[Agender] |""7""=[Bigender] |""8""=[Two-spirit] |""96""=[None of these describe me] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
hi_loss_covid,Did you lose health coverage because of the COVID-19 pandemic?,,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
household_famgen_3,What best describes the people at your home:,,int,,"""1""=[Just me] |""2""=[Living with spouse, no kids] |""3""=[Family including kids] |""4""=[Family with 3 generations (parents, children, grandchildren)] |""5""=[Family with 4 generations] |""6""=[Living with roommates] |""90""=[None of these] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
household_homeless,"Are you currently living in transitional housing, staying in a shelter, or experiencing homelessness?",,int,,"""0""=[No] |""1""=[Yes] |""98""=[Prefer not to answer] |""99""=[Don't know] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
isolate_maintain_job,"If you were to test positive for COVID-19, would you be able to isolate without losing your job?",,int,,"""1""=[Yes] |""2""=[No] |""98""=[Don't know] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
jobloss_covid19_2,"Have you, or has anyone in your household, experienced a loss of employment income since the start of the COVID-19 pandemic (March 2020)?",,int,,"""0""=[No] |""1""=[Yes] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___1,What languages are spoken at home?,,bit,,"""0""=[Spanish] |""1""=[Spanish] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___10,What languages are spoken at home?,,bit,,"""0""=[Albanian] |""1""=[Albanian] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___11,What languages are spoken at home?,,bit,,"""0""=[Apache] |""1""=[Apache] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___12,What languages are spoken at home?,,bit,,"""0""=[Arabic] |""1""=[Arabic] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___13,What languages are spoken at home?,,bit,,"""0""=[Bengali/Bangla] |""1""=[Bengali/Bangla] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___14,What languages are spoken at home?,,bit,,"""0""=[Bhutanese] |""1""=[Bhutanese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___15,What languages are spoken at home?,,bit,,"""0""=[Burmese] |""1""=[Burmese] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___16,What languages are spoken at home?,,bit,,"""0""=[Cape Verdean Creole] |""1""=[Cape Verdean Creole] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
language_home___17,What languages are spoken at home?,,bit,,"""0""=[Creole] |""1""=[Creole] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
