Concept,label,variable_name,value_constraints
Identity,What is global identifier of participant?,dht_identity,"Text: May be combination of prefix text, letters, numbers, and separator characters"
Race,What is your race? Mark one or more boxes,dht_race,"""1, American Indian or Alaska Native; 2, Asian; 3, Black or African American; 4, Middle Eastern or North African; 5, Native Hawaiian or Other Pacific Islander; 6, White; 7, Two or more races; 8, Some other race; 98, Don't know; 99, Prefer not to answer;"""
Ethnicity,Are you of Hispanic or Latino origin?,dht_ethnicity_origin,"""0, No, not of Hispanic or Latino origin; 1, Yes, of Hispanic or Latino origin; 98, Don't know; 99, Prefer not to answer;"""
Age,What is your age?,dht_age,Age in years; de-identification per RADx guideline
Sex,What is your biological sex assigned at birth?,dht_sex,"""1, Female; 2, Male; 3, Intersex; 4, None of the above describe me; 99, Prefer not to answer;"""
Education Level,How many years of education have you completed?,dht_education,"""1, No formal schooling; 2, Some school, but did not graduate high school; 3, High school diploma or equivalency (e.g., GED); 4, Associate degree (e.g., junior college); 5, Associate Degree (vocational); 6, Some college, but did not graduate college; 7, Bachelor's degree; 8, Master's degree; 9, Doctorate (PhD); 10, Professional doctorate (MD, JD, DDS, etc.); 11, Other; 98, Don't know; 99, Prefer not to state;"""
Domicile,What is your zip code?,dht_domicile,Included per HIPAA de-identification guidelines
Employment,Are you employed?,dht_employment,"0, Yes - Employed; 2, Employed full time; 3, Employed part-time; 5, Employed in temporary position; 6, No - Not Employed; 7, Only temporarily laid off, sick leave, or maternity leave; 8, Looking for work, unemployed; 9, Student; 10, Keeping house; 11, Retired; 13, Disabled or government support; 97, Other; 98, Don't know; 99, Prefer not to answer"
Insurance Status,What insurance do you have?,dht_medical_insurance_short,"""1, No insurance; 2, Private/Personal Insurance; 3, Public Insurance; 98, Don't Know; 99, Prefer not to state"""
Disability Status,"Do you have a disability, including serious physical or mental conditions, that interfere with your ability to carry out daily activities?",dht_disability,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,Are you deaf or do you have serious difficulty hearing?,dht_deaf,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",dht_blind,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",dht_memory,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,Do you have serious difficulty walking or climbing stairs?,dht_walk_climb,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,Do you have difficulty dressing or bathing?,dht_dress_bathe,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",dht_errand,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Vaping use (Yes or No),dht_vaping,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Nicotine use (Yes or No),dht_nicotine,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,"Vaping Frequency: Do you now use electronic cigarettes every day, some days, rarely, or not at all?",dht_vaping_frequency,"1, Every Day; 2, Some Days; 3, Rarely; 4, Not at all; 98, Don't know; 99, Prefer not to answer"
Medical History,Nicotine Frequency: Do you now smoke cigarettes?,dht_cig_smoking_frequency,"1, Every Day; 2, Some Days; 3, Rarely; 4, Not at all; 98, Don't know; 99, Prefer not to answer"
Medical History,History of Smoking,dht_history_smoking,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Tobacco Use,dht_tobacco,"0, No tobacco use; 1, Current Tobacco user; 2, Former Tobacco User; 98, Don't Know; 99, Prefer not to answer"
Medical History,Alcohol use (Yes or No),dht_alcohol,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,How often did you have a drink containing alcohol ?,dht_alcohol_frequency,"0,Never;1,Monthly Or Less;2,Two To Four Times Per Month;3,Two To Three Times Per Week;4,Four Or More Times Per Week; 98, Don't know; 99, Prefer not to answer"
Medical History,Asthma,dht_asthma,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,Cancer,dht_cancer,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,Cardiovascular disease,dht_cardiovascular_disease,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Chronic kidney disease,dht_chronic_kidney_disease,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,Chronic lung disease,dht_chronic_lung_disease,"0,No;1,Yes; 98, Don’t know;99, Prefer not to answer"
Medical History,Diabetes,dht_diabetes,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Hypertension,dht_hypertension,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Immunosuppressive condition,dht_immunosuppressive_condition,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,mental health disorder,dht_mental_illness,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Sickle cell disease,dht_sickle_cell_disease,"0,No;1,Yes;98, Don’t know;99, Prefer not to answer"
Medical History,Pregnancy status,dht_pregnant,"0, Not Pregnant;1, Pregnant;98, Don't know; 99, Prefer not to answer"
