Channel,variable_name,description,description,datatype
All,id_participant_external,Participant external identifier,,string
All,dt,Evidation based date of record,,date
Steps,steps__midday_steps_dec_time,Time at which steps taken equals steps to be taken,The index of the minute level steps series i where the value of the cumulative sum of the series up to and including i equals half of the total sum of the daily series divided by 60,double
Steps,steps__sum,Total number of steps in a day,The sum of all minute level step counts for a given day,long
Steps,steps__non_zero_frac,"Proportion of minutes with non-zero steps out of of total minutes device was worn, no units",The count of non-zero values of minute leve steps divided by 1440,double
Steps,steps__first_step_dec_time,Time of first step taken of the day,The minimum index of the minute level steps series with a non-zero value divided by 60,double
Steps,steps__last_step_dec_time,Time of last step taken of the day,The maximum index of the minute level steps series with a non-zero value divided by 60,double
Steps,steps__max_rolling_1,"max of 1-minute rolling sum, units = number of steps",The maximum value in the 1 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_3,"max of 3-minute rolling sum, units = number of steps",The maximum value in the 3 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_6,"max of 6-minute rolling sum, units = number of steps",The maximum value in the 6 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_10,"max of 10-minute rolling sum, units = number of steps",The maximum value in the 10 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_30,"max of 30-minute rolling sum, units = number of steps",The maximum value in the 30 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_60,"max of 60-minute rolling sum, units = number of steps",The maximum value in the 60 minute rolling sum series of the daily minute level steps series,double
Steps,steps__max_rolling_dec_time_1,Time of max of 1-minute rolling sum,The index of the maximum value in the 1 minute rolling sum series of the daily minute level steps series divided by 60,double
Steps,steps__max_rolling_dec_time_3,Time of max of 3-minute rolling sum,The index of the maximum value in the 3 minute rolling sum series of the daily minute level steps series divided by 60,double
Steps,steps__max_rolling_dec_time_6,Time of max of 6-minute rolling sum,The index of the maximum value in the 6 minute rolling sum series of the daily minute level steps series divided by 60,double
Steps,steps__max_rolling_dec_time_10,Time of max of 10-minute rolling sum,The index of the maximum value in the 10 minute rolling sum series of the daily minute level steps series divided by 60,double
Steps,steps__max_rolling_dec_time_30,Time of max of 30-minute rolling sum,The index of the maximum value in the 30 minute rolling sum series of the daily minute level steps series divided by 60,double
