variable_name,description,seeAlso,datatype
id_participant_external,Participant external identifier,,string
dt,Evidation based date of record,,date
datetime,Date corresponding to Heart Rate Zone recording,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string
customheartratezones[array].caloriesout,Total estimated calories expended within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double
customheartratezones[array].max,Maximum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
customheartratezones[array].min,Minimum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
customheartratezones[array].minutes,Total minutes within Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
customheartratezones[array].name,Name of Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string
heartratezones[array].caloriesout,Total estimated calories expended within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double
heartratezones[array].max,Maximum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
heartratezones[array].min,Minimum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
heartratezones[array].minutes,Total minutes within Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long
heartratezones[array].name,"Name of Heart Rate Zone array. Possible Values: {'Cardio', 'Fat Burn', 'Peak', 'Out of Range'}",https://dev.fitbit.com/build/reference/web-api/heart-rate/,string
