variable_name,description,datatype
id_participant_external,Participant external identifier,string
dt,Evidation based date of record,date
calendardate,"The calendar date this summary would be displayed on in Garmin Connect. The date format is ‚ ""yyyy-mm-dd""",string
durationinseconds,The duration of the measurement period in seconds.,long
starttimeinseconds,"Start time of the summary in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",long
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",long
timeoffsetbodybatteryvalues[map].key,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,map
timeoffsetbodybatteryvalues[map].value,Collection of mappings between offset from start time (in seconds) to a body battery value recorded for that time. Information on and a list of devices that support Body Battery are available here: https://support.garmin.com/ms-MY/?faq=2qczgfbN00AIMJbX33dRq9 .,map
timeoffsetstresslevelvalues[map].key,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,map
timeoffsetstresslevelvalues[map].value,Collection of mappings between offset from start time (in seconds) to a stress level value recorded for that time.,map
