Concept,label,variable_name,value_constraints,Comment
Identity,Record ID,record_id,text,
Race,"""What is your race? Mark one or more boxes AND print origins.""",race_ethn_race,"1, American Indian or Alaska Native | 2, Black or African American | 3, Asian | 4, Native Hawaiian or Other Pacific Islander |5, White|15, Some other race |99, Prefer not to answer",Check all that apply
Ethnicity,"Are you of Hispanic, Latino, or Spanish origin?",race_ethn_hispanic,"0, No, not of Hispanic, Latino, or Spanish origin | 1, Yes, of Hispanic, Latino, or Spanish origin | 99, Prefer not to answer",
Age,"""Age For babies less than 1 year old, do not write the age in months. Write 0 as the age.""",age_yrs,integer,Years
Sex,What was your sex assigned at birth?,bio_sex_birth,"1, Female | 0, Male | 2, Non-binary | 96, None of these describe me | 99, Prefer not to answer",
Education Level,What is the highest level of education you have achieved outside or in the United States? Grades roughly equivalent to years of school.,edu_years_of_school,"0, Have never gone to school|1,5th grade or less|2,6th to 8th grade|3,9th to 12th grade, no diploma |4,High school graduate or GED completed |5,Some college level/ Technical / Vocational degree |6,Bachelor's degree |7,Other advanced degree (Master's, Doctoral degree)| 98, Prefer not to answer |99,Don't know",
Domicile,Zip Code,zip_code,5 digit value,zipcode
Employment,"We would like to know about what you do -- are you working now, looking for work, retired, keeping house, a student, or something else?",current_employment_status,"1, Working now | 2, Only temporarily laid off, sick leave or maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 96, Other (Specify)| 98, Prefer not to answer | 99, Don't know","""Exclude plans that pay for only one type of"
Insurance Status,What is the primary kind of health insurance or health care plan that you have now?,hi_coverage_type,"0, I do NOT have health insurance| 1, Private (purchased directly or through Employment)| 2, Public (Medicare, Medicaid, Tricare) | 98, Don't know | 99, Prefer not to answer",
Disability Status,"Do you have a disability that interferes with your ability to carry out daily activities? Examples of daily activities include walking, climbing stairs, shopping, balancing a checkbook, bathing or dressing.",self_reported_disability,"1, Yes | 0, No | 98, Prefer not to answer",
Disability Status,"Are you deaf, or do you have serious difficulty hearing?",disability_deaf,"1, Yes | 0, No",
Disability Status,"Are you blind, or do you have serious difficulty seeing, even when wearing glasses?",disability_blind,"1, Yes | 0, No",
Disability Status,"""Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years of age or older)""",disability_decisions,"1, Yes | 0, No",
Disability Status,"""Do you have serious difficulty walking or climbing stairs? (5 years of age or older)""",disability_walking,"1, Yes | 0, No",
Disability Status,"""Do you have difficulty dressing or bathing? (5 years of age or older)""",disability_dress,"1, Yes | 0, No",
Disability Status,"""Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping? (15 years of age or older)""",disability_errands,"1, Yes | 0, No",
Medical History,"Do you now use electronic cigarettes every day, some days, rarely, or not at all?",vaper_cur_stat,"4, Every Day |3, Some Days | 2, Rarely |1, Not at all | 98, Prefer not to answer | 99, Don't know",
Medical History,Do you now smoke cigarettes?,smoker_cur_stat,"4, Every Day |3, Some Days | 1, Not at all | 98, Prefer not to answer | 99, Don't know",
Medical History,"In your entire life, have you had at least 1 drink of any kind of alcohol, not counting small tastes or sips?",lifetime_use_alcohol,"1, Yes |0, No | 99, Prefer not to answer",
Medical History,,alcohol_daysperweek,,
Medical History,Asthma,cc_asthma,"1, Yes | 0, No",
Medical History,Cancer diagnosis and/or treatment within the past 12 months,cc_cancer,"1, Yes | 0, No",
Medical History,Cardiovascular disease (CVD or heart disease),cc_cvd,"1, Yes | 0, No",
Medical History,Chronic kidney disease (CKD),cc_chronickd,"1, Yes | 0, No",
Medical History,Diabetes,cc_diabetes,"1, Yes | 0, No",
Medical History,"Hypertension (HTN, high blood pressure)",cc_hypertension,"1, Yes | 0, No",
Medical History,Sickle Cell Anemia,cc_sickle,"1, Yes | 0, No",
Medical History,Are you currently pregnant?,pregnancy_status,"1, Pregnant | 0, Not Pregnant | 98, Don't know| 99,Prefer not to answer",
Medical History,Immunocompromised condition,cc_imm,"1, Yes | 0, No",
Medical History,Autoimmune disease,cc_autoimm,"1, Yes | 0, No",
Medical History,Chronic obstructive pulmonary disease (COPD),cc_copd,"1, Yes | 0, No",
Medical History,Other chronic lung disease,cc_clung,"1, Yes | 0, No",
Medical History,Depression,cc_depression,"1, Yes | 0, No",
Medical History,Alcohol or substance use disorder,cc_asud,"1, Yes | 0, No",
Medical History,Intravenous drug use,cc_intrav,"1, Yes | 0, No",
Medical History,Other mental health disorder,cc_othermh,"1, Yes | 0, No",
Medical History,Other chronic condition,cc_otherchroniccond,"1, Yes | 0, No",
Symptoms,Cough,covid_cough,"1, Yes | 0, No | 98, Don't know",
Symptoms,Fever or chills,covid_fever,"1, Yes | 0, No | 98, Don't know",
Symptoms,Shortness of breath or difficulty breathing,covid_diffbreath,"1, Yes | 0, No | 98, Don't know",
Symptoms,Headache,covid_headache,"1, Yes | 0, No | 98, Don't know",
Symptoms,Muscle or body aches,covid_myalgia,"1, Yes | 0, No | 98, Don't know",
Symptoms,New loss of taste or smell,covid_olfactory,"1, Yes | 0, No | 98, Don't know",
Symptoms,Lack of energy or general tired feeling,covid_fatique,"1, Yes | 0, No | 98, Don't know",
Symptoms,"Feeling sick to your stomach or vomiting, diarrhea",covid_nausea,"1, Yes | 0, No | 98, Don't know",
Symptoms,Abdominal Pain,covid_abpain,"1, Yes | 0, No | 98, Don't know",
Symptoms,Skin Rash,covid_skinrash,"1, Yes | 0, No | 98, Don't know",
Symptoms,"Sore throat, congestion or runny nose",covid_runnynose,"1, Yes | 0, No | 98, Don't know",
Symptoms,Other,covid_other,"1, Yes | 0, No | 98, Don't know",
Health Status,"Would you say your health in general is excellent, very good, good, fair, or poor?",self_reported_health_status_assessment,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor | 99, Prefer not to answer| 98, Don't know",
Health Status,Feet;Inches;Meters;Centimeters,self_reported_height_feet;self_reported_height_inches;self_reported_height_meters;self_reported_height_centimeters,integer,
Health Status,"""How much do you weigh without clothes or shoes? If you are currently pregnant, how much did you weigh before your pregnancy?;How much do you weigh without clothes or shoes? If you are currently pregnant, how much did you weigh before your pregnancy?""",self_reported_weight_kgs;self_reported_weight_lbs,,
