variable_name,datatype,description,Value Set,units,required,Dependent Fields
reporter,,,,,,
reporting_jurisdiction,category,"The CDC Epidemiology and Laboratory Capacity (ELC) jurisdiction, most frequently a state, reporting these data (2-letter abbreviation)","AL, Alabama;
AK, Alaska;
AS, American Samoa;
AZ, Arizona;
AK, Arkansas;
CA, California;
CI, Chicago, IL;
CO, Colorado;
MP, Commonwealth of Northern Mariana Islands;
CT, Connecticut;
DE, Delaware;
DC, District of Columbia;
FM, Federated States of Micronesia;
FL, Florida;
GA, Georgia;
GU, Guam;
HI, Hawaii;
HO, Houston, TX;
ID, Idaho;
IL, Illinois;
IN, Indiana;
IA, Iowa;
KS, Kansas;
KY, Kentucky;
LC, Los Angeles County, CA;
LA, Louisiana;
ME, Maine;
MD, Maryland;
MA, Massachusetts;
MI, Michigan;
MN, Minnesota;
MS, Mississippi;
MO, Missouri;
MT, Montana;
NE, Nebraska;
NV, Nevada;
NH, New Hampshire;
NJ, New Jersey;
NM, New Mexico;
NY, New York;
NZ, New York City, NY;
NC, North Carolina;
ND, North Dakota;
OH, Ohio;
OK, Oklahoma;
OR, Oregon;
PA, Pennsylvania;
PH, Philadelphia, PA;
PR, Puerto Rico;
MH, Republic of the Marshall Islands;
PW, Republic of Palau;
RI, Rhode Island;
SC, South Carolina;
SD, South Dakota;
TN, Tennessee;
TX, Texas;
VI, U.S. Virgin Islands;
UT, Utah;
VT, Vermont;
VA, Virginia;
WA, Washington;
WV, West Virginia;
WI, Wisconsin;
WY, Wyoming",[none],required,None
collection site,,,,,,
county_names,list (comma-separated strings),"Names of all counties served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location); if there are cities/jurisdictions served that are not within a county (e.g., independent cities), list those in 'other_jurisdiction'","[string];
[empty]",[none],required,Either 'county_names' or 'other_jurisdiction' must have a non-empty value
other_jurisdiction,list (comma-separated strings),"Some geographic locations are not contained within a county or counties (e.g., independent cities). Use this field to specify names of jurisdictions that are not within a county that are served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location); list counties served in 'county_names'","[string];
[empty]",[none],required,Either 'county_names' or 'other_jurisdiction' must have a non-empty value
zipcode,zip code (#####),"ZIP code in which this sampling site is located ",[ZIP code],[none],required,None
population_served,integer,"Estimated number of persons served by this sampling site (i.e., served by this wastewater treatment plant or, if 'sample_location' is ""upstream"", then by this upstream location)",[greater than or equal to 0],[none],required,None
sewage_travel_time,float,"What is the approximate sewage travel time, on average, from sewage source to this sampling site (i.e., this wastewater treatment plant or, if 'sample_location' is ""upstream"", then this upstream location)? This should be specified as a duration in hours, not a time of day.","[greater than or equal to 0];
[empty]",hours,not required,None
sample_location,category,"Sample collection location in the wastewater system, whether at a wastewater treatment plant (or other community level treatment infrastructure such as community-scale septic) or upstream in the wastewater system","wwtp;
upstream",[none],required,"If 'sample_location' is ""upstream"", specify in 'sample_location_specify'"
sample_location_specify,string,"If 'sample_location' is ""upstream"", specify the collection location in the wastewater system; an arbitrary name may be used if you do not wish to disclose the real name.","[string, length less than or equal to 40 characters];
[empty]",[none],required,"If sample_location is ""upstream"", then this must have a non-empty value"
institution_type,category,"If this sample represents wastewater from a single institution, facility, or building, specify the institution type; otherwise, specify ""not institution specific""",,[none],required,None
wwtp,,,,,,
epaid,npdes permit number (<2-letter abbreviation><#######>),NPDES permit number for the wastewater treatment plant specified in 'wwtp_name',[NPDES permit number],[none],not required,None
wwtp_name,string,"The name of the Wastewater Treatment Plant (WWTP) to which this wastewater flows. If this wastewater does not flow to a WWTP,  specify an identifiable name for the septic or other treatment system to which this wastewater flows. An arbitrary name may be used if you do not wish to disclose the real name.","[string, length less than or equal to 40 characters]",[none],required,None
wwtp_jurisdiction,category,"State, DC, US territory, or Freely Associated State jurisdiction name (2-letter abbreviation) in which the wastewater treatment plant provided in 'wwtp_name' is located",,[none],required,None
capacity_mgd,float,Wastewater treatment plant design capacity,[greater than or equal to 0],million gallons per day (mgd),required,None
industrial_input,float,Approximate average percentage of wastewater from industrial sources that is received by the wastewater treatment plant specified in 'wwtp_name',"[0-100];
[empty]",percent,not required,None
stormwater_input,category,"Does the wastewater treatment plant specified in 'wwtp_name' treat water from a combined sewer system (i.e., a sewer system that collects both sewage and stormwater)?",,[none],not required,None
influent_equilibrated,category,Is influent to the wastewater treatment plant specified in 'wwtp_name' ever stored prior to treatment to equilibrate or modulate the influent flow rate?,,[none],not required,None
collection method,,,,,,
sample_type,category,"Type of sample collected, whether grab or composite. If composite, also provide the duration of sampling and type of composite, as listed in the Value Set (e.g., ""24-hr flow-weighted composite""). A grab sample is defined as an individual sample collected without compositing or adding other samples, regardless of whether the sample matrix is liquid wastewater or sludge.",,[none],required,None
composite_freq,float,"Frequency of sub-sample collection (for composite samples only): for flow-weighted, the number of sub-samples collected per million gallons of flow; for time-weighted, the number of sub-samples per hour. Flow-weighted example: a value of 5 would indicate 5 sub-samples per million gallons, or 1 sub-sample per 200,000 gallons","[greater than or equal to 0];
[empty]",if flow-weighted composite: number per million gallons; if time-weighted or manual composite: number per hour,not required,None
sample_matrix,category,Wastewater matrix from which the sample was collected,,[none],required,None
collection_storage_time,float,Duration of time the sample was stored after collection and prior to reaching the lab,"[greater than or equal to 0];
[empty]",hours,not required,None
collection_storage_temp,float,Temperature at which the sample was stored after collection and prior to reaching the lab,"[float];
[empty]",celsius,not required,None
pretreatment,category,"Was the sample treated with any chemicals prior to reaching the lab? These could include chemicals, such as stabilizers, added to the sample or chemicals, such as chlorine, added to the wastewater treatment train upstream of the sample collection point. Pasteurization should be specified in the 'pasteurized' field.",,[none],not required,"if 'pretreatment' is ""yes"", then specify in 'pretreatment_specify'"
pretreatment_specify,string,"If 'pretreatment' is ""yes"", then specify the chemicals used","[string];
[empty]",[none],not required,"if 'pretreatment' is ""yes"", then specify in 'pretreatment_specify'"
processing method,,,,,,
solids_separation,category,"Process used to separate solid and liquid phases of the sample, either prior to or in the absence of the concentration method specified in 'concentration_method'",,[none],not required,None
concentration_method,category,Method used to concentrate the sample prior to analysis of the concentrate,,[none],required,None
extraction_method,category,Method used for nucleic acid extraction from the sample,,[none],required,None
pre_conc_storage_time,float,The approximate average duration of time between when samples reach the lab and when they are concentrated (if concentrated),"[greater than or equal to 0];
[empty]",hours,not required,None
pre_conc_storage_temp,float,The storage temperature of samples after reaching the lab and prior to concentration (if concentrated),"[float];
[empty]",celsius,not required,None
pre_ext_storage_time,float,The approximate average duration of time between when samples are concentrated (if concentrated) and when they are extracted,"[greater than or equal to 0];
[empty]",hours,not required,None
pre_ext_storage_temp,float,The storage temperature of samples after concentration (if concentrated) and prior to extraction,"[float];
[empty]",celsius,not required,None
tot_conc_vol,float,Total volume of sample concentrated (if concentrated); this total volume is not necessarily assayed and is not necessarily equal to the value specified in 'equiv_sewage_amt',"[greater than or equal to 0];
[empty]",ml,not required,None
ext_blank,category,Are extraction blanks included in the extraction process?,,[none],not required,None
rec_eff_target_name,category,Name of the recovery efficiency control target that is spiked in,,[none],required,"If 'rec_eff_percent' is equal to a value other than ""-1"", then this must have a non-empty value"
rec_eff_spike_matrix,category,Matrix into which the recovery efficiency control target is spiked,,[none],required,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value"
rec_eff_spike_conc,float,"Spike concentration, on average, of the recovery control on a per sample volume basis","[float];
[empty]",log10 copies/ml,required,"If 'rec_eff_target_name' has a non-empty value, then this must have a non-empty value"
pasteurized,category,Was the sample pasteurized?,,[none],not required,None
sarscov2 quantification method,,,,,,
pcr_target,category,The PCR gene target used to quantify SARS-CoV-2,,[none],required,None
pcr_target_ref,string,"A publication, website, or brief description of the PCR gene target used",[string],[none],required,None
pcr_type,category,The type of PCR used to quantify SARS-CoV-2,,[none],required,None
lod_ref,string,"A publication, website, or brief description of the method used to calculate the limit of detection",[string],[none],required,None
hum_frac_target_mic,category,Name of microbial target used to estimate human fecal content,,[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value"
hum_frac_target_mic_ref,string,"A publication, website, or brief description of the microbial target specified in 'hum_frac_target_mic'","[string];
[empty]",[none],not required,"If 'hum_frac_mic_conc' has a non-empty value, then this must have a non-empty value"
hum_frac_target_chem,category,Name of chemical compound used to estimate human fecal content,,[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value"
hum_frac_target_chem_ref,string,"A publication, website, or brief description of the chemical compound specified in 'hum_frac_target_chem'","[string];
[empty]",[none],not required,"If 'hum_frac_chem_conc' has a non-empty value, then this must have a non-empty value"
other_norm_name,category,Name of a target or compound not specified in 'hum_frac_target_mic' or 'hum_frac_target_chem' used to estimate human fecal content,,[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value"
other_norm_ref,string,"A publication, website, or brief description of the target or compound specified in 'other_norm_name'","[string];
[empty]",[none],not required,"If 'other_norm_conc' has a non-empty value, then this must have a non-empty value"
quant_stan_type,category,The type of nucleic acid used as a standard for SARS-CoV-2 quantification,,[none],required,None
stan_ref,string,"A publication, website, or brief description of the quantitative standard material used",[string],[none],required,None
inhibition_method,string,"A publication, website, or brief description of the method used to evaluate molecular inhibition","[string];
none (if inhibition not tested)",[none],required,None
num_no_target_control,category,Number of no-template controls (NTC) per instrument run,,[none],required,None
sample,,,,,,
sample_collect_date,date ([yyyy]-[mm]-[dd]),"The date of sample collection; for composite samples, specify the date on which sample collection began",[date not after tomorrow's date],[none],required,None
sample_collect_time,"time, 24-hr ([hh]:[mm])","The local time of sample collection; for composite samples, specify the time at which sample collection began",[time],[none],required,None
time_zone,time zone (utc-[hh]:[mm]),"Current local time zone corresponding to the time specified in 'sample_collect_time', represented as a UTC time offset (e.g., UTC-06:00)",[time zone],[none],not required,None
