Id,Section,ui,Label,Enumeration,Notes,min,max,branching_logic,Units,CDE Reference
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minumum CDE
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,RADx-rad Minumum CDE
sample_id,Sample,text,Unique identifier for a spiked (contrived) sample,,,,,,,
sample_media,Sample,text,Media used to prepare the spiked sample,,example: pooled saliva,,,,,
sample_concentration,Sample,float,Concentation of target analyte in the sample,,,,,,,
sample_concentration_unit,Sample,text,Unit of the sample concentration,,exmaple: copies/ml,,,,,
target_organism_name,Target,text,NCBI organism name,,example: SARS-CoV-2,,,,,https://www.ncbi.nlm.nih.gov/taxonomy
target_taxonomy_id,Target,text,NCBI taxonomy id for organism,,example: 2697049,,,,,https://www.ncbi.nlm.nih.gov/taxonomy
isolate_name,Target,text,Name of the isolate,,example: hCoV-19/USA/WA1/2020,,,,,
target_subtype,Target,text,Subtype of organism,,example (Influenza): H1N1,,,,,https://www.ncbi.nlm.nih.gov/taxonomy
gisaid_id,Target,text,GISAID isolate id of the original isolate,,example: EPI_ISL_751801,,,,,https://www.gisaid.org
pango_lineage,Target,text,Pango lineage for SARS-CoV-2 variant,,example: B.1.1.7,,,,,https://cov-lineages.org
who_label,Target,text,WHO label for SARS-CoV-2 variant,,example: Alpha,,,,,https://www.who.int/en/activities/tracking-SARS-CoV-2-variants
target_analyte_type,Sample,list,Type of analyte(s) or target(s) to be detected,antigen | genomic RNA | inactivated virus | live virus | pseudovirus | antibody,example: antigen,,,,,
antigen_name,Sample/Antigen,text,UniProt preferred protein name,,example: Spike glycoprotein,,,,,
antigen_nterminal_tag,Sample/Antigen,text,Name of tag attached to N-terminal,,example: HIS,,,,,
antigen_cterminal_tag,Sample/Antigen,text,Name of tag attached to C-terminal,,example: HIS,,,,,
antigen_region,Sample/Antigen,text,Domain or subunit name,,examples: S1|Receptor Binding Domain,,,,,
antigen_expression_system,Sample/Antigen,text,System used to express protein,,,,,,,
antigen_formulation,Sample/Antigen,text,Formulation of antigen,,"example: Lyophilized from sterile PBS, pH 7.4.",,,,,
antigen_source,Sample/Antigen,text,Supplier of antigen or publication,,example: Sino Biological,,,,,
antigen_source_url,Sampe/Antigen,url,URL of supplier catalog page or publication DOI link,,example: https://www.sinobiological.com/recombinant-proteins/2019-ncov-cov-spike-40591-v08h,,,,,
antigen_concentration,Sample/Antigen,float,Protein concentration,,example: 1.0,,,,,
antigen_concentration_unit,Sample/Antigen,text,Unit of protein concentration,mM | uM| nM | pM | fM,example: nM,,,,,
study_id,Sample/Antigen,,,,,,,,,
chills,Sample/Antigen,,,,,,,,,
diarrhea,Sample/Antigen,,,,,,,,,
protocol_id,Sample/Antigen,,,,,,,,,
technology_platform,Sample/Antigen,,,,,,,,,
technology_description,Sample/Antigen,,,,,,,,,
biorecognition_type,Sample/Antigen,,,,,,,,,
analyte_type,Sample/Antigen,,,,,,,,,
