Id,Label,Terms,Datatype,Unit,Enumeration,Additional Missing Value Codes
consent_zip_2,I agree to let the Duke Clinical Research Institute collect my zip code.,,int,,"""0""=[No] |""1""=[Yes] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
cov_pan_chal_med_2,Getting the medicine I need,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_pandemic_challenges_abod_2,Having a place to stay/live,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_pandemic_challenges_food_2,Getting enough food to eat,,int,,"""0""=[No, not a challenge] |""1""=[Yes, a minor challenge] |""2""=[Yes, this is a major challenge] |""99""=[Prefer not to answer] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_approval,Quality and Regulatory,,int,,"""1""=[CLIA/CP certified] |""2""=[CLIA Waiver] |""3""=[FDA authorized (EUA)] |""4""=[FDA cleared] |""5""=[LDT] |""90""=[Other (specify)] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_collect_datetime,Date and time specimen collected,,datetime,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_collection_setting,Test Collection Setting,,int,,"""1""=[Clinic] |""2""=[Drive-through] |""3""=[Home] |""4""=[Mobile unit] |""5""=[Lab] |""6""=[Mail-in] |""7""=[Community location (e.g., church, school, community center, etc.)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_performed_location,Test Performed Location,,int,,"""1""=[Clinic] |""2""=[Drive-through] |""3""=[Home] |""4""=[Mobile unit] |""5""=[Lab] |""6""=[Mail-in] |""7""=[Community location (e.g., church, school, community center, etc.)] |""90""=[Other, Specify] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_result,Test result,,int,,"""1""=[Positive] |""2""=[Negative] |""3""=[Failed] |""4""=[Lost] |""90""=[Other] ","""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
covid_test_result_datetime,Date and time result received,,datetime,,,"""-9999""=[Reason Unknown] |""-9960""=[This information was not provided by the originator (participant or sensor)] |""-9985""=[Data was invalid (wrong format, wrong or unknown units, not parseable, or impossible value)] |""-9944""=[This element (question or variable) was not presented to user for collection (reason unspecified)]"
