variable_name,description,datatype,required,unique,source_file,source_directory
googlefitsamplekey,Unique identifier for this piece of data,string,,True,GoogleFitSamples_datadictionary.csv,RADx-DHT
participantidentifier,Identifier of the participant,string,true,,GoogleFitSamples_datadictionary.csv,RADx-DHT
type,The type of the sample e.g. steps of heart rate,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
windowstart,Optional start time for the sample in ISO 8601 format,datetime,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
windowend,Timestamp for when the sample was taken in ISO 8601 format,datetime,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
value,Value recorded - may be a number a string or a json object,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
units,Units for the value if applicable,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourcename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourceapppackagename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourcestreamname,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourcedevicemanufacturer,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourcedevicemodel,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
datasourcedevicetype,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourcename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourceapppackagename,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourcestreamname,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourcedevicemanufacturer,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourcedevicemodel,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
originaldatasourcedevicetype,Google Fit specific data source context,string,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
inserteddate,Date the entry was created in ISO 8601 format,timestamp,,,GoogleFitSamples_datadictionary.csv,RADx-DHT
