variable_name,description,datatype,value_constraints,required,source_file,source_directory
surveyresultkey,Unique key for this survey result. Used to link to survey steps in SurveySteResults file,string,,,SurveyResults_datadictionary.csv,RADx-DHT
surveykey,Unique identifier for the specific survey the result is for,string,,,SurveyResults_datadictionary.csv,RADx-DHT
surveyname,Name of the Survey this result is for,string,,,SurveyResults_datadictionary.csv,RADx-DHT
surveyversion,Identifies which version of the survey was active when the data was collected,string,,,SurveyResults_datadictionary.csv,RADx-DHT
participantidentifier,Identifier of the participant,string,,true,SurveyResults_datadictionary.csv,RADx-DHT
surveytaskkey,Surveys may be delivered via a specific task and when appplicable this identifies the task,string,,,SurveyResults_datadictionary.csv,RADx-DHT
type,Type of Survey,categorical,Survey;Consent,,SurveyResults_datadictionary.csv,RADx-DHT
startdate,Date and time the participant started taking the survey in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT
enddate,Date and time the participant finished taking the survey in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT
deviceplatform,The platform the survey was complete on e.g. IOS or Android,string,,,SurveyResults_datadictionary.csv,RADx-DHT
devicename,The name of the device used to complete the survey e.g. iPhone 12,string,,,SurveyResults_datadictionary.csv,RADx-DHT
deviceosversion,The operating system version running on the device used to complete the survey,string,,,SurveyResults_datadictionary.csv,RADx-DHT
inserteddate,Creation date of the result in ISO 8601 format,datetime,,,SurveyResults_datadictionary.csv,RADx-DHT
