question_id,variable_name,label,datatype,value_constraints,source_file,source_directory
"",id_participant_external,Participant identifier,string,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
"",start_timestamp,UTC survey start time,string,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
"",end_timestamp,UTC survey end time,date,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,flu_studies,Are you involved in any flu studies with Achievement Studies involving at-home testing ?,string,['no'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,time_zone,Local time zone of participant,string,"['Eastern Time (US & Canada)', 'Pacific Time (US & Canada)', 'Central Time (US & Canada)', 'Arizona', 'Mountain Time (US & Canada)', 'Hawaii', 'Alaska']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,age,What is your current age (in years)?,long,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,us_resident,Do you currently live in the United States?,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,lang,"Are you able to read, speak, and understand English?",string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,daily_survey_willingness,,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,disclosures,,string,['yes'],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,postal_code,,long,Zip code is trimmed to only include first 3 digits,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,sex,,string,"['male', 'female', 'other_non_binary', 'pna', nan]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,pregnancy,,string,"['skipped', 'no', 'yes', 'pna']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,height,,double,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,weight,,long,,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,ethnicity,,string,"['hispanic_latino', 'not_hispanic_latino', 'pna']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__american_indian_alaska_native,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__asian,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__black_african_american,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__pacific_islander,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__white,,boolean,"[True, False]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__other,,boolean,"[False, True]",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__skipped,,boolean,[False],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,race__not_answered,,boolean,[False],data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,education,,string,"['college', 'some_college', 'doctorate', 'graduate_degree', 'training', 'hs', 'pna', 'no_hs']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,income,,string,"['50_74', '75_99', '100_149', '150_or_more', '35_49', '25_34', 'less_than_25', 'pna']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
0.0,employment,,string,"['employed_full_time', 'employed_part_time', 'sick_leave_disability', 'self_employed', 'retired', 'other', 'student', 'homemaker', 'unemployed']",data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
