variable_name,description,seeAlso,datatype,source_file,source_directory
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
dt,Evidation based date of record,,date,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
datetime,Date corresponding to Heart Rate Zone recording,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
customheartratezones[array].caloriesout,Total estimated calories expended within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
customheartratezones[array].max,Maximum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
customheartratezones[array].min,Minimum Heart Rate Reached within participant's Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
customheartratezones[array].minutes,Total minutes within Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
customheartratezones[array].name,Name of Custom Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
heartratezones[array].caloriesout,Total estimated calories expended within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,double,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
heartratezones[array].max,Maximum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
heartratezones[array].min,Minimum Heart Rate Reached within participant's Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
heartratezones[array].minutes,Total minutes within Heart Rate Zone array,https://dev.fitbit.com/build/reference/web-api/heart-rate/,long,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
heartratezones[array].name,"Name of Heart Rate Zone array. Possible Values: {'Cardio', 'Fat Burn', 'Peak', 'Out of Range'}",https://dev.fitbit.com/build/reference/web-api/heart-rate/,string,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
