variable_name,description,seeAlso,datatype,source_file,source_directory
id_participant_external,Participant external identifier,,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
dt,Evidation based date of record,,date,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
dateofsleep,Date corresponding to sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
duration,Duration of sleep record in milliseconds,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
efficiency,Sleep efficiency score,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
endtime,Date and time the sleep record ended,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
infocode,Numeric code corresponding to Type value,https://dev.fitbit.com/build/reference/web-api/sleep/,string,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
ismainsleep,Whether or not each sleep period is part of the main sleep for the day,https://dev.fitbit.com/build/reference/web-api/sleep/,boolean,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
minutesafterwakeup,Number of minutes after user awakens from sleep record,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
minutesasleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
minutesawake,Total minutes awake for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
minutestofallasleep,Total minutes asleep for given sleep period,https://dev.fitbit.com/build/reference/web-api/sleep/,long,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
