variable_name,description,datatype,source_file,source_directory
id_participant_external,Participant external identifier,string,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
dt,Evidation based date of record,date,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
calendardate,The calendar date this summary would be displayed on in Garmin Connect. The date format is ‘yyyy-mm-dd’.,string,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
starttimeinseconds,"Start time of the activity in seconds since January 1, 1970, 00:00:00 UTC (Unix timestamp).",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
starttimeoffsetinseconds,"Offset in seconds to add to startTimeInSeconds to derive the ""local"" time of the device that captured the data.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
activitytype,This field is included in daily summaries for backwards compatibility purposes. It can be ignored and will always default to WALKING.,string,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
durationinseconds,"Length of the monitoring period in seconds. 86400 once a full day is complete, but less if a user syncs mid-day.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
steps,Count of steps recorded during the monitoring period.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
distanceinmeters,Distance traveled in meters.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
activetimeinseconds,Portion of the monitoring period (in seconds) in which the device wearer was considered Active. This relies on heuristics internal to each device.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
activekilocalories,Active kilocalories (dietary calories) burned through actual movement and activity during the monitoring period.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
moderateintensitydurationinseconds,"Cumulative duration of activities of moderate intensity, lasting at least 600 seconds at a time. Moderate intensity is defined as activity with MET value range 3-6.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
vigorousintensitydurationinseconds,"Cumulative duration of activities of vigorous intensity, lasting at least 600 seconds at a time. Vigorous intensity is defined as activity with MET value > 6.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
floorsclimbed,Number of floors climbed during the monitoring period.,double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
minheartrateinbeatsperminute,"Minimum of heart rate values captured during the monitoring period, in beats per minute.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
averageheartrateinbeatsperminute,"Average of heart rate values captured during the last 7 days, in beats per minute. The average heart rate value for the monitoring period can be calculated based on the data from timeOffsetHeartRateSamples.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
maxheartrateinbeatsperminute,"Maximum of heart rate values captured during the monitoring period, in beats per minute.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
restingheartrateinbeatsperminute,"Average heart rate at rest during the monitoring period, in beats per minute.",double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
