variable_name,description,datatype,value_constraints,source_file,source_directory
immunizationdate,The date and time vaccine was administered.,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
administered-by,"The EHR,Pharmacy or Lab administering the vaccine",string,"32 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
valid-dose-count,Total Series of Doses needed,string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccineproduct,This identifies the vaccine substance administered - CVX codes.,string,,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccinemanufacturer,"Marketing Authorization Holder - if no MAH present, then manufacturer",string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccineshortdescription,Description of vaccine from CVX,string,2 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
countryofvaccination,Country of vaccination,string,32 bytes ASCII Alpha,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
series-completion-date,Date time when vaccination dosage was completed,integer,Epoch Time,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccine-group-name,Group name for vaccines in this dictionary,string,Covid,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccinecodesystem,System encoding vaccine product administered,string,"256 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
vaccinecode,Code for vaccine product administered,string,"256 bytes ASCII ",data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
record-request-date,The date and time at which the C2G system received request for results,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
record-receive-date,The date and time at which the C2G system receive this result,string,ISO 8601 date-time format,data_dictionary_vaccination.xlsx [Vaccination].csv,RADx-DHT
