variable_name,description,datatype,source_file,source_directory
user_id,User's Unique ID,int,medications_data_dictionary_origcopy.csv,RADx-DHT
site,Site/Referral the user signed up with,text,medications_data_dictionary_origcopy.csv,RADx-DHT
data_source,Source of Data,text,medications_data_dictionary_origcopy.csv,RADx-DHT
organization_name,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT
full_generic_name,Medication generic name,text,medications_data_dictionary_origcopy.csv,RADx-DHT
brand_name,Medication commercial brand name,text,medications_data_dictionary_origcopy.csv,RADx-DHT
medication_name,Medication commercial name,text,medications_data_dictionary_origcopy.csv,RADx-DHT
product_name,Medication commercial product name,text,medications_data_dictionary_origcopy.csv,RADx-DHT
sxdg_name,RXNorm SXDG Name,text,medications_data_dictionary_origcopy.csv,RADx-DHT
ndc_code,(not currently used) National Drug Code,text,medications_data_dictionary_origcopy.csv,RADx-DHT
rxcui,RxNorm RXCUI,int,medications_data_dictionary_origcopy.csv,RADx-DHT
generic_rxcui,RxNorm generic RXCUI,int,medications_data_dictionary_origcopy.csv,RADx-DHT
start_date,(not currently used),date,medications_data_dictionary_origcopy.csv,RADx-DHT
end_date,(not currently used),date,medications_data_dictionary_origcopy.csv,RADx-DHT
dosage_value,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT
dosage_form,Form of medication dosage,text,medications_data_dictionary_origcopy.csv,RADx-DHT
frequency_number,Number of medication to take at interval,float,medications_data_dictionary_origcopy.csv,RADx-DHT
frequency_every,Number of units in an interval to take medication,int,medications_data_dictionary_origcopy.csv,RADx-DHT
frequency_unit,Unit of time for determing when to take medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT
route,Route for administering medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT
strength_number,(not currently used),float,medications_data_dictionary_origcopy.csv,RADx-DHT
strength_unit,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT
strength,Strength of medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT
dosage_instructions,(not currently used),text,medications_data_dictionary_origcopy.csv,RADx-DHT
can_refill,(not currently used),boolean,medications_data_dictionary_origcopy.csv,RADx-DHT
has_pending_refill,(not currently used),boolean,medications_data_dictionary_origcopy.csv,RADx-DHT
generic_product_indicator,(not currently used),int,medications_data_dictionary_origcopy.csv,RADx-DHT
currently_taking,Whether medication is currently being taken,boolean,medications_data_dictionary_origcopy.csv,RADx-DHT
as_needed,"Whether medication is taken on an ""as-needed"" basis",boolean,medications_data_dictionary_origcopy.csv,RADx-DHT
reason,Reason for taking medication,text,medications_data_dictionary_origcopy.csv,RADx-DHT
variable_basis,"User-entered frequency for taking medication, if it is not taken on a regular schedule",text,medications_data_dictionary_origcopy.csv,RADx-DHT
