datatype,variable_name,description,value_constraints,source_file,source_directory
text,external_participant_id,The unique identifier associated with the event,,survey__weekly_survey_origcopy.csv,RADx-DHT
text,response_status,Status of the response: completed,,survey__weekly_survey_origcopy.csv,RADx-DHT
timestamp_ntz,created_at,Date the response was created,,survey__weekly_survey_origcopy.csv,RADx-DHT
timestamp_ntz,modified_at,Date the response was modified,,survey__weekly_survey_origcopy.csv,RADx-DHT
timestamp_ntz,processed_at,Timestamp the data was ingested/updated into Snowflake,,survey__weekly_survey_origcopy.csv,RADx-DHT
number,dur_response_secs,Duration time in seconds for survey reponse.,,survey__weekly_survey_origcopy.csv,RADx-DHT
text,have_you_experienced_flu_like_or_coronavirus_like_symptoms_in_the_past_7_days,"Have you experienced flu-like or coronavirus-like symptoms in the past 7 days (such as fever, chills, cough, shortness of breath, and/or headache)?<br><br><em>If you had flu-like or coronavirus-like symptoms in the past 7 days, but have recovered, please still answer YES.</em>","[""yes"",""no""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,when_did_you_first_begin_experiencing_flu_like_or_coronavirus_like_symptoms__date_of_first_symptom_experience,"When did you <em>first begin experiencing flu-like or coronavirus-like symptoms</em>? If you don?t recall the exact date, please provide the best estimate. | Date of First Symptom Experience",,survey__weekly_survey_origcopy.csv,RADx-DHT
text,is_this_the_first_time_that_you_are_reporting_the_symptoms_of_this_specific_flu_like_or_coronavirus_like_illness_on_this_survey,Is this the first time that you are reporting the symptoms of this specific flu-like or coronavirus-like illness on this survey??,"[""yes_this_is_the_first_time_i_am_reporting_these_symptoms"",""no_i_have_reported_having_these_symptoms_on_one_of_these_flu_or_coronavirus_related_surveys_within_the_past_month"",""i_don_t_know_i_can_t_remember""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,as_of_today_do_you_feel_that_you_have_completely_recovered_from_your_illness,"As of today, do you feel that you have completely recovered from your illness?","[""yes"",""no""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,when_did_you_feel_you_were_completely_recovered_from_your_illness__date_recovered,"When did you feel you were completely recovered from your illness? If you don?t recall the exact date, please provide the best estimate. | Date Recovered",,survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__i_did_not_experience_any_flu_like_symptoms,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | I did not experience any flu-like symptoms","[""""i_did_not_experience_any_flu_like_symptoms""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__fever,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Fever","[""""fever""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
text,we_d_like_to_know_more_about_the_symptoms_you_experienced_looking_back_over_the_past_7_days__feeling_hot_or_feverish_or_having_chills_or_shivering,"We?d like to know more about the symptoms you experienced. Looking back over the past 7 days, did you have any of the following symptoms? Symptoms could have been mild, moderate, or severe when you experienced them. Please select all that apply. | Feeling hot or feverish or having chills or shivering","[""""feeling_hot_or_feverish_or_having_chills_or_shivering""""]",survey__weekly_survey_origcopy.csv,RADx-DHT
