survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory
Hospitalization Survey,1,hosp_admittedlastthreemonth,Have you been hospitalized (had an overnight stay in a hospital) in the past month or since the last time you answered?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,hosp_howmany,How many days did you spend in the hospital over the past 30 days?,true,integer,|days,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,er,Have you been to the emergency room or Urgent Care (when you were NOT admitted to the hospital overnight) in the past 30 days or since the last time you answered?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,er_howmany,How many times did you go to the emergency room or Urgent Care (when you were NOT admitted to the hospital overnight) in the past 30 days or since the last time you answered?,true,integer,Integer,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,hosp_admit,"When were you discharged from the hospital (if more than one time, use most recent)?",true,date,|MM/DD/YYYY,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,hosp_mainreason,What was the main reason for your most recent hospitalization (you can look at the papers you received at discharge from the hospital)?,true,select one,Suspected COVID-19 infection;Asthma;Chronic obstructive pulmonary disease;Pneumonia;Common flu;Heart attack;Arrhythmias;Other,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,hosp_other,Please specify the main reason for your hospitalization.,true,string,String,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,er_admit,When did you most recently visit the emergency department or Urgent Care?,true,date,|MM/DD/YYYY,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,ermainreason,What was the main reason for your most recent emergency department or Urgent Care visit (you can look at the papers you received at discharge from the hospital)?,true,select one,Suspected COVID-19 infection;Asthma;Chronic obstructive pulmonary disease;Pneumonia;Common flu;Heart attack;Arrhythmias;Other,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
Hospitalization Survey,1,er_other,Please specify the main reason for your most recent emergency department or Urgent Care visit.,true,string,String,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
