survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory
Monthly COVID-19 Citizen Science Survey,4,daily_act,What best describes your current main daily activities and/or responsibilities over the past 30 days?,true,select one,"Working full time;Working part-time;Unemployed, laid off, or looking for work;In school (full- or part-time student);Stay-at-home parent or keeping household;Retired;Disabled;Prefer not to state",survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,wfh,How much of your working time is currently performed at home?,true,select one,100% of the time;75-99% of the time;50-74% of the time;25-49% of the time;1-24% of the time;None,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,essential,Are you currently considered an essential worker?,true,select one,Yes;No;I don't know;Other,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,income_change,Has your income changed in the past 30 days?,true,select one,"Yes, it has increased;Yes it has declined;No, it is about the same;Prefer not to state",survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,income_increase,"In the past 30 days, by what percentage has your income increased?",true,integer,|%,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,income_decrease,"In the past 30 days, by what percentage has your income declined?",true,integer,|%,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,unemployed,"In the past 30 days, have you been unemployed?",true,select one,Yes;No;Prefer not to state,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,household,"What is the number of individuals who, during the past month, normally live in your household?",true,integer,|people,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,rooms,"How many separate rooms are in the place where you live? INCLUDE bedrooms, kitchens, living rooms, etc. EXCLUDE bathrooms, porches, balconies, foyers, halls, or unfinished basements.",true,integer,|rooms,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,basics,"How hard is it for you (and your family) to pay for the very basics like food, rent or mortgage, heating, etc over the past 30 days?",true,select one,Very hard;Hard;Somewhat hard;Not very hard;Don’t know;Prefer not to state,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,ends_meet,Did you have difficulty making ends meet over the past 30 days?,true,select one,Frequently;Occasionally;Hardly ever;Never;Don’t know;Prefer not to state,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
Monthly COVID-19 Citizen Science Survey,4,drinks_alcohol,"IN THE PAST WEEK: How many drinks of alcohol (one drink = one standard glass of wine, can of beer, or shot of hard liquor) did you consume?",true,integer,|drinks,survey_data_dictionary_origcopy.csv - Monthly COVID-19 Citizen Science Survey.csv,RADx-DHT
