survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory
Monthly Vaccine Survey,1,vaccine_past_month,Have you received a COVID-19 (SARS-CoV-2) vaccine or booster in the past month (or since the last time you answered this question)?,true,select one,"Yes;No, I have not ever received a vaccine for COVID-19;No, I have already been vaccinated;Other;I don't know",survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,dose,How many vaccine or booster doses have you received in the past month (or since the last time you answered this question)?,true,select one,1 dose;2 doses;Other;I don't know,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,date_first_dose,"Within the past month (or since the last time you answered this question), what was the date of your first COVID-19 vaccine (OK to guess if unsure)?",true,date,Date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,date_second_dose,"Within the past month (or since the last time you answered this question), what was the date of your second COVID-19 vaccine (OK to guess if unsure)?",true,date,Date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,brand,What brand of COVID-19 vaccine did you receive?,true,select one,I don't know;Pfizer/BioNTech;Moderna;AstraZeneca/Oxford University;Sinovac;Johnson & Johnson;Novavax;Inovio Pharmaceuticals;Sanofi/GlaxoSmithKline;Other,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,brand_other,Please enter the brand of your COVID-19 vaccine:,true,string,String,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,side_effects,Have you experienced any of the following potential side effects after receiving your COVID-19 vaccine? Select all that apply.,true,select any,Fever;Chills;Fatigue;Sore/scratchy throat;Muscle pain;Joint pain;Headache;Other pain;Redness/swelling at the injection site;Rash other than at the injection site;Allergic reaction/anaphylaxis;Other;None of the above,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,side_effects_other,Please describe the side effect(s).,true,string,String,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,side_effects_start,When did your side effect(s) start?,true,integer,|days after getting the vaccine,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,side_effects_last,How many days did your side effect(s) last?,true,integer,|days,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,side_effects_severity,Rate the severity of your side effect(s),true,select one,Very Mild;Mild;Moderate;Severe;Very Severe,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,plan_vaccine,Do you plan to get a COVID-19 vaccine?,true,select one,"Yes, definitely;Yes, very likely;Not sure;No, probably not;No, definitely not",survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,more_likely,What makes you MORE likely to receive a COVID-19 vaccine? Select all that apply.,true,select any,"Concern for your own health;Concern for health of your family or others;Desire to return to pre-COVID way of life (e.g. work, school, economy);Confidence that it will work (effectiveness);Convenience/easily available;Workplace requirements;Religious reasons;Political reasons;Trust in your healthcare provider;Information found in the news (TV, newspaper, radio, internet);Information found on social media (Facebook, Twitter);Other;None of the above",survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,less_likely,What makes you LESS likely to receive a COVID-19 vaccine? Select all that apply.,true,select any,"My risk of getting COVID-19 is low;I think I’ve already had COVID-19;If I did get COVID-19 I wouldn’t suffer bad consequences;My other medical condition(s);Concern that it won’t work;Concerns about side effects from the vaccine;Too busy;Concerns about difficulty paying for it;Concerns about difficulty finding a place to get it;Dislike of needles/shots;Religious reasons;Political reasons;Information found in the news (TV, radio, newspaper, internet);Information found in social media (Facebook, Twitter);Other;None of the above",survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,vac_rec,"Of the groups or persons below, whose recommendation on whether or not to receive a COVID-19 vaccine matters to you? Select all that apply.",true,select any,"Family and friends;My personal doctor;Scientific community (doctors, researchers);Pharmaceutical industry (vaccine manufacturers);Governmental health organizations (e.g. FDA, CDC);The President of the United States;High-profile celebrities or actors;Local community or religious leaders;Other",survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
Monthly Vaccine Survey,1,vac_rec_other,Please enter whose recommendation on COVID-19 vaccination matters to you?,true,string,String,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
