survey_name,survey_version,variable_name,label,required,datatype,value_constraints,source_file,source_directory
Weekly COVID-19 Citizen Science Survey 4,9,tested_coronavirus_past_week,"In the past week (or since the last time you answered this question), have you received results of any tests that you had done for the novel coronavirus, the virus that causes COVID-19 (either a test to detect the virus for active infection or the antibody to detect past infection)?",true,select one,"Yes;No;I got a test, but don’t know the results",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,how_to_get_covid_test,Do you know how you might get a coronavirus test if you needed one?,true,select one,Yes;No,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,test_type,"""Was it a test for active infection (virus) or past infection (antibody to the virus)?  (The test for active infection usually uses a swab or saliva; the test for past infection usually uses blood.)""",true,select one,Test for active infection (virus);Test for past infection (antibody to the virus);I had both kind of tests;I don’t know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,active_test_date,WHEN DID YOU TAKE THE TEST for active COVID-19 infection (virus) for which you received the results this week? (It's okay to guess if you are unsure.),true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,active_result,Do you know the result of your test for active COVID-19 infection (virus)?,true,select one,"Yes, I was positive (the novel coronavirus WAS detected);Yes, I was negative (the novel coronavirus was NOT detected);Yes, the test was inconclusive;No, not yet",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,active_result_date,WHEN DID YOU GET THE RESULTS from your test for active COVID-19 infection (virus)? (It's okay to guess if you are unsure).,true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,access_doctor,Do you know how to get an appointment to talk with a doctor or healthcare provider?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,worried_positive,"How worried were you about losing your housing, income or employment because of your positive test result?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,isolate,Were you told to isolate yourself for a certain amount of time so you wouldn’t infect anyone else?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,isolate_resources,"Were you provided access to resources (food, housing, compensation for lost income) so that you could isolate yourself?",true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,contact_tracing,Were you contacted by anyone to talk about “contact tracing” (finding other people who might have been exposed to you while you were sick)?,true,select one,Yes;No;I don't know,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,past_test_date,WHEN DID YOU TAKE THE TEST for past infection (antibody to the COVID-19 virus)? (It's okay to guess if you are unsure),true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,past_inf_result,Do you know the result of your test for past infection (antibody to the COVID-19 virus)?,true,select one,"Yes, I was positive (antibody to COVID-19 WAS detected suggesting past exposure);Yes, I was negative (antibody to COVID-19 was NOT detected suggesting NO past exposure);Yes, the test was inconclusive;No, not yet",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,past_result_date,WHEN DID YOU GET THE RESULTS from your test for past infection (antibody to the COVID-19 virus)? (It's okay to guess if you are unsure),true,date,Date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,why_active_test,Why was the test for active COVID-19 infection (virus) performed? CHECK ALL THAT APPLY,true,select any,I had symptoms concerning for COVID-19 infection (including hospitalization for COVID-19);I was exposed to someone with suspected or confirmed COVID-19;Prior to a medical procedure or hospitalization that was unrelated to COVID-19;It was offered through my healthcare provider as part of routine screening (not related to symptoms or pregnancy);It was part of screening for my pregnancy;I am a healthcare worker and it is offered or mandated by my employer;As part of a research study;It was required by my work;Part of a public health effort;I obtained it on my own;Not sure or other,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,why_past_inf_test,Why was the test for past infection (antibody to the COVID-19 virus) performed?  CHECK ALL THAT APPLY,true,select any,I had symptoms concerning for COVID-19 infection (including hospitalization for COVID-19);I was exposed to someone with suspected or confirmed COVID-19;Prior to a medical procedure or hospitalization that was unrelated to COVID-19;It was offered through my healthcare provider as part of routine screening (not related to symptoms or pregnancy);It was part of screening for my pregnancy;I am a healthcare worker and it is offered or mandated by my employer;As part of a research study;It was required by my work;Part of a public health effort;I obtained it on my own;Not sure or other,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,worried_health_past_week,"Over the past WEEK, how worried have you been that the health of you or your loved ones will be affected by the novel coronavirus (the virus causing COVID-19)?",true,select one,Extremely worried;Very worried;Somewhat worried;A little worried;Not worried at all,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,freq_wash_hands,"Over the past WEEK, on average, how often have you washed or sanitized your hands?",true,select one,More than 10 times per day;5-10 times per day;2-4 times per day;About once per day;Less than once per day,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,gym,"Over the past WEEK, how many times have you visited a gym?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,restaurant,"Over the past WEEK, how many times have you visited a restaurant (not for takeout)?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,restaurant_indoors,"Over the past WEEK, how many times did you eat INSIDE a restaurant (not outdoor seating)?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,bar,"Over the past WEEK, how many times have you visited a bar?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,movie_theater,"Over the past WEEK, how many times have you visited a movie theater?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,grocery_pharmacy,"Over the past WEEK, how many times have you visited a grocery store or pharmacy?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,transport,"Over the past WEEK, how many times have you ridden on public transportation such as a bus, train, or plane?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,event_more_than_10ppl,"Over the past WEEK, how many times have you visited an event with more than 10 people?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,excercise_past_week,"Over the past WEEK, how many times have you exercised for more than 20 minutes (enough to breathe heavily and/or sweat)?",true,integer,Integer,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,govt_restrictions_past_week,"Over the past WEEK, has your local government issued or continued any of the following restrictions? (CHECK ALL THAT APPLY)",true,select any,"School closures;Restricted gatherings at (or closed) bars, restaurants, and/ or theaters;Restricted gatherings  of a certain number of individuals;Recommended working from home or not working;Shelter in place (required to stay home except essential activities);Other restrictions;None of the above;Wearing masks when out in public;I don't know",survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,avg_sleep_past_week,"Over the past WEEK, on average, how many hours did you sleep per night?",true,integer,|hours per night,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
Weekly COVID-19 Citizen Science Survey 4,9,wear_mask,"Over the past week, how often did you wear a mask (any kind of covering over your mouth and nose) when you’re out in public? ",true,select one,Never;Sometimes;Most of the time;I did not go out in public this past week;Always,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
