Concept,label,variable_name,value_constraints,Comment,source_file,source_directory
Identity,User ID,user_id,,,RADx-TECH-global-code-book.csv,RADx-TECH
Race,Black;White;Asian;Pacific Islander;American Indian;Race_Other;Race_Unknown,race_black;race_white;race_asian;race_pacisl;race_amind;race_other;race_dk,".,Unchecked;0,Unchecked;1,Checked",,RADx-TECH-global-code-book.csv,RADx-TECH
Ethnicity,Are you of Hispanic or Latino origin?,ethnicity,"0,No|1,Yes: Mexican, Mexican American Or Chicano|2,Yes: Puerto Rican|3,Yes: Cuban|77,Don't Know|88,Prefer Not To Answer|99,Yes: Other Or Mixed Hispanic, Latino Or Spanish Origin",,RADx-TECH-global-code-book.csv,RADx-TECH
Age,Age,age_at_registration,BEST,,RADx-TECH-global-code-book.csv,RADx-TECH
Sex,Gender,sex,"1,Male|2,Female|88,Prefer Not To Answer",,RADx-TECH-global-code-book.csv,RADx-TECH
Education Level,What is the highest grade or level of school you have completed or the highest degree you have received?,education,no_hs;hs;ged;some_college;aa;bach;master;prof;doc;refused;dk,TECH uses categorical reference identifiers for education instead of integer identifiers; character strings will need to be transformed to numeric values,RADx-TECH-global-code-book.csv,RADx-TECH
Domicile,Zipcode,zip,BEST,,RADx-TECH-global-code-book.csv,RADx-TECH
Employment,"We would like to know about what you do-are you working now, looking for work, retired, keeping house, a student, or what?",working,"1,Working Now|2,Only Temporarily Laid Off, Sick Leave, Or Maternity Leave|3,Looking For Work, Unemployed|4,Retired|5,Disabled, Permanently, Or Temporarily|6,Keeping House|7,Student|99,Other (Specify)",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,Do you have any serious physical or mental condition(s) that limit your ability to perform daily activities?,cond_prev_activity,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,Are you deaf or do you have serious difficulty hearing?,hearing,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",vision,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions? (5 years or older)",memory,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,Do you have serious difficulty walking or climbing stairs? (5 years or older),walk_stairs,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
Disability Status,Do you have difficulty dressing or bathing? (5 years or older),dressing_bathing,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other",,RADx-TECH-global-code-book.csv,RADx-TECH
