Concept,label,variable_name,value_constraints,Comment,source_file,source_directory
Identity,Record ID,record_id,text,,RADx-rad-global-code-book.csv,RADx-rad
Race,What is your race? Mark one or more boxes,race,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,RADx-rad-global-code-book.csv,RADx-rad
Ethnicity,Are you of Hispanic or Latino origin?,ethnicity,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,RADx-rad-global-code-book.csv,RADx-rad
Age,What is your age?,age,text,"Age in years. For babies less than 1 year old, write 0 as the age",RADx-rad-global-code-book.csv,RADx-rad
Sex,What is your biological sex assigned at birth?,sex,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,RADx-rad-global-code-book.csv,RADx-rad
Education Years,How many years of education have you completed?,education,text,,RADx-rad-global-code-book.csv,RADx-rad
Domicile,Zip or Postal Code:,zip,5 digit zip code,5-digit zip code,RADx-rad-global-code-book.csv,RADx-rad
Employment,Are you employed?,employment,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,RADx-rad-global-code-book.csv,RADx-rad
Insurance Status,What kind of health insurance do you have?,insurance,"1, Private insurance | 2, Public insurance | 3, None",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,Are you deaf or do you have serious difficulty hearing?,deaf,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",blind,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?",memory_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,Do you have serious difficulty walking or climbing stairs?,walking_climbing_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,Do you have difficulty dressing or bathing?,dress_bathe_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Disability Status,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?",errand_dis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Vaping Use,vaping,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Nicotine Use,nicotine,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Alcohol Use,alcohol_use,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Asthma,asthma,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Cancer,cancer,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Cardiovascular disease,cardiovascular_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Chronic kidney disease,chronic_kidney_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Chronic lung disease,chronic_lung_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Diabetes,diabetes,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Hypertension,hypertension,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Immunosuppressive condition,immunosuppressive_conditio,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Serious mental illness,serious_mental_illness,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Sickle cell disease,sickle_cell_disease,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Medical History,Pregnancy status,pregnancy_status,"1, Currently pregnant | 0, Not pregnant",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Cough,cough,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Fever,fever,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Shortness of breath or difficulty breathing,shortness_of_breath_or_dif,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Headache,headache,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Muscle ache,muscle_ache,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,New loss of taste or smell,new_loss_of_taste_or_smell,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Excessive fatigue,excessive_fatigue,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Nausea/vomiting,nausea_vomiting,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Abdominal pain,abdominal_pain,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Skin rash,skin_rash,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Symptoms,Conjunctivitis,conjunctivitis,"1, Yes | 0, No",,RADx-rad-global-code-book.csv,RADx-rad
Health Status,"Would you say that (your) health in general is excellent, very good, good, fair or poor?",health_status,"1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,RADx-rad-global-code-book.csv,RADx-rad
Health Status,Height Feet;Height Inches,height_feet;height_inches,,Weight in pounds,RADx-rad-global-code-book.csv,RADx-rad
Health Status,What is your weight?,weight_lbs,,,RADx-rad-global-code-book.csv,RADx-rad
