variable_name,section_header,ui,label,value_constraints,field_note,min,max,branching_logic,units,CDE Reference,source_file,source_directory
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
ethnicity,Ethnicity,radio,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
age,Age,integer,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",0,90,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
education,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
zip,Domicile,text,Zip or Postal Code:,,De-Identified zip code,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
blind,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
memory_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,RADx-rad Minimum CDE,RADx-rad_Data_Element_Template_v003.csv,RADx-rad
