datatype,source_file,source_directory
"",Biorecognition_Element_Data_Element_Template_v000.csv,RADx-rad
"",data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT
"",data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
"",NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
"",PCR_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad
"",Performance_Metrics_Data_Element_Template_v000.xlsx [RADxrad_Data_Element_Template_v].csv,RADx-rad
"",RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad
"",RADx-rad_MinimumCDE_REDCapDataDictionary_2021-04-08.csv,RADx-rad
"",RADxrad_COVID_Testing_Data_Elements_v000.xlsx [RADxrad_COVID_Testing_Data_Elem].csv,RADx-rad
"",RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
"",Spiked_Sample_Data_Element_Template_v000.xlsx [Spiked_Sample_Data_Elements].csv,RADx-rad
"",survey_data_dictionary_origcopy.csv - Thanksgiving Plans.csv,RADx-DHT
autocomplete,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
Boolean,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
Boolean,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
Boolean,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT
Boolean,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
Boolean,medications_data_dictionary_origcopy.csv,RADx-DHT
calc,Demographics_and_Clinical.csv,RADx-DHT
Categorical,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
Categorical,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
Categorical,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
Categorical,SurveyResults_datadictionary.csv,RADx-DHT
category,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
checkbox,Demographics_and_Clinical.csv,RADx-DHT
Date,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT
Date,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT
Date,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT
date,data_dictionary.xlsx [C19EX - Daily Survey].csv,RADx-DHT
Date,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT
date,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
Date,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT
Date,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
Date,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT
Date,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
Date,data_dictionary.xlsx [Fitbit Intraday Sleep].csv,RADx-DHT
Date,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
Date,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
Date,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT
Date,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
Date,data_dictionary.xlsx [Garmin Stress Details].csv,RADx-DHT
Date,data_dictionary.xlsx [LSFS - Risk_Factor].csv,RADx-DHT
Date,data_dictionary.xlsx [Wearable Model Features].csv,RADx-DHT
Date,medications_data_dictionary_origcopy.csv,RADx-DHT
Date,NIH_Consent_Demographic_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
Date,NIH_Daily_Wellness_Survey_Data_Dictionary_MIT_Sep09_origcopy.xlsx [Sheet1].csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Baseline Survey.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Hospitalization Survey.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Follow Up Survey.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Monthly Vaccine Survey.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Vaccine Survey.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 2.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 3.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey 4.csv,RADx-DHT
date,survey_data_dictionary_origcopy.csv - Weekly COVID-19 Citizen Science Survey.csv,RADx-DHT
date ([yyyy]-[mm]-[dd]),NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
date_mdy,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
date_ymd,RADx-rad_Data_Elements_Wastewater_V006.csv,RADx-rad
DateTime,GoogleFitSamples_datadictionary.csv,RADx-DHT
DateTime,SurveyQuestionResults_datadictionary.csv,RADx-DHT
DateTime,SurveyResults_datadictionary.csv,RADx-DHT
datetime_mdy,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
Double,data_dictionary.xlsx [Apple Watch Intraday Heart Rate].csv,RADx-DHT
Double,data_dictionary.xlsx [Apple Watch Intraday Steps].csv,RADx-DHT
Double,data_dictionary.xlsx [C19EX - Health History Survey].csv,RADx-DHT
Double,data_dictionary.xlsx [C19EX - Screener].csv,RADx-DHT
Double,data_dictionary.xlsx [FBML Day Level].csv,RADx-DHT
Double,data_dictionary.xlsx [FBML Minute Level].csv,RADx-DHT
Double,data_dictionary.xlsx [Fitbit Activity Records].csv,RADx-DHT
Double,data_dictionary.xlsx [Fitbit Intraday Heart Rate].csv,RADx-DHT
Double,data_dictionary.xlsx [Garmin Intraday Dailies (Heart ].csv,RADx-DHT
Double,data_dictionary.xlsx [Garmin Intraday Steps].csv,RADx-DHT
Double,data_dictionary.xlsx [LSFS - Demographics].csv,RADx-DHT
Double,data_dictionary.xlsx [LSFS - Risk_Factor].csv,RADx-DHT
Double,data_dictionary.xlsx [Wearable Model Features].csv,RADx-DHT
dropdown,Demographics_and_Clinical.csv,RADx-DHT
email,RADxUP_DataDIctionary_2022-04-01_1.5t1t2.csv,RADx-UP
FLOAT,activity__garmin_activities_origcopy.csv,RADx-DHT
Float,data_dictionary.xlsx [Garmin Intraday Sleep].csv,RADx-DHT
float,data_dictionary.xlsx [Garmin PulseOx].csv,RADx-DHT
Float,data_dictionary.xlsx [LSFS - Flu].csv,RADx-DHT
Float,medications_data_dictionary_origcopy.csv,RADx-DHT
float,NWSS-Data-Dictionary_v2_0_3_20210621.xlsx [Metadata].csv,Unknown Source
float,survey_data_dictionary_origcopy.csv - Your Smoking History.csv,RADx-DHT
Int,medications_data_dictionary_origcopy.csv,RADx-DHT
Integer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
