variable_name,label,source_file,source_directory
29789-consent_18yrs,How old are you?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29790-consent_applies,Which of the following statements below best applies to you?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29791-consent_english,Are you able to provide written consent in English?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29792-consent_covid+,Have you tested Positive for COVID-19 in the last 30 days?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29793-consent_location,"Will you be within the greater Richmond, VA area for the next 10 days?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29794-consent_noeligble,Based on the responses you have provided you are not eligible to be in this study. Would you like to be contacted for future research studies?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29826-storage_permission,I agree that my data may be stored and used for future research as described earlier.,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29829-consent,"If you select the ""Yes, I consent/agree to participate..."" option then you are indicating the following: You have read and you understand this consent and any questions you may have had were answered to your satisfaction. You freely consent to participate in this study and give your permission to have your data used as described in this consent.",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29858-Shipping_placement,Where should we leave the kit? (Please wear a mask if you plan to meet the delivery driver),COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29871-KitReceived_response,Please confirm when you have received your kit. You can return to this page at any time.,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
29889-Kit_date_DEID,Please confirm the date you received the test kit.,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30072-Household,How would you describe your current household/living arrangements?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30075-Other_household,"How many people, other than you, live in the same household with you?

Please enter the number below.",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30081-general_health,How would you rate your general health?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-1,What is your race? White,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-2,What is your race? Black or African American,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-3,What is your race? Asian,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-4,What is your race? American Indian or Alaska Native,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-5,What is your race? Native Hawaiian or Other Pacific Islander,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-6,What is your race? Other,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-998,What is your race? None of the above,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30082-Race-999,What is your race? Prefer not to answer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30085-Ethnicity,What is your ethnicity?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30086-Gender-1,What terms best express how you describe your gender identity? Man,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30086-Gender-2,What terms best express how you describe your gender identity? Woman,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30086-Gender-3,What terms best express how you describe your gender identity? Non-Binary,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30086-Gender-5,What terms best express how you describe your gender identity? Transgender,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30086-Gender-999,What terms best express how you describe your gender identity? Prefer not to answer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30090-Birthsex,What was your biological sex assigned at birth?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30091-Education,What is the highest grade or year of school you completed?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30097-Height_options,"Please provide a selection, if you are unable to provide your current height:",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30100-weight_options,"Please provide a selection, if you are unable to provide your current weight:",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30101-ace_medication,"Are you taking any ACE Inhibitor medications (such as Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, etc.)?",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30102-blood_type,What is your blood type?,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-10,Do you have any of the following underlying conditions or risk factors? Current substance use,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-13,"Do you have any of the following underlying conditions or risk factors? Mental Health conditions, including serious mental illness",COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-14,Do you have any of the following underlying conditions or risk factors? Asthma,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-15,Do you have any of the following underlying conditions or risk factors? Sickle cell disease,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
30103-conditionsrisks-16,Do you have any of the following underlying conditions or risk factors? Cancer,COVIDCARE_survey_dictionary_v2_ForSubmission_MIT_Phase_II_2021-12-26.csv,RADx-DHT
