Data Type,Variable Name,Description,Permissible Values
TEXT,EXTERNAL_PARTICIPANT_ID,The unique identifier associated with the event,
TEXT,RESPONSE_STATUS,"Status of the response:\ completed, partial, overquota, or disqualified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details)",
TIMESTAMP_NTZ,CREATED_AT,Date the response was created (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),
TIMESTAMP_NTZ,MODIFIED_AT,Date the response was modified (see:\ https://developer.surveymonkey.com/api/v3/#collectors-id-responses-id-details),
TIMESTAMP_NTZ,PROCESSED_AT,Timestamp the data was ingested/updated into Snowflake,
NUMBER,DUR_RESPONSE_SECS,Duration time in seconds for survey reponse.,
TEXT,WOULD_YOU_LIKE_TO_PARTICIPATE,Would you like to participate?,"[""yes"",""no""]"
TEXT,ARE_YOU_18_YEARS_OF_AGE_OR_OLDER,Are you 18 years of age or older?,"[""yes"",""no""]"
TEXT,DO_YOU_CURRENTLY_LIVE_IN_THE_UNITED_STATES,Do you currently live in the United States?,"[""yes"",""no""]"
TEXT,DO_YOU_CURRENTLY_SPEAK_READ_AND_UNDERSTAND_ENGLISH,"Do you currently speak, read, and understand English?","[""yes"",""no""]"
TEXT,WHAT_IS_YOUR_CURRENT_AGE,What is your current age?,"[""18"",""19"",""21"",""22"",""23"",""26"",""27"",""30"",""32"",""33"",""35"",""36"",""37"",""41"",""47"",""52"",""55"",""57"",""60"",""63"",""73"",""77"",""80"",""81"",""94"",""95"",""98"",""100"",""34"",""44"",""45"",""46"",""50"",""53"",""61"",""65"",""66"",""72"",""74"",""84"",""86"",""88"",""48"",""71"",""76"",""85"",""20"",""25"",""28"",""29"",""38"",""40"",""49"",""51"",""54"",""56"",""58"",""64"",""68"",""69"",""75"",""79"",""82"",""83"",""89"",""92"",""93"",""96"",""97"",""31"",""78"",""24"",""39"",""42"",""43"",""59"",""87"",""90"",""91"",""99"",""62"",""67"",""70""]"
TEXT,WHAT_IS_YOUR_BIOLOGICAL_SEX_ASSIGNED_AT_BIRTH_FOR_EXAMPLE_ON_YOUR_BIRTH_CERTIFICATE,"What is your biological sex assigned at birth (for example, on your birth certificate)?","[""female"",""intersex"",""male"",""i_prefer_not_to_answer"",""none_of_these_describe_me""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__I_PREFER_NOT_TO_ANSWER,What is your current gender? Please select all that apply. | I prefer not to answer,"[""""i_prefer_not_to_answer""""]"
TEXT,WHAT_IS_YOUR_CURRENT_GENDER__FEMALE,What is your current gender? Please select all that apply. | Female,"[""""female""""]"
