Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Form Name,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
study_id,,text,Study ID,,,,,,,,,intake_form_cdes,,,,,
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,,intake_form_cdes,,,,,
ethnicity,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,,intake_form_cdes,,,,,
age,Age,text,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",integer,0,90,,,,intake_form_cdes,,,,,
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,,intake_form_cdes,,,,,
education,Education,text,How many years of education have you completed?,,Years of education from 0 - 20+,integer,,,,,,intake_form_cdes,,,,,
zip,Domicile,text,Zip or Postal Code:,,5-digit zip code,,,,,,,intake_form_cdes,,,,,
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,, ,intake_form_cdes,,,,,
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,,intake_form_cdes,,,,,
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
blind,,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
memory_dis,,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
walking_climbing_dis,,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
dress_bathe_dis,,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
errand_dis,,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
nicotine,,radio,Nicotine Use,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
alcohol_use,,radio,Alcohol Use,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
asthma,,radio,Asthma,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
cancer,,radio,Cancer,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
cardiovascular_disease,,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
chronic_kidney_disease,,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
chronic_lung_disease,,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
diabetes,,radio,Diabetes,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
hypertension,,radio,Hypertension,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
immunosuppressive_conditio,,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
serious_mental_illness,,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
sickle_cell_disease,,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
pregnancy_status,,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,,[sex] = '2',,intake_form_cdes,,,,,
cough,Symptoms ,radio,Cough,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
fever,,radio,Fever,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
shortness_of_breath_or_dif,,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,,intake_form_cdes,,,,,
