Variable / Field Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Branching Logic (Show field only if...),Units,CDE Reference,,,,,,
study_id,Identity,text,RADx-rad Study ID; Subject ID; Datavent ID,,,,,,,,RADx-rad Minumum CDE,,,,,,
race,Race,checkbox,What is your race? Mark one or more boxes.,"1, American Indian or Alaska Native | 2, Asian | 3, Black or African American | 4, Native Hawaiian or Other Pacific Islander | 5, White | 6, Some other race",,,,,,,RADx-rad Minumum CDE,,,,,,
ethnicity,Ethnicity,checkbox,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino origin | 0, No, not of Hispanic or Latino origin",,,,,,,RADx-rad Minumum CDE,,,,,,
age,Age,integer,What is your age?,,"Age in years. For babies less than 1 year old, write 0 as the age",,0,90,,,RADx-rad Minumum CDE,,,,,,
sex,Sex,radio,What is your biological sex assigned at birth?,"1, Male | 2, Female | 3, Intersex | 4, None of these describe me",,,,,,,RADx-rad Minumum CDE,,,,,,
education,Education,integer,How many years of education have you completed?,,Years of education from 0 - 20+,,,,,,RADx-rad Minumum CDE,,,,,,
zip,Domicile,text,Zip or Postal Code:,,De-Identified zip code,,,,,,RADx-rad Minumum CDE,,,,,,
employment,Employment,radio,Are you employed?,"1, Employed in a permanent position | 2, Employed in a temporary position | 3, Not currently employed",,,,,,,RADx-rad Minumum CDE,,,,,,
insurance,Insurance Status,radio,What kind of health insurance do you have?,"1, Private insurance | 2, Public insurance | 3, None",,,,,,,RADx-rad Minumum CDE,,,,,,
deaf,Disability Status,radio,Are you deaf or do you have serious difficulty hearing?,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
blind,Disability Status,radio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?","1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
memory_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have serious difficulty concentrating, remembering, or making decisions?","1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
walking_climbing_dis,Disability Status,radio,Do you have serious difficulty walking or climbing stairs?,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
dress_bathe_dis,Disability Status,radio,Do you have difficulty dressing or bathing?,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
errand_dis,Disability Status,radio,"Because of a physical, mental, or emotional condition, do you have difficulty doing errands alone such as visiting a doctor's office or shopping?","1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
vaping,Medical History,radio,Vaping Use,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
nicotine,Medical History,radio,Nicotine Use,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
alcohol_use,Medical History,radio,Alcohol Use,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
asthma,Medical History,radio,Asthma,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
cancer,Medical History,radio,Cancer,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
cardiovascular_disease,Medical History,radio,Cardiovascular disease,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
chronic_kidney_disease,Medical History,radio,Chronic kidney disease,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
chronic_lung_disease,Medical History,radio,Chronic lung disease,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
diabetes,Medical History,radio,Diabetes,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
hypertension,Medical History,radio,Hypertension,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
immunosuppressive_conditio,Medical History,radio,Immunosuppressive condition,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
serious_mental_illness,Medical History,radio,Serious mental illness,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
sickle_cell_disease,Medical History,radio,Sickle cell disease,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
pregnancy_status,Medical History,radio,Pregnancy status,"1, Currently pregnant | 0, Not pregnant",,,,,[sex] = '2',,RADx-rad Minumum CDE,,,,,,
cough,Symptoms,radio,Cough,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
fever,Symptoms,radio,Fever,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
shortness_of_breath_or_dif,Symptoms,radio,Shortness of breath or difficulty breathing,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
headache,Symptoms,radio,Headache,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
muscle_ache,Symptoms,radio,Muscle ache,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
new_loss_of_taste_or_smell,Symptoms,radio,New loss of taste or smell,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
chills,Symptoms,radio,Chills,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
excessive_fatigue,Symptoms,radio,Excessive fatigue,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
nausea_vomiting,Symptoms,radio,Nausea/vomiting,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
diarrhea,Symptoms,radio,Diarrhea,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
abdominal_pain,Symptoms,radio,Abdominal pain,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
skin_rash,Symptoms,radio,Skin rash,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
conjunctivitis,Symptoms,radio,Conjunctivitis,"1, Yes | 0, No",,,,,,,RADx-rad Minumum CDE,,,,,,
height_feet,Health Status,dropdown,Height Feet,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8",,,,,,foot,RADx-rad Minumum CDE,,,,,,
height_inches,Health Status,dropdown,Height Inches,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11",,,,,,inch,RADx-rad Minumum CDE,,,,,,
weight_lbs,Health Status,float,What is your weight?,,Weight in pounds,,,,,pound,RADx-rad Minumum CDE,,,,,,
health_status,Health Status,radio,"Would you say that (your) health in general is excellent, very good, good, fair or poor?","1, Excellent | 2, Very good | 3, Good | 4, Fair | 5, Poor",,,,,,,RADx-rad Minumum CDE,,,,,,
record_id,basic_data,,text,Record ID,,,,,,,,,,,,,
subject_id1,basic_data,,text,Subject ID,,,,,,,,y,,,,,
medical_center,basic_data,,radio,CONNECT enrollment site,"7, RWJMS and BMSCH | 2, WMC/MFCH | 3, Montefiore | 4, Hackensack | 5, NYU | 8, Cincinnati | 9, DARTNet affiliate | 10, Barnabas | 6, Other",,,,,,,y,,,,,
med_center,basic_data,,text,Please specify center.,,,,,,,[medical_center] = '6',y,,,,,
age_enroll,basic_data,,text,Age (in years) at time of recruitment/enrollment,,Write 0 for infants under 1 year old,number,0,21,,,y,,,,, @HIDDEN
age_group_enroll,basic_data,,radio,Age group at time of recruitment/enrollment,"1, <1 year old | 2, 1-5 years old | 3, 6-11 years old | 4, 12-17 years old | 5, 18-21 years old",,,,,,,y,,,,,
sex_at_birth,basic_data,,radio,Sex at birth,"1, Male | 2, Female | 3, Intersex | 4, Other",,,,,,,y,,,,,
other_sex_at_birth,basic_data,,text,Please specify.,,,,,,,[sex_at_birth] = '4',y,,,,,
race,basic_data,,radio,Race,"1, White | 2, Black or African American | 3, American Indian or Alaskan Native | 4, Native Hawaiian or Other Pacific Islander | 5, Asian | 6, Other race | 7, Unknown race",,,,,,,y,,,,,
ethnicity,basic_data,,radio,Ethnicity,"1, Hispanic, Latino, or Spanish Origin | 2, Non Hispanic, Latino, or Spanish Origin | 3, Unknown ethnicity",,,,,,,y,,,,,
cohort_type,basic_data,,radio,Participant group,"8, Mild or asymptomatic SARS-CoV-2 infection (control) diagnosed in the outpatient setting (including urgent care and emergency room without admission) with no or mild symptoms (e.g., fever, muscle aches, nasal congestion) not requiring inpatient care | 9, Severe acute COVID-19 (COVID-19 case) requiring hospitalization for COVID-19-related pulmonary disease (e.g., pneumonia or acute respiratory distress syndrome [ARDS]) | 10, Multisystem inflammatory syndrome in children (MIS-C cases) (defined below)",Hospitalized children with incidental SARS-CoV-2-positive testing based on universal screening are not eligible if they were not hospitalized specificially for manifestations of COVID-19 or MIS-C.,,,,,,y,,,,,
misc_definition,basic_data,,descriptive,"Multisystem Inflammatory Syndrome in Children (CDC criteria): 
a. 	Positivity for current or recent SARS-CoV-2 infection by RT-PCR, serology, or antigen test; or exposure to someone with suspected or confirmed COVID-19 around 3-5 weeks prior to the onset of symptoms
b. 	Fever
c. 	Laboratory evidence of inflammation (e.g., elevated CRP, D-dimer, LDH, or IL-6; low lymphocytes or albumin)
d. 	Evidence of clinically severe illness requiring hospitalization with dysfunction or disorders affecting at least 2 organs (cardiac, renal, respiratory, hematologic, gastrointestinal, dermatologic or neurological)",,,,,,,,,,,,,
