Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,,,,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,text,Record ID,,,,,,,,,,,,,,,, @MC-PARTICIPANT-ID
study_info,descriptive,"<div class=""rich-text-field-label""><p>In this study, you will be asked to evaluate hard candies (see ingredient info below) and report your responses on a survey daily for approximately 90 days. Additionally, we will ask you to fill out a Daily COVID-19 Form to monitor any potential COVID-related symptoms. Both surveys will be completed via a mobile app called ""MyCap"". <br /><br />We will provide you a supply of hard candies, which can be picked up Monday-Friday during business hours at three different locations near OSU campus.<br /><br />If you are interested in participating, please complete the form below. A consent form, demographic survey, and instructions to download MyCap will be sent to your email in order.<br /><br />If you have any questions, please email COVIDCandyTest@osu.edu with ""Phase 2"" on the subject line.<br /><br />Candy information<br />Ingredients: Sugar, Simple Corn Syrup, Coconut (tree nut), Citric Acid, Natural Flavors.<br />Allergen: contains coconut<br />Calories per candy: 6 calories</p></div>",,,,,,,,,,,,,,,,
who_are_you_signing_up_for,radio,For whom are you signing up for this research study?,"1, Myself | 2, A child under 18 years old",,,,,,,,,,y,,,,,
source,radio,How did you hear about our study?,"1, Email from OSU | 2, Poster on OSU properties | 3, Testing site | 4, Social media | 5, Family & friends | 6, Other",,,,,,,,,,y,,,,,
please_specify_other,text,"Please specify ""Other""",,,,,,,,,,[source] = '6',y,,,,,
consent280_firstname,text,First Name of Participant,,,,,,y,,,,,y,,,,, @MC-PARTICIPANT-FIRSTNAME
consent280_lastname,text,Last Name of Participant,,,,,,y,,,,,y,,,,, @MC-PARTICIPANT-LASTNAME
email_form2,text,Email,,,email,,,,,,,,y,,,,,
email_form1,text,Confirm email address,,,email,,,,,,,,y,,,,,
noncovid_smell_loss,yesno,Do you have any non-COVID-related smell or taste loss?,,,,,,,,,,[who_are_you_signing_up_for] = '1',y,,,,,
noncovid_smell_loss_kid,yesno,Does the child participant have any non-COVID-related smell or taste loss?,,,,,,,,,,[who_are_you_signing_up_for] = '2',y,,,,,
