Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,parameter_passing,,text,Record ID,,,,,,,,,,,,,
parameter_passing_timestamp,parameter_passing,,,REDCap field,,,,,,,,,,,,,
sn,parameter_passing,,text,This is the serial number.,,,,,,,,,,,,, @HIDDEN-SURVEY
survey_sn,parameter_passing,,calc,This is the survey number:,(rounddown([sn]/100000) - (10*rounddown((rounddown([sn]/100000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
placement_sn,parameter_passing,,calc,Placement using the SN,(rounddown([sn]/10000) - (10*rounddown((rounddown([sn]/10000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
odor_sn,parameter_passing,,calc,Odor using SN,(rounddown([sn]/1000) - (10*rounddown((rounddown([sn]/1000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
card_number_sn,parameter_passing,,calc,This is the card number,[sn]-(1000*(rounddown([sn]/1000))),,,,,,,,,,,, @HIDDEN-SURVEY
for_checking_qr,parameter_passing,,text,"Serial Number: [sn]

Survey Number: [survey_sn]

Odor Placement: [placement_sn]

Odor ID: [odor_sn]

Card ID: [card_number_sn]",,,,,,,,,,,,, @HIDDEN-SURVEY
manual_sn,parameter_passing,,text,Enter the 6-digit code provided on the card:,,,,,,,[placement_sn]<='0',y,,,,,
survey_manual_sn,parameter_passing,,calc,This is the survey number using the URL,(rounddown([manual_sn]/100000) - (10*rounddown((rounddown([manual_sn]/100000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
placement_manual_sn,parameter_passing,,calc,This is the odor placement using the URL:,(rounddown([manual_sn]/10000) - (10*rounddown((rounddown([manual_sn]/10000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
odor_manual_sn,parameter_passing,,calc,This is the odor ID using the URL:,(rounddown([manual_sn]/1000) - (10*rounddown((rounddown([manual_sn]/1000))/10))),,,,,,,,,,,, @HIDDEN-SURVEY
card_number_manual_sn,parameter_passing,,calc,This is the card number using the URL,[manual_sn]-(1000*(rounddown([manual_sn]/1000))),,,,,,,,,,,, @HIDDEN-SURVEY
for_checking_url,parameter_passing,,text,"Serial Number: [manual_sn]

Survey Number: [survey_manual_sn]

Odor Placement: [placement_manual_sn]

Odor ID: [odor_manual_sn]

Card ID: [card_number_manual_sn]",,,,,,,,,,,,, @HIDDEN-SURVEY
first_time,parameter_passing,,yesno,Is this your first time taking the smell test?,,,,,,,,y,,,,,
parameter_passing_complete,parameter_passing,,,REDCap field; passed SCENTinel intro,,,,,,,,,,,,,
demographics_timestamp,demographics,,,start time for participant beginning demographics section,,,,,,,,,,,,,
consent_ans,demographics,,radio,Please state whether you consent to participate in this study:,"1, Yes, I consent to participate | 2, No, I do not consent to participate",,,,,,,y,,,,,
age,demographics,,text,Please report your age (years old):,,,,,,,,y,,,,, @HIDDEN-SURVEY
student,demographics,,radio,"Are you a student, employee, or patient?","1, Student | 2, Employee | 3, Patient | 4, Other",,,,,,[card_number_sn] >= 850 and [card_number_sn] <= 963 OR [card_number_manual_sn] >= 850 and [card_number_manual_sn] <= 963,y,,,,,
other_student,demographics,,text,Other,,,,,,,[student] = '4',,,,,,
sex,demographics,,radio,Please specify your sex assigned at birth:,"1, Male | 2, Female | 3, Other | 4, Prefer not to answer",,,,,,,y,,,,,
gender_identity,demographics,,radio,"What best describes your gender identity? (Check all that apply)

","1, Man | 2, Woman | 3, Non-binary | 4, Transgender | 5, Other | 6, Prefer not to answer",,,,,,,y,,,,,
race_ethnicity___1,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,y,,,,, @NONEOFTHEABOVE=7
race_ethnicity___2,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity___3,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity___5,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity___6,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity___7,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity___8,demographics,,checkbox,What is your race? Check all that apply.,"1, American Indian or Alaska Native | 2, Asian (including South Asian and Asian Indian) | 3, Black or African American | 5, Native Hawaiian or Other Pacific Islander | 6, White | 7, Prefer not to say | 8, Other",,,,,,,,,,,,
race_ethnicity_other,demographics,,text,Other:,,,,,,,[race_ethnicity(8)] = '1',,,,,,
ethnicity,demographics,,radio,Are you of Hispanic or Latino origin?,"1, Yes, of Hispanic or Latino Origin | 2, No, not of Hispanic or Latino origin",,,,,,,y,,,,,
diagnoseddisorder,demographics,,radio,"<div class=""rich-text-field-label""><p>Have you ever been told that you have a smell or taste disorder?</p></div>","1, Yes | 2, No",,,,,,,y,,,,,
specific_disorder,demographics,,radio,"If yes, please specify:","1, Anosmia (complete loss of smell) | 2, Hyposmia (partial loss of smell) | 3, Parosmia (the quality of some odors has changed) | 4, Fluctuations (sometimes I can smell, sometimes I cannot) | 6, Other",,,,,,[diagnoseddisorder] = '1',y,,,,,
smell_covid,demographics,,yesno,Is your smell or taste disorder due to COVID-19?,,,,,,,[diagnoseddisorder] = '1',y,,,,,
demographics_complete,demographics,,text,end of demographics section,,,,,,,,,,,,,
scentinel_9_odors_timestamp,scentinel_9_odors,,,start time for participant beginning scentinel_9_odors section,,,,,,,,,,,,,
covid_test_date,scentinel_9_odors,,text,When was the date of your most recent COVID-19 test? (MM-DD-YYYY),,,date_mdy,,,,,y,,,,,
covid_vaccine,scentinel_9_odors,,radio,Have you received the COVID vaccine?,"1, Yes, first shot only (Johnson & Johnson, Pfizer, or Moderna) | 2, Yes, both shots (Pfizer or Moderna) | 3, No",,,,,,,y,,,,,
covid_vaccine_brand,scentinel_9_odors,,radio,"If yes, which brand?
","1, Pfizer | 2, Moderna | 3, Johnson & Johnson | 4, Other | 5, Unknown",,,,,,[covid_vaccine] = '1' or [covid_vaccine] = '2',y,,,,,
vaccine_other,scentinel_9_odors,,text,Other:,,,,,,,[covid_vaccine_brand] = '4',y,,,,,
covid_vaccine_when,scentinel_9_odors,,text,"When did you receive the first shot?
",,,date_mdy,,,,[covid_vaccine] = '1' or [covid_vaccine] = '2',y,,,,,
covid_booster,scentinel_9_odors,,yesno,Have you received a COVID-19 booster shot?,,,,,,,,y,,,,,
symptom___1,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),"1, Fever or chills | 2, Cough | 3, Shortness of breath or difficulty breathing | 4, Fatigue | 5, Muscle or body aches | 6, Headache | 7, New loss of taste or smell | 8, Sore throat | 9, Congestion or runny nose | 10, Nausea or vomiting | 11, Diarrhea | 12, None",,,,,,,,,,,," @NONEOFTHEABOVE=12
@HIDDEN-SURVEY"
symptom___2,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___3,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___4,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___5,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___6,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___7,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___8,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___9,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___10,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___11,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
symptom___12,scentinel_9_odors,,checkbox,Are you experiencing any of the following symptoms TODAY? (Check all that apply),,,,,,,,,,,,,
nw_penn_symptoms___1,scentinel_9_odors,,checkbox,"IN THE PAST 48 HOURS, have you had any of the following (check all that apply):","1, A scratchy throat | 2, A painful sore throat | 3, A cough (worse than usual if you have a baseline cough) | 4, A runny nose | 5, Symptoms of fever or chills | 6, A temperature greater than 100.4 °F or 38.0 °C | 7, Muscle aches (worse than usual if you have baseline muscle aches) | 8, Nausea, vomiting or diarrhea | 9, Shortness of breath | 10, Unable to taste or smell | 11, Red or painful eyes | 12, None of the above",,,,,,,y,,,,, @NONEOFTHEABOVE=12
