NAME,LENGTH,VARNUM,LABEL,FORMAT,fmtvals
user_id,8,1,User ID,BEST,
research_test,50,2,Research Test Assigned,,
no_symptoms,8,3,None of the above,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
days_since_symptom_start,8,4,How many days ago did the first symptom start?,BEST,
scratchy_throat,8,5,A scratchy throat,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
sore_throat,8,6,A painful sore throat,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
cough,8,7,A cough (worse than usual),YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
runny_nose,8,8,A runny nose,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
fever_chills,8,9,Symptoms of fever or chills,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
high_temp,8,10,A temperature greater than 100.4 °F,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
muscle_aches,8,11,Muscle aches (worse than usual),YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
nausea_vomiting_diarrhea,8,12,"Nausea, vomiting or diarrhea",YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
shortness_of_breath,8,13,Shortness of breath,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
unable_to_taste_or_smell,8,14,Unable to taste or smell,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
red_eyes,8,15,Red or painful eyes,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
age_at_registration,8,16,Age,BEST,
sex,8,17,Gender,SEXFMT,"1,Male|2,Female|88,Prefer Not To Answer"
race_black,8,18,Black,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_white,8,19,White,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_asian,8,20,Asian,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_pacisl,8,21,Pacific Islander,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_amind,8,22,American Indian,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_other,8,23,Race_Other,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
race_dk,8,24,Race_Unknown,CHECKBOXES,".,Unchecked|0,Unchecked|1,Checked"
ethnicity,8,25,Ethnicity,ETHNICITYFMT,"0,No|1,Yes: Mexican, Mexican American Or Chicano|2,Yes: Puerto Rican|3,Yes: Cuban|77,Don't Know|88,Prefer Not To Answer|99,Yes: Other Or Mixed Hispanic, Latino Or Spanish Origin"
sore_throat_2,8,26,A sore throat,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
congestion,8,27,Congestion,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
muscle_body_aches,8,28,Muscle or body aches (worse than usual if you have baseline muscle aches),YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
difficult_breathing,8,29,Difficulty breathing,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
fatigue,8,30,Fatigue,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
headache,8,31,Headache,YESNODK,"0,No|1,Yes|77,Dont Know|88,Refused/Na|99,Other"
